E14B1_1	E14B1_2	E14B1_3	E14B2_1	E14B2_2	E14B2_3	E14B3_1	E14B3_2	E14B3_3	E14B4_1	E14B4_2	E14B5_1	E14B5_2	E14B5_3	E14B6_1	E14B6_2	E14B6_3	E14B7_1	E14B7_2	E14B7_3	E14H1_1	E14H1_2	E14H1_3	E14L1_1	E14L1_2	E14L1_3	E14L2_1	E14L2_2	E14L2_3	E14L3_1	E14L3_2	E14L3_3	E14N1_1	E14N1_2	E14N1_3	E14N2_1	E14N2_2	E14N2_3	E14N3_1	E14N3_2	E14N3_3	E14P10_1	E14P10_2	E14P10_3	E14P11_1	E14P11_2	E14P11_3	E14P1_1	E14P1_2	E14P1_3	E14P2_1	E14P2_2	E14P2_3	E14P3_1	E14P3_2	E14P3_3	E14P4_1	E14P4_2	E14P4_3	E14P5_1	E14P5_2	E14P5_3	E14P6_1	E14P6_2	E14P6_3	E14P7_1	E14P7_2	E14P7_3	E14P8_1	E14P8_2	E14P8_3	E14P9_1	E14P9_2	E14P9_3	E14X1_1	E14X1_2	E14X1_3	E14X2_1	E14X2_2	E14X2_3	E14X3_1	E14X3_2	E14X3_3
534	422	471	627	399	319	342	162	209	821	650	961	984	958	399	261	76	768	536	475	458	428	458	652	538	612	532	573	745	871	756	939	633	214	640	722	498	509	367	334	513	406	319	431	621	385	441	546	454	611	398	461	387	555	550	447	469	363	530	414	327	291	496	270	398	403	500	390	676	455	710	344	318	394	347	236	307	513	342	508	545	348	470
2322	1990	2167	3208	2330	1974	1513	815	1231	2140	1622	1124	1061	1107	1923	1227	249	3829	3202	2201	2186	2460	2141	3412	2762	2953	2771	2813	3279	4918	4261	4310	3216	1158	2982	2895	2050	1835	1518	1346	1724	2028	1753	1956	2825	2066	2229	2378	2126	2671	1626	1876	1639	1889	1848	1604	1345	957	1029	1648	1453	1555	1941	1350	1787	1859	2053	1693	1613	1140	1686	1318	1328	1571	1802	1175	1350	2149	1371	1922	2988	1903	2183
4797	4422	4903	6637	5127	4332	3086	1764	2576	4127	3115	1681	1484	1619	4238	2834	526	7696	6851	4680	5028	5101	4504	7664	6070	6226	6262	6088	6688	10495	9286	9452	6324	2378	5922	5434	4042	3562	3102	2608	3389	4816	4116	4399	5764	4428	4909	4060	3689	4985	3435	3960	3367	3166	3224	2746	2293	1881	1795	3493	3175	3171	4008	2960	3762	3397	3805	3015	2816	2375	2928	3262	3038	3705	3945	2754	3084	4816	3303	4181	6655	4345	4875
5603	5172	5419	7088	5590	4548	3260	2010	2912	4332	3355	1738	1474	1474	4736	3133	624	8244	7177	5141	5544	5548	4922	8376	6862	7146	6947	6817	7365	11314	9974	10333	6914	2559	6279	5769	4146	3749	3151	2876	3646	5609	4635	5062	6526	4972	5642	3456	3065	4066	3822	4564	3672	2246	2378	2156	2636	2170	1983	3925	3614	3569	4648	3341	4257	3248	3387	2758	2941	2834	3192	4087	3714	4384	4188	3051	3509	5782	3822	4867	7312	4883	5543
2966	2442	2840	3160	2352	2058	1344	905	1147	1897	1456	814	640	564	2249	1566	253	3373	2904	2129	2465	2412	2153	3707	3059	3024	2931	2875	3185	5136	4255	4721	2616	915	2433	2153	1500	1414	1139	1001	1371	2734	2323	2323	3271	2484	2757	1783	1588	2132	1725	2035	1566	1476	1577	1387	1389	1112	959	1936	1751	1765	2159	1537	2049	1621	1691	1385	1659	1594	1764	2836	2396	2696	2001	1403	1802	2956	2013	2454	3625	2350	2622
2401	1896	2151	1943	1498	1284	822	552	663	1241	927	639	473	374	1642	1104	168	1747	1498	1199	1578	1450	1368	2405	2100	2135	1888	1903	1951	3398	2802	3264	1280	376	1138	1048	619	642	471	370	592	2019	1718	1671	2243	1691	1974	1548	1352	1898	1036	1220	904	1585	1716	1570	956	772	619	1317	1107	1078	1581	1069	1473	1343	1305	1139	1263	1228	1383	2725	2137	2233	1352	1056	1396	2334	1624	1979	2595	1633	1934
2089	1580	1765	1555	1175	1005	649	418	499	1107	865	554	416	380	1232	882	139	1382	1115	975	1209	1224	1237	1847	1746	1759	1464	1599	1621	2794	2180	2586	924	335	962	827	514	592	407	278	504	1566	1301	1270	1614	1220	1391	1298	1183	1641	799	962	716	1324	1439	1395	697	575	463	889	624	726	1344	898	1281	1103	1118	982	937	892	1078	1810	1496	1662	1051	854	1187	1968	1441	1661	2131	1372	1648
839	649	799	646	501	415	243	171	201	478	368	231	165	151	502	346	56	554	449	406	495	563	541	710	679	796	581	664	681	1097	907	1055	387	141	432	379	249	267	179	143	204	592	471	529	591	397	459	533	422	626	343	374	293	502	518	537	205	151	134	286	176	216	581	357	512	439	484	380	290	244	311	450	379	529	461	347	478	830	652	727	876	563	740
