E14B1_3	E14B2_2	E14B2_3	E14B3_1	E14B3_2	E14B3_3	E14B4_2	E14B4_3	E14B5_1	E14B5_2	E14B5_3	E14B6_1	E14B6_2	E14B6_3	E14B7_2	E14H1_2	E14H1_3	E14L1_2	E14L1_3	E14L2_1	E14L2_2	E14L2_3	E14L3_2	E14L3_3	E14N1_1	E14N1_2	E14N1_3	E14N2_1	E14N2_2	E14N2_3	E14N3_1	E14N3_3	E14P10_2	E14P10_3	E14P11_2	E14P11_3	E14P1_1	E14P1_2	E14P1_3	E14P2_2	E14P2_3	E14P3_3	E14P4_1	E14P4_3	E14P5_3	E14P6_2	E14P6_3	E14P7_3	E14P8_1	E14P8_2	E14P8_3	E14P9_2	E14P9_3	E14X1_1	E14X1_2	E14X1_3	E14X2_3	E14X3_1	E14X3_3
667	255	794	3412	1923	487	65	542	2312	2452	500	3131	2668	1778	2071	2356	534	2077	1591	2284	1961	1235	1994	2023	2277	500	745	1560	1108	528	662	530	2036	327	915	922	1795	1109	642	1803	298	283	496	306	1012	2463	1150	658	5735	3345	395	2628	1909	2242	767	757	714	2119	1552
1617	698	1722	7090	3979	987	199	1248	4279	4640	1036	6754	5216	3831	4019	4376	1172	4592	3472	4350	3956	2723	4024	4174	4512	1129	1786	3691	2220	1030	1236	1184	3936	767	2218	2148	3653	2423	1360	4032	712	560	1113	714	2180	5296	2278	1403	8562	5634	507	5153	3802	5038	1792	1802	1470	4169	3111
2882	1341	3498	13613	7703	1740	555	2386	7692	8301	2201	12699	9386	6371	7500	8572	2390	8293	6330	8878	7685	4926	8320	8639	8133	2331	3645	6474	4419	1993	2135	2089	7240	1378	3881	3970	7109	4762	2548	7334	1470	1169	2014	1379	4302	8900	4402	2576	12493	9769	693	9985	7668	8889	3277	3216	3044	8372	6255
5823	3338	6838	23884	14299	3742	1459	5158	13981	15466	4166	20940	16213	10798	14555	15609	4371	15405	12397	15946	14580	9377	15675	15745	16632	5437	7001	12500	8756	4077	4413	4103	14403	3298	7771	7332	13169	8785	4736	13088	3021	2405	4019	2880	8043	17651	8543	4912	19240	15246	1029	17725	13454	16377	7457	6042	5668	16459	11996
9081	5800	10040	24289	20105	5962	2346	7582	20076	21133	5588	25850	20555	13721	20218	20325	6114	22300	16527	20767	19722	13186	21493	21103	24575	8509	10240	18467	12476	6202	6710	6069	20039	5196	11973	10378	18401	12408	6356	18213	4291	3654	5808	4416	10999	24338	12110	7084	25076	19920	1444	22706	17530	22825	11220	8588	7994	23983	17096
10477	7209	11731	24213	22520	7076	2900	8298	22755	21698	6056	25655	19142	13197	21362	21172	6664	23758	18015	21547	19597	13679	22534	22714	25229	10664	12263	20996	14140	6945	8207	7077	21706	6014	13610	11495	19081	12903	6498	18556	4597	4439	6828	5335	12229	24874	13022	7768	26032	19902	1718	21493	17299	24202	12861	9714	8439	25355	19074
8321	6657	9369	24486	16945	5710	2588	6396	17871	15071	4375	15741	11955	8495	15687	15093	4901	16991	13708	14639	13242	9768	16043	16881	23539	9423	10284	16694	11000	5537	6941	5748	15695	4798	10111	8540	13446	8704	4368	12383	3273	3696	5844	4392	9309	19329	9955	5826	19055	12649	1442	13656	11443	17362	9243	7183	6219	22899	14365
3522	3565	4226	14132	6888	2695	1383	2632	8422	5747	1653	5239	3727	3012	6013	6007	1920	6335	5581	4947	4786	3822	5996	6847	11575	4963	5138	7640	4697	2366	3563	2619	5670	2021	4214	3399	5105	2715	1503	4168	1194	1673	3199	2194	4049	7390	4124	2317	8399	4639	755	4596	4181	6986	3597	2805	2238	10968	6477
1015	903	1153	4720	1820	851	386	815	2539	1669	431	1126	830	775	1812	1676	638	1825	1742	1283	1242	980	1693	1821	3579	1434	1512	2531	1300	770	1322	780	1359	578	1080	757	1459	489	450	1068	275	390	1175	591	1097	2271	1148	568	2647	1253	244	1076	1103	2178	1054	722	575	3125	1964
