E14B1_1	E14B1_2	E14B1_3	E14B2_1	E14B2_2	E14B2_3	E14B3_1	E14B3_2	E14B3_3	E14B4_1	E14B4_2	E14B4_3	E14B5_1	E14B5_2	E14B5_3	E14B6_1	E14B6_2	E14B6_3	E14B7_1	E14B7_2	E14B7_3	E14H1_1	E14H1_2	E14H1_3	E14L1_1	E14L1_2	E14L1_3	E14L2_1	E14L2_2	E14L2_3	E14L3_1	E14L3_2	E14L3_3	E14N1_1	E14N1_2	E14N1_3	E14N2_1	E14N2_2	E14N2_3	E14N3_1	E14N3_2	E14N3_3	E14P10_1	E14P10_2	E14P10_3	E14P11_1	E14P11_2	E14P11_3	E14P1_1	E14P1_2	E14P1_3	E14P2_1	E14P2_2	E14P2_3	E14P3_1	E14P3_2	E14P3_3	E14P4_1	E14P4_2	E14P4_3	E14P5_1	E14P5_2	E14P5_3	E14P6_1	E14P6_2	E14P6_3	E14P7_1	E14P7_2	E14P7_3	E14P8_1	E14P8_2	E14P8_3	E14P9_1	E14P9_2	E14P9_3	E14X1_1	E14X1_2	E14X1_3	E14X2_1	E14X2_2	E14X2_3	E14X3_1	E14X3_2	E14X3_3
950	577	774	614	316	521	431	233	365	689	469	443	952	460	505	574	800	1099	0	288	358	394	423	396	462	546	776	430	602	503	284	362	805	0	219	243	0	352	81	390	125	324	951	720	899	1195	880	1221	706	369	737	814	332	786	826	562	871	1758	1047	1661	1449	936	1213	867	467	735	870	572	771	1362	1289	1205	921	593	1010	497	470	809	801	620	788	740	619	851
3981	2753	2772	2542	1701	1838	1832	1357	1496	2504	1911	1919	3289	2042	2217	2657	2878	3966	1161	1156	1703	2131	1536	1827	2314	2265	2682	1604	2274	2084	2183	1432	2912	986	806	1112	1095	872	918	949	516	854	3316	2730	3447	4001	3030	3773	2639	1455	2764	2491	1834	2734	2666	2628	3053	6567	4164	5725	5043	3472	4351	3085	2312	2465	2888	2129	2456	5005	4126	4328	3378	2086	3534	2638	2345	3405	3322	2685	2986	3085	2744	3411
10866	7787	8103	7238	5334	6031	5256	3734	4345	7644	5811	5922	8924	5795	6622	7709	8152	11716	4238	3858	5134	6290	5133	6271	7463	6652	8848	5422	6607	7032	6774	4392	9179	3821	2821	3653	3212	2550	3076	3145	1830	2696	8674	6917	8423	9766	7465	9269	7406	3718	7262	7527	6190	7053	7755	7671	8374	11667	8193	10792	10441	7890	9128	8390	6664	7238	7808	6060	7199	8655	7839	7627	8978	5777	9740	7584	6972	9413	9155	8107	9106	8674	7609	9253
15930	11560	11963	12887	9348	10690	10189	6997	8221	13015	9591	10379	14181	9193	10448	11281	11521	17369	9623	8944	12600	10739	9117	10420	12560	11066	14315	9713	11320	12463	11700	7966	15617	9779	7528	9268	8307	6601	8471	8571	5162	7636	12202	9660	11825	12751	9930	12322	11057	5602	10990	13168	10496	12149	12097	11528	12405	10728	8079	10277	11863	9115	10088	13153	10707	11116	13154	10155	11446	8293	7417	7156	12269	8244	13954	11741	10523	14888	13109	11599	13749	12827	10952	13818
11974	8630	9483	13046	9204	10679	11407	7759	8927	12487	9099	10250	11680	7602	8614	8157	8001	12434	12733	12072	16378	10753	8761	9998	11877	10531	13321	9999	11302	12204	11692	7961	15500	14222	10995	13927	12385	9749	12627	13263	8450	12238	11001	8524	10745	9675	7324	8871	10021	5041	10103	12292	9823	11888	9699	8970	10078	5768	4613	5817	8615	6580	7012	11640	9424	9549	13410	10467	11083	7811	6746	6657	8571	5757	9610	9561	8094	11458	9199	8270	9344	10587	8839	11656
7258	4808	5689	9871	6761	8359	9253	6360	7000	9458	6856	7509	7374	4423	5016	4311	4438	6558	10521	9916	14124	8426	6412	7115	8461	7812	9499	7484	8461	8948	8873	6083	11620	11956	9760	12287	11040	8408	10998	12881	8117	11860	7137	5543	7245	6776	5008	6294	7037	3761	7234	8830	7330	8586	5629	5409	6233	3400	2548	3168	6175	4687	4910	7842	6196	6494	10052	7885	8442	5452	4424	4316	4486	2749	4950	5614	5030	6960	4779	4377	4837	6918	5818	7554
2995	1748	2071	3920	2640	3646	3760	2804	2839	4004	2813	3110	2985	1544	1999	1545	1836	2677	4546	3931	5877	3444	2370	2664	3452	3057	3707	2870	3256	3644	3469	2233	4387	5393	4101	4880	4359	3299	4769	6100	3646	5423	3084	1977	2644	2905	2087	2768	2685	1436	2675	3528	2883	3145	2231	1936	2303	1428	1133	1289	2734	2148	2278	2996	2246	2601	4249	3075	3334	2440	1970	1735	1736	1078	2043	2098	2021	2834	1783	1707	2115	2567	2424	2745
695	420	497	1114	572	887	1211	586	730	1013	633	690	681	336	473	389	390	686	1028	949	1418	697	582	770	916	642	932	645	709	838	735	539	975	1188	828	1128	1077	742	1093	1352	819	1168	715	411	641	630	561	672	708	307	697	878	668	827	501	418	527	326	251	312	727	497	546	719	544	598	1078	678	804	585	383	380	344	280	448	527	427	694	382	323	503	654	561	843
