E14B1_1	E14B1_2	E14B1_3	E14B2_1	E14B2_2	E14B2_3	E14B3_1	E14B3_2	E14B3_3	E14B4_1	E14B4_2	E14B4_3	E14B5_1	E14B5_2	E14B5_3	E14B6_1	E14B6_2	E14B6_3	E14B7_1	E14B7_2	E14B7_3	E14H1_1	E14H1_2	E14H1_3	E14L1_1	E14L1_2	E14L1_3	E14L2_1	E14L2_2	E14L2_3	E14L3_1	E14L3_2	E14L3_3	E14N1_1	E14N1_2	E14N1_3	E14N2_1	E14N2_2	E14N2_3	E14N3_1	E14N3_3	E14P10_1	E14P10_2	E14P10_3	E14P11_1	E14P11_2	E14P11_3	E14P1_1	E14P1_2	E14P1_3	E14P2_1	E14P2_2	E14P2_3	E14P3_1	E14P3_2	E14P3_3	E14P4_1	E14P4_2	E14P4_3	E14P5_1	E14P5_2	E14P5_3	E14P6_1	E14P6_2	E14P6_3	E14P7_1	E14P7_2	E14P7_3	E14P8_1	E14P8_2	E14P8_3	E14P9_1	E14P9_2	E14P9_3	E14X1_1	E14X1_2	E14X1_3	E14X2_1	E14X2_2	E14X2_3	E14X3_1	E14X3_2	E14X3_3
2608	2843	2085	3390	879	2317	3047	2098	1746	4371	626	2379	2891	2870	2203	2640	2571	3782	2900	2281	795	3013	2166	2310	3296	2452	3655	2579	2718	3526	3100	2375	4369	2982	1287	2767	2602	1826	2440	1988	2133	3814	1917	1157	4425	2007	2814	2439	1953	2717	3320	2442	1589	2824	2691	1277	1442	3618	1965	5443	3502	3370	228	2676	2958	3705	360	2230	4143	3881	958	3451	2439	2917	2355	1525	2836	2235	604	2336	2679	3029	3398
6520	7571	5521	9060	2365	6587	7502	5448	4643	10895	1804	6509	7560	7208	5863	6981	7033	10018	7451	6203	2254	8018	6404	6697	8524	6383	10021	7502	7867	10145	8170	7245	13017	7535	3814	7599	7199	5419	6641	4593	5302	9537	5595	3402	11299	5103	7371	6200	5659	7600	8778	6922	4642	8052	7324	3764	4129	10634	5457	13597	9520	10106	450	7450	8175	9576	1131	6335	9142	8355	2000	8939	6288	8169	6120	4038	7455	5777	1684	5827	6541	7512	9315
11072	12451	10089	14726	4130	11323	11234	9333	7664	17940	3165	11155	12695	12876	9601	12913	12558	18460	13004	11746	3999	12987	10863	12133	15294	12322	18103	15479	14718	19076	16533	14301	22576	12305	6527	11917	11669	9305	11168	7541	8513	16004	10571	5997	17087	9005	11737	11670	10651	14809	14999	12277	7932	13302	12839	6506	6152	14763	8105	18969	13688	14059	766	12539	13921	15175	2155	11115	12143	12577	3163	15720	11670	15206	10556	7377	12619	9294	2970	9498	10689	13465	15377
8577	9100	8395	10820	4107	8991	8940	7295	6029	14162	3599	9551	11482	11011	7524	11624	11500	16825	11938	11572	4894	11330	9332	10494	13730	11687	16716	16157	15366	19516	16372	14807	22379	10476	6948	10022	10945	9037	9835	7496	8178	13366	10313	5862	11358	7472	9096	12114	10852	14287	13813	11566	8163	11159	11045	6755	4801	8242	4870	12007	7981	9384	741	10291	11230	13215	2818	10330	9702	10151	3195	13252	10282	13901	8538	6618	9889	6674	3310	6432	7884	10289	11121
8315	7358	8887	10974	5037	8172	9236	7913	5814	13095	4500	8831	10073	10010	6336	11042	9432	14451	12714	13136	6140	12217	9564	10186	13614	11995	15475	16175	14480	18117	16190	14209	20668	12640	8131	12073	13109	10133	10915	8219	8900	11537	10030	6188	9907	6954	6701	11512	10191	13524	12667	11004	8612	10632	10703	6515	2963	4446	2946	7791	4758	5693	1177	8917	9469	13123	3584	10480	7908	8015	3575	10948	8264	11641	8177	6742	9458	6459	4239	6362	7256	9809	9366
5964	3927	4552	9780	4470	6202	8247	6482	5281	10368	3732	7470	7539	6777	3436	7175	6140	9651	11142	10068	6208	8191	6770	7546	9556	8252	11736	10938	10945	13927	11934	10267	16025	11566	8098	11364	12881	10011	10892	8517	9439	8641	6646	4670	6587	4705	4689	8911	7526	9209	11069	8309	6693	7505	6939	4718	2434	1818	1223	5829	3225	3624	1964	5443	6550	10351	3874	8006	4969	4694	2976	5770	4444	6186	6006	4618	6208	4511	2843	3967	5619	5871	6584
2987	2235	2622	6398	2521	3932	5354	4058	3249	6851	1848	4469	4285	3760	1678	3793	2928	4677	7004	6055	4151	5064	4270	4343	5508	4593	6881	5716	5769	8702	6669	5745	9748	8099	5378	8924	9555	7167	8731	5657	6576	4730	3100	2305	3995	2393	2836	4550	3922	4951	6979	4386	3334	4188	3560	1943	1196	891	350	3399	1827	2097	1874	3143	3816	7638	2467	4551	3037	2391	1186	2576	1724	2890	3220	2366	3122	2311	1034	2113	3137	3519	4318
1008	721	1032	2052	759	1378	1877	1359	1166	2397	600	1551	1036	1178	457	978	766	1499	2349	1984	855	1645	1541	1623	1626	1440	2232	1777	1668	2556	2062	1671	2761	2832	1749	3096	3147	2375	2782	1659	1991	1276	1047	721	1414	833	1085	1445	1171	1682	2013	1410	1241	1195	1151	708	0	311	114	856	626	875	0	988	1274	2176	364	1695	554	661	236	745	396	696	1036	925	1091	761	323	942	959	1085	1477
