E14B1_1	E14B1_2	E14B1_3	E14B2_1	E14B2_2	E14B2_3	E14B3_1	E14B3_2	E14B3_3	E14B4_1	E14B4_2	E14B4_3	E14B5_1	E14B5_2	E14B5_3	E14B6_1	E14B6_2	E14B6_3	E14B7_1	E14B7_2	E14H1_1	E14H1_2	E14H1_3	E14L1_1	E14L1_2	E14L1_3	E14L2_1	E14L2_2	E14L3_1	E14L3_2	E14N1_1	E14N1_2	E14N1_3	E14N2_2	E14N2_3	E14P10_1	E14P10_2	E14P10_3	E14P11_1	E14P11_2	E14P11_3	E14P1_1	E14P1_2	E14P1_3	E14P2_1	E14P2_2	E14P2_3	E14P3_1	E14P3_2	E14P3_3	E14P4_2	E14P4_3	E14P5_1	E14P5_2	E14P5_3	E14P6_1	E14P6_2	E14P6_3	E14P7_1	E14P7_2	E14P7_3	E14P8_1	E14P8_2	E14P8_3	E14P9_2	E14X1_1	E14X1_2	E14X1_3	E14X2_1	E14X2_2	E14X2_3	E14X3_1	E14X3_2	E14X3_3
750	367	522	752	371	492	515	341	438	602	372	394	747	312	282	841	580	685	682	652	403	350	396	542	555	631	741	486	660	748	631	375	540	345	571	746	541	645	581	337	452	667	509	600	528	402	415	595	339	491	704	782	672	650	643	397	271	299	487	256	201	1280	850	673	769	182	258	526	185	285	205	966	674	759
1807	992	1508	1947	954	1621	1345	838	1279	1684	1046	1250	1728	1035	940	2099	1749	2211	1942	1662	1246	1034	1196	1823	1397	2068	2091	1595	1813	1997	1745	884	1554	975	1820	2234	1546	1839	1531	886	1268	2199	1208	1863	1468	1180	1446	1784	921	1420	1983	2284	1839	1634	1820	1202	742	823	1404	701	643	3268	2291	2349	1961	557	690	1498	605	707	672	2263	1753	2488
3243	1833	2843	3449	1653	3213	2439	1591	2378	2971	2140	2434	3447	2036	1936	4039	3520	4336	3908	3380	2380	1917	2244	3896	2799	4452	4204	3324	4125	4327	3384	1601	2968	2045	3450	4385	3089	4176	3163	1814	2404	4187	2652	3733	3117	2459	2889	3353	1789	2764	3750	4530	4022	3125	3408	2252	1430	1692	3008	1523	1388	6454	4214	4999	3714	1376	1371	3171	1121	1347	1325	4351	3040	4683
6191	4111	6093	6931	3763	6499	4688	3230	4720	5844	4481	4843	6798	4780	4505	8502	7039	8778	8585	6803	4533	4190	4702	7806	6130	8721	9123	7417	9223	8811	6541	3443	5982	4179	7116	8725	6375	8601	6149	3456	5200	9167	5841	8444	6275	4871	5993	6839	3865	5977	7460	8918	7688	6883	7920	4512	3244	3968	5632	3155	2888	12102	9165	10308	8186	3062	3171	6167	2253	2935	2716	8990	6184	9605
12559	8350	12501	14492	7848	13652	10091	6446	9842	12113	9288	10169	13034	9115	8995	15866	13214	16187	16813	13420	9124	8893	9976	15282	12536	17898	17683	14559	17938	17101	13898	7502	13481	8758	14988	17030	12517	16610	12293	7135	10747	16995	10941	15884	11889	9529	11945	13482	7761	11726	14120	17133	15329	13357	15693	9334	6682	7854	11155	6391	5857	21871	16345	17945	15345	6351	6660	12391	4817	6251	5773	17663	12398	19289
18529	12399	18367	21782	11988	20338	15600	9962	14760	18145	13345	15072	18172	12548	12734	21181	17895	22295	24085	19263	13462	13258	14808	21914	18226	26810	25164	20878	25250	24296	21163	11563	20697	12867	22757	24161	17455	23350	18023	10371	15754	22932	15155	21952	16732	13041	16995	19080	11061	16813	19284	23422	22024	19277	22665	14075	9852	11470	16142	9018	8535	27943	21606	22875	20973	9249	9937	17772	7413	9515	8932	25818	17958	27438
17703	11668	17483	21605	11810	19698	15508	9675	14412	18003	12660	14277	16922	11378	11569	18654	16498	20051	23008	19072	13217	12599	14466	21373	17481	26163	23606	19490	24583	23241	21289	11581	20928	12849	22813	22223	16165	21875	17184	10197	15305	20440	14021	20002	15750	12361	15894	17551	10250	15792	17361	21345	20725	17933	20915	13542	9532	11007	15071	8561	8060	25043	18442	18986	18409	8756	9440	16999	7514	9083	8872	24573	16941	26824
8708	5389	8324	10778	5592	9469	8095	4671	6820	8937	5975	6840	7601	4991	5103	7498	7566	9253	10792	9341	6843	6089	7088	10285	8095	12054	10679	9216	11474	11086	10809	5685	10550	6397	11243	9837	7392	9697	8219	5188	7199	8963	6275	8713	7928	5834	7321	8295	4773	7220	7282	9100	9239	8024	9348	6696	4468	5026	7034	4140	3639	9938	7110	7656	7454	3873	4339	7893	3747	4248	4299	11521	7979	12281
2006	1129	1741	2917	1256	2232	2253	1078	1643	2197	1364	1555	1983	1028	1139	1676	1362	2036	2632	2196	1698	1348	1645	2291	1722	3091	2539	2203	2568	2365	2810	1409	2643	1534	3009	2175	1455	2049	1879	1047	1765	2027	1218	1857	1614	1203	1722	2012	897	1350	1190	1621	2354	1461	1863	1680	936	1090	1785	787	794	2465	1461	1648	1428	1002	846	1658	821	776	896	2624	1741	2865
