E14B1_1	E14B1_2	E14B1_3	E14B2_1	E14B2_2	E14B2_3	E14B3_1	E14B3_2	E14B3_3	E14B4_1	E14B4_2	E14B4_3	E14B5_1	E14B5_2	E14B5_3	E14B6_1	E14B6_2	E14B6_3	E14B7_1	E14B7_2	E14B7_3	E14H1_1	E14H1_2	E14H1_3	E14L1_1	E14L1_2	E14L1_3	E14L2_1	E14L2_2	E14L2_3	E14L3_1	E14L3_2	E14L3_3	E14N1_1	E14N1_2	E14N1_3	E14N2_1	E14N2_2	E14N2_3	E14N3_1	E14N3_2	E14N3_3	E14P10_1	E14P10_2	E14P10_3	E14P11_1	E14P11_2	E14P11_3	E14P1_1	E14P1_2	E14P1_3	E14P2_1	E14P2_2	E14P2_3	E14P3_1	E14P3_2	E14P3_3	E14P4_1	E14P4_2	E14P4_3	E14P5_1	E14P5_2	E14P5_3	E14P6_1	E14P6_2	E14P6_3	E14P7_1	E14P7_2	E14P7_3	E14P8_1	E14P8_2	E14P8_3	E14P9_1	E14P9_2	E14P9_3	E14X1_1	E14X1_2	E14X1_3	E14X2_1	E14X2_2	E14X2_3	E14X3_1	E14X3_2	E14X3_3
354	323	272	417	380	332	154	157	158	317	301	290	195	223	198	198	215	278	489	420	514	437	313	254	645	437	539	533	474	661	697	617	666	320	285	275	237	301	269	163	178	169	401	348	365	364	303	312	247	416	456	238	320	229	310	423	331	93	130	119	165	283	220	293	339	276	309	363	332	200	362	279	262	241	307	367	238	288	284	406	270	490	493	375
948	828	702	1040	982	770	398	385	406	890	753	683	513	635	458	499	557	703	1258	972	1116	1038	712	673	1840	1131	1324	1241	1266	1393	1717	1513	1791	813	732	636	645	656	560	460	395	413	1055	813	886	919	686	795	647	953	974	519	697	611	673	1042	826	270	298	273	320	539	477	730	848	662	626	928	715	516	749	662	700	653	752	749	553	723	731	970	644	1169	1172	835
1545	1603	1219	1757	1838	1537	731	634	783	1548	1438	1212	934	1250	918	1138	1098	1162	2368	1966	1947	1930	1542	1182	3378	2201	2154	2323	2353	2457	3285	2909	2823	1488	1382	1190	1341	1249	1131	774	885	670	1678	1656	1574	1667	1517	1422	1244	1706	1751	1098	1369	1153	1226	1903	1492	549	738	555	882	1269	1004	1212	1616	1224	1039	1580	1398	1014	1412	1298	1316	1319	1424	1117	1087	1129	1260	1604	1190	2395	2073	1576
3673	3657	2970	4161	4338	3478	1743	1637	1829	3705	3519	2863	2245	3019	2128	2371	2405	2816	5216	4601	4751	4434	3484	2976	7605	5037	5366	5561	5442	6033	7250	6982	7188	3503	3282	2912	2983	3128	2697	1738	2013	1737	4228	3877	3624	3816	3414	3393	2980	4194	4090	2503	3165	2740	2964	4509	3418	1360	1663	1407	1623	2387	1951	2891	3856	2999	2373	3844	3298	2401	3324	3013	2955	2908	2944	2664	2653	2889	2901	4149	2798	5271	4951	3676
4307	4185	3195	4745	5072	4133	1967	1852	1933	4098	4124	3213	2732	3448	2486	2683	2777	3256	5879	5023	5427	5187	4127	3427	8907	5816	6342	6232	6153	6821	8518	7930	8050	3915	3840	3334	3526	3611	3105	1835	2137	1815	4783	4658	4245	4306	3894	3928	3442	4858	4705	2968	3493	3225	3392	5224	4019	1486	1988	1611	2101	3355	2482	3272	4293	3422	2548	4396	3683	2798	3773	3474	3331	3257	3259	3040	3064	3176	3328	4757	3265	6055	5663	4264
7093	6861	5442	7990	8309	6741	3146	3303	3108	7023	6720	5322	4576	5674	4086	4389	4614	5426	9912	8795	9264	8433	6741	5837	14467	9989	10709	10795	10551	11988	14091	13575	14877	6518	6424	5806	5867	5934	5202	3129	3621	3133	8061	7673	7271	7343	6561	6744	5880	8233	7801	4779	5703	5248	5581	8712	6432	2486	3370	2541	2584	4167	3029	5522	7370	5747	4378	7358	6309	4700	6266	5779	5587	5583	5585	5082	4982	5504	5373	8063	5465	10202	9616	7302
957	782	694	1143	1140	794	511	478	361	968	789	653	636	581	444	435	522	662	1293	1107	1229	1271	748	686	2066	1287	1215	1370	1336	1431	1801	1709	1593	890	917	714	789	705	670	417	441	341	1023	1006	931	1021	836	1016	619	1125	1102	610	667	751	716	1260	985	283	406	387	321	622	375	668	984	700	639	1007	785	657	702	656	694	602	650	612	720	735	903	1142	729	1210	1223	945
242	293	163	408	325	359	132	152	137	284	263	247	191	219	158	150	202	288	399	330	326	464	303	294	707	336	435	453	376	583	617	552	706	259	296	224	259	265	240	140	206	133	334	275	332	357	288	300	238	359	388	190	261	233	247	353	320	97	61	65	120	201	141	281	305	231	234	306	263	240	239	225	239	220	220	210	201	244	265	291	247	430	348	299
