E14B1_1	E14B1_2	E14B1_3	E14B2_1	E14B2_2	E14B2_3	E14B3_1	E14B3_2	E14B3_3	E14B4_1	E14B4_2	E14B4_3	E14B5_1	E14B5_2	E14B5_3	E14B6_1	E14B6_2	E14B6_3	E14B7_1	E14B7_2	E14B7_3	E14H1_1	E14H1_2	E14H1_3	E14L1_1	E14L1_2	E14L1_3	E14L2_1	E14L2_2	E14L2_3	E14L3_1	E14L3_2	E14L3_3	E14N1_1	E14N1_2	E14N1_3	E14N2_1	E14N2_2	E14N2_3	E14N3_3	E14P10_1	E14P10_2	E14P10_3	E14P11_1	E14P11_2	E14P11_3	E14P1_1	E14P1_2	E14P1_3	E14P2_1	E14P2_2	E14P2_3	E14P3_1	E14P3_2	E14P3_3	E14P4_1	E14P4_2	E14P4_3	E14P5_1	E14P5_2	E14P5_3	E14P6_1	E14P6_2	E14P6_3	E14P7_1	E14P7_2	E14P7_3	E14P8_1	E14P8_2	E14P8_3	E14P9_1	E14P9_2	E14P9_3	E14X1_1	E14X1_2	E14X1_3	E14X2_1	E14X2_2	E14X2_3	E14X3_1	E14X3_2	E14X3_3
412	178	198	345	165	224	248	186	150	315	243	136	384	293	218	123	205	340	101	277	391	317	163	245	300	212	506	435	483	269	482	329	103	389	259	150	444	254	223	168	287	250	205	150	133	110	478	335	477	216	281	237	210	293	230	332	276	227	244	288	189	216	418	196	226	328	227	401	507	261	462	268	448	94	167	215	134	195	162	331	323	365
873	489	422	972	482	575	571	482	339	745	680	399	917	643	517	304	533	859	298	663	946	794	418	615	695	555	1075	1002	1283	684	1167	987	261	975	654	371	1015	711	631	473	765	652	557	355	358	249	1085	962	1248	541	768	590	477	692	514	836	716	534	628	665	518	592	898	558	539	896	644	892	1230	656	1151	788	1080	207	424	527	334	515	318	789	806	974
1951	1227	970	2043	1116	1387	1329	1119	723	1603	1449	872	1904	1407	1145	743	1066	1879	617	1500	1926	1707	1027	1368	1579	1259	2565	2482	2744	1484	2780	2186	574	2079	1404	813	2193	1601	1271	1014	1609	1479	1137	817	830	546	2420	2053	2508	1040	1573	1322	1032	1585	1076	1849	1622	1296	1336	1497	1060	1244	2121	1204	1050	1923	1304	1887	2747	1580	2385	1631	2174	378	958	1080	709	1159	734	1706	1863	2100
2903	1930	1465	3205	1797	2077	1905	1635	1036	2435	2199	1327	2808	2030	1665	1055	1683	2626	960	2224	2998	2576	1596	2145	2400	2040	3746	3766	4111	2206	4327	3331	865	2972	2021	1220	3257	2446	1863	1426	2334	2212	1688	1242	1298	946	3444	3022	3680	1557	2289	1870	1556	2338	1577	2882	2584	1960	2126	2381	1630	1859	3105	1811	1534	2857	1881	2574	3852	2263	3262	2293	3151	560	1519	1588	1083	1869	1142	2635	2824	3172
3054	2094	1578	3220	1861	2191	2070	1644	1095	2621	2247	1384	3009	2221	1829	1159	1887	2753	980	2242	3137	2740	1658	2229	2624	2224	3995	3952	4343	2353	4502	3488	925	3152	2075	1317	3335	2495	1922	1480	2453	2238	1719	1409	1381	1011	3535	3002	3587	1611	2411	2019	1563	2356	1640	3133	3057	2307	2307	2687	1931	1935	3135	1905	1567	2913	1837	2588	3865	2229	3269	2329	3208	580	1619	1664	1183	1988	1207	2863	3044	3153
2401	1572	1200	2413	1346	1656	1474	1160	743	1981	1581	1016	2137	1604	1260	813	1512	1871	748	1636	2218	2041	1238	1612	1961	1649	2922	2896	3069	1682	3437	2567	653	2085	1362	900	2193	1697	1333	997	1627	1472	1174	1007	1004	810	2387	1950	2512	1131	1748	1399	1102	1624	1133	2598	2390	1844	1837	2123	1489	1437	2294	1363	1063	1999	1248	1687	2574	1500	2221	1561	2120	382	1140	1280	906	1485	919	2027	2231	2322
1205	861	598	1244	718	838	770	575	336	1002	781	539	1117	766	603	400	826	958	377	810	1133	1041	608	783	984	901	1512	1464	1534	879	1825	1344	378	1090	580	439	1062	851	668	483	762	652	583	546	507	426	1226	919	1326	569	885	676	555	786	520	1395	1260	950	1000	1167	837	748	1132	693	514	1011	524	791	1183	696	1045	730	1048	203	597	681	506	816	488	1099	1215	1102
390	248	168	399	212	270	273	172	101	314	249	134	400	276	185	126	244	306	117	216	359	333	182	269	309	250	411	418	476	288	477	367	92	331	213	149	403	272	246	162	290	223	181	199	152	120	415	264	417	172	250	226	216	261	160	441	356	271	286	304	230	250	318	257	187	307	167	262	336	219	328	259	371	96	166	207	136	261	145	368	367	345
