E3A1_1	E3A2a_1	E3A2b_1	E3A2c_1	E3B1_1	E3L1_2	E3L2_2	E3L3_1	E3L4_1	E3N1_1	E3N4_1	E3P10b_3	E3P11b_2	E3P12b_2	E3P13b_1	E3P14b_1	E3P15c_2	E3P16c_2	E3P17c_1	E3P18c_1	E3P19c_1	E3P1a_1	E3P20c_2	E3P3a_2	E3P4a_2	E3P5a_1	E3P6a_2	E3P7b_1	E3P8b_1	E3P9b_2
344	500	790	356	1078	125	309	817	670	109	126	395	291	160	256	551	236	161	209	334	194	1452	183	1127	924	643	778	364	1103	431
1402	1826	2637	1369	2267	426	808	1995	1697	756	768	1183	999	473	718	1189	933	832	917	1429	1105	3658	595	2875	2265	2159	1896	1084	2327	1218
3422	3895	5620	4035	4089	1225	1659	4107	3362	2358	3075	2341	2335	1023	1539	1929	2755	2805	3076	3630	3382	7081	1764	5955	4579	5335	3736	2561	3131	2805
9122	8816	10927	9574	7109	2940	4291	9382	7162	6281	8222	4779	5357	2839	3887	4560	7356	7223	7659	9451	9552	11179	4433	11079	9395	9462	7848	5969	5432	6754
15434	14565	18129	16738	8496	4292	6268	12933	10078	8870	12717	7916	8357	4708	7668	7418	10850	10704	12310	14210	15503	12731	6173	13903	12519	10420	10502	8782	7534	10348
14764	15764	20052	16261	5416	3326	4758	8968	7540	6646	10527	8272	7515	4747	9561	5549	7912	8241	10908	10955	12806	8305	5106	9688	8367	4904	6658	8016	7862	9851
10598	12180	16581	10650	1845	2261	1991	3074	2646	3942	5881	7189	5513	3379	9220	4369	2606	3525	4893	4914	5215	2618	1933	3510	3225	1990	2332	5588	7029	7313
6964	7316	9442	6725	597	1297	941	1215	962	2882	3906	4248	2953	1687	5338	2512	794	1776	2624	2007	1910	814	499	1182	1106	1021	759	3539	4118	4165
3201	2284	2385	3442	230	617	477	418	403	1586	2290	1217	1247	605	1703	777	226	858	1254	955	737	350	161	382	351	455	278	1661	1455	1562
