 Sample_ID	Real_Sample_ID
E17L1	LN1
E17N1	Normal1
E17N3	Normal2
E17B4	Per1
E17B6	Per5
E17B7	Per6
E17B8	Per7
E17B1	Per2
E17B3	Per4a
E17B9	Per9
E17B5	Per3
E17B2	Per4b
E17P1	PT1
E17P11	PT10
E17P12	PT11
E17P13	PT12
E17P2	PT13
E17X2	PT14
E17P3	PT2
E17P4	PT3
E17P5	PT4
E17P6	PT5
E17P7	PT6
E17P8	PT7
E17P9	PT8
E17P10	PT9
