Sample_ID	Real_Sample_ID
C158B1	Per1
C158B2a	Per2a
C158B2b	Per2b
C158B2c	Per2c
C158B3	Per3
C158L1	LN3
C158L2	Normal3
C158L3	LN1
C158N1	Normal2
C158N2	Normal1
C158O1a	OvH1a
C158O1b	OvH1b
C158O2a	OvH2a
C158O2b	OvH2b
C158P1	PT7
C158P2	PT2
C158P3	PT3
C158P4	PT4
C158P5	PT5
C158P6	PT6
C158P7	PT1
C158TD1a	Per4a
C158TD1b	Per4b
