C85L2_2	C85L2_3	C85L3_1	C85L3_2	C85L3_3	C85L5_1	C85L5_2	C85L5_3	C85L6_1	C85L6_2	C85L6_3	C85N1_1	C85N1_2	C85N1_3	C85P1a_1	C85P1a_2	C85P1a_3	C85P1b_1	C85P1b_2	C85P1b_3	C85P1c_1	C85P1c_2	C85P1c_3	C85P1d_1	C85P1e_1
53	61	987	460	349	101	93	152	371	270	177	478	173	84	648	201	122	130	117	0	465	265	340	62	0
368	222	3826	1683	1448	444	390	456	1603	1208	666	1835	695	398	2387	829	424	533	305	185	1951	1027	1214	227	125
1106	675	11742	5976	5055	1374	1365	1272	5595	4011	1955	5829	2645	1398	7101	2698	1453	2223	1109	546	7622	3763	4374	743	451
1556	985	21081	10766	8907	2948	2262	1877	9646	6790	3046	9909	4722	2410	11492	4355	2673	3814	2042	921	14218	6696	7718	1688	844
1122	720	23041	10922	8920	3602	2259	2082	9152	6403	2759	9459	5017	2349	10753	4021	2948	3471	2057	894	14857	6244	7938	2896	835
601	323	14909	6464	5300	3074	1053	1220	5615	3152	1548	5402	2329	1287	5859	2668	1786	2056	1295	662	9145	3731	4053	1467	561
359	192	10636	4385	4039	2062	577	789	4202	1626	1057	3296	1475	903	3290	1747	1158	1125	700	414	5299	2208	2104	947	329
211	122	5483	2155	1896	791	652	253	2043	696	489	1703	802	508	1629	808	555	503	256	172	1940	837	752	330	145
