C11P1_1	C11P1_2	C11P1_3	C11N1_1	C11N1_2	C11N1_3	C11P2_1	C11P2_2	C11P2_3	C11P3_1	C11P3_2	C11P3_3	C11P4_3	C11P5_1	C11P6_1	C11P6_2	C11P6_3	C11L1_1	C11L1_2	C11L1_3	C11L2_1	C11L2_2	C11L2_3	C11L3_1	C11L3_2	C11L3_3	C11L4_1	C11L4_2	C11L4_3	C11L5_1	C11L5_2	C11L5_3	C11N2_1	C11N2_2	C11N2_3
180	132	137	61	80	105	94	65	41	145	170	79	116	222	262	367	364	118	136	185	249	144	215	136	168	157	60	53	46	241	297	153	121	87	121
348	313	298	173	166	269	169	152	104	339	381	212	242	494	643	799	720	241	359	387	569	343	560	287	324	352	149	101	96	552	709	394	209	176	265
528	508	469	276	288	417	272	223	320	521	621	325	354	778	945	1318	1179	396	546	630	812	636	865	496	493	550	230	187	167	773	1045	545	332	322	455
421	385	336	260	215	392	228	153	143	327	467	227	254	588	726	1058	948	296	400	510	669	549	750	377	386	430	217	156	156	568	680	366	270	286	419
645	493	433	397	346	625	280	169	204	316	551	234	296	629	892	1274	1132	371	476	620	878	695	949	492	522	489	291	247	203	745	669	460	499	516	648
930	531	628	712	577	1044	358	222	280	376	810	281	370	665	1200	1724	1405	490	650	773	1131	972	1292	696	755	573	431	379	293	611	827	506	1001	825	1054
529	423	521	819	711	1199	201	126	148	296	508	215	309	472	772	1174	973	414	629	596	968	808	1036	422	482	438	390	327	274	375	693	410	981	1074	1313
171	171	183	706	572	979	72	48	75	173	292	122	150	166	460	826	674	223	316	279	415	435	502	171	235	215	233	211	173	155	342	218	811	1012	1125
77	72	88	438	314	619	33	0	0	96	172	58	70	75	249	499	371	88	145	116	196	192	253	73	112	91	60	76	62	73	159	113	408	490	590
