C53-A_1	C53-A_2	C53-A_3	C53-B_1	C53-B_2	C53-B_3	C53-C_1	C53-C_2	C53-C_3	C53-E_1	C53-E_2	C53-E_3	C53-F_1	C53-F_2	C53-F_3	C53-G_1	C53-G_2	C53-G_3	C53-H_1	C53-H_2	C53-H_3	C53-I_1	C53-I_2	C53-I_3	C53-I_Nod_1	C53-I_Nod_2	C53-I_Nod_3	C53-J_1	C53-J_2	C53-J_3
1468	1332	681	1086	871	507	2076	1492	1276	329	364	313	1719	1064	410	1443	935	645	1240	1034	704	1157	926	555	1156	1147	709	1485	1113	879
4135	3654	1894	2951	2348	1311	4944	3698	3174	662	874	650	4575	3259	1226	3203	2200	1581	3372	2712	1884	2778	2406	1488	2956	2908	1837	3723	2984	2378
5780	4905	2607	4166	3415	1904	6509	4846	4164	792	1022	727	6736	4810	1741	4165	2894	2024	4933	4028	2734	3858	3204	2080	4165	3942	2529	5241	4191	3291
4925	4272	2070	3510	2891	1578	5189	3715	3174	635	831	524	5904	4224	1417	3375	2359	1635	4400	3659	2440	3255	2735	1629	3542	3245	2157	4458	3530	2658
2107	1854	857	1513	1265	650	1865	1330	1086	317	513	211	2594	1884	579	1532	1018	677	2399	1955	1267	1357	1153	634	1522	1394	851	1909	1449	1047
1211	1080	514	874	765	373	873	656	498	218	410	114	1488	1082	326	887	590	385	1895	1513	1025	784	678	364	911	803	490	1133	836	584
1151	1052	520	700	653	340	1240	973	740	202	369	107	1306	944	281	788	556	366	1656	1359	939	761	679	376	881	766	503	1029	755	558
951	833	428	457	451	230	1882	1491	1151	110	258	65	950	735	225	487	364	241	1114	877	609	655	577	334	802	643	451	784	588	485
