E17B1_2	E17B1_3	E17B2_1	E17B2_2	E17B2_3	E17B3_1	E17B3_2	E17B3_3	E17B4_1	E17B4_2	E17B4_3	E17B5_1	E17B5_2	E17B5_3	E17B6_3	E17B7_1	E17B7_2	E17B7_3	E17B8_3	E17B9_3	E17L1_1	E17N1_1	E17N1_2	E17N1_3	E17N3_1	E17N3_2	E17N3_3	E17P10_1	E17P10_2	E17P10_3	E17P11_1	E17P11_2	E17P11_3	E17P12_1	E17P12_2	E17P12_3	E17P13_1	E17P13_2	E17P13_3	E17P1_1	E17P1_2	E17P1_3	E17P2_1	E17P2_2	E17P2_3	E17P3_1	E17P3_2	E17P3_3	E17P4_1	E17P4_2	E17P4_3	E17P5_1	E17P5_2	E17P5_3	E17P6_1	E17P6_2	E17P6_3	E17P7_1	E17P7_2	E17P7_3	E17P8_1	E17P8_2	E17P8_3	E17P9_1	E17P9_2	E17P9_3	E17X2_1	E17X2_2	E17X2_3
2584	710	1084	590	632	1148	587	645	907	952	1429	390	328	498	1925	838	727	1009	1907	65	170	1064	762	1427	1320	781	1213	2379	1848	2196	2215	1122	1530	1546	995	1191	1709	1073	1518	1413	984	1447	1164	890	1209	1155	903	1065	1540	1158	1451	1525	934	1299	1650	1130	1230	1857	1118	1118	1641	1397	1137	1314	877	1742	1419	738	1075
5214	1320	2090	977	1126	2140	1058	1275	1519	1637	2861	724	635	990	3462	1754	1428	1905	3985	147	243	1907	1358	2495	2332	1592	2263	4909	3429	4014	3760	2386	3219	3181	2002	2579	3151	2395	3080	2587	1919	2759	2004	1652	2082	1899	1742	2062	3165	2273	3044	2590	1928	2397	3247	2360	2613	3646	2256	1916	3357	2517	2217	2303	1794	3053	2926	1539	2208
9756	2695	3663	1977	2289	3856	2097	2444	3168	3377	5133	1479	1288	2062	6155	3302	2796	3668	7197	327	396	3784	2856	4901	4979	3362	4661	8843	6598	7300	7177	4426	5836	5765	3957	4928	6259	4429	5663	5100	3774	5116	3812	3436	4246	3581	3323	4071	5707	4421	5389	4911	3649	4734	6057	4447	4791	6372	4089	3816	6075	4882	3805	4239	3450	5935	5284	2967	4004
14642	4238	5664	2895	3528	6037	3219	3896	4720	5013	7657	2346	2096	3256	9270	5018	4309	5660	10735	520	493	6035	4648	8052	7769	5620	7607	12567	9030	10092	10298	6696	9037	8808	6193	7636	9192	6656	8607	7496	5783	7623	5777	5221	6339	5210	4898	6081	8223	6380	8066	7108	5472	7065	8400	6704	7083	9322	6097	5439	8490	6751	5401	6161	4793	8167	8160	4696	6181
16408	5153	6522	3465	4311	6933	3900	4592	5558	5743	8937	2920	2574	4095	10662	5937	5007	6622	12289	660	565	7841	5920	9746	10008	6767	9334	12862	9701	10773	11772	7253	9835	10074	7087	8832	10122	7161	9508	8421	6628	8517	6668	5820	7282	5875	5561	6570	8897	7234	8922	7989	6235	7915	9570	7222	7435	10045	6534	6002	9129	7428	5617	6681	5198	8970	9225	5361	6918
14045	4471	6047	2863	3723	6240	3267	4001	4418	4779	7185	2676	2252	3638	8730	4784	4070	5401	11128	652	587	6825	5413	9004	8777	6301	8533	9628	6900	7419	9083	5611	8082	8125	5570	7228	7877	5376	7358	6536	5147	6699	5250	4805	5851	4306	4260	5124	7020	5504	7093	6255	4881	5931	7029	5507	5612	7894	4910	4376	6571	5184	4156	4815	3572	6457	7774	4372	5898
7399	2482	3321	1487	1945	3256	1628	2028	2128	2166	3767	1429	1209	2052	4571	2375	1864	2663	6111	425	225	3739	2895	5030	4731	3514	4902	3522	2318	2749	4125	2378	3592	3966	2697	3508	3534	2261	3151	2883	2391	2876	2507	2185	2836	1887	1808	2146	3160	2396	3254	2776	2168	2650	3042	2201	2204	3495	2033	1779	2732	1981	1560	1950	1313	2488	3627	1967	2760
2094	844	1066	462	618	1021	495	624	661	520	1089	436	371	610	1665	629	483	781	2050	163	97	1020	827	1534	1439	868	1516	1031	643	741	1347	571	1004	1088	760	757	1115	522	868	884	670	868	818	537	846	545	478	534	960	694	840	837	527	849	846	562	706	1105	495	517	841	593	496	534	378	785	1051	478	790
