C38-A_1	C38-A_2	C38-A_3	C38-B_1	C38-B_2	C38-C_1	C38-C_2	C38-C_3	C38-D_1	C38-D_2	C38-D_3	C38-E_1	C38-E_2	C38-E_3	C38-F_1	C38-F_2	C38-F_3	C38-G_1	C38-G_2	C38-G_3	C38-H_1	C38-H_2	C38-H_3	C38-I_1	C38-I_2	C38-I_3	C38-J-N1_1	C38-J-N1_2	C38-J-N1_3	C38-J-N2_1	C38-J-N2_3	C38-K_1	C38-K_2	C38-K_3	C38-L_2	C38-L_3
7106	8113	11941	2227	3332	4871	6893	6620	2159	3033	2785	16501	6913	7239	95	0	0	2227	1456	894	3271	1295	786	795	4595	5124	1051	7070	9288	628	6727	5768	826	8906	1132	4313
18812	23134	29111	11289	13880	14386	18775	19374	9815	12377	13588	17114	9896	7418	0	181	0	8772	5488	4826	3999	4197	3116	3318	13933	18365	3899	21060	25976	2616	25479	20375	2681	24323	3232	13817
2984	3805	5107	9240	12496	0	2777	0	11643	11846	15875	0	0	0	608	2225	1541	4321	2943	2734	2192	2011	1503	2007	8293	9432	572	0	0	1318	13916	3456	468	4229	1049	4092
425	519	673	5379	6084	501	753	557	2935	2777	3623	0	171	0	3549	8242	6864	987	654	545	1530	1845	1740	544	2086	3219	119	568	976	257	2465	870	96	785	178	817
522	608	884	1780	1637	789	1225	707	484	116	667	52	382	139	7477	15382	13978	631	602	764	1399	560	686	621	1682	2618	213	951	1632	87	1020	1248	88	1057	166	913
480	444	909	792	677	825	1212	707	109	188	296	60	342	0	7302	13791	13222	387	459	966	867	476	340	415	1458	1770	209	908	1774	91	996	986	0	1914	361	490
0	0	0	0	0	0	289	0	0	362	0	0	529	954	812	1847	1691	0	0	415	0	0	0	0	0	133	0	0	0	0	0	0	0	0	692	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	0	0
