C38-A_1	C38-A_2	C38-A_3	C38-B_1	C38-B_2	C38-B_3	C38-C_1	C38-C_2	C38-C_3	C38-D_1	C38-D_2	C38-D_3	C38-E_1	C38-E_2	C38-E_3	C38-F_1	C38-F_2	C38-F_3	C38-G_1	C38-G_2	C38-G_3	C38-H_1	C38-H_2	C38-H_3	C38-I_1	C38-I_2	C38-I_3	C38-J-N1_1	C38-J-N1_2	C38-J-N1_3	C38-J-N2_1	C38-J-N2_2	C38-J-N2_3	C38-K_1	C38-K_2	C38-K_3	C38-L_1	C38-L_2	C38-L_3
319	331	294	566	359	269	403	257	338	262	113	353	1089	1185	810	195	94	0	452	319	271	236	292	288	313	306	404	407	425	356	360	220	390	749	869	314	287	92	313
2502	1810	1803	2154	1788	1522	1444	1188	1084	1541	1343	1435	3084	2446	1952	300	246	202	961	1013	335	622	730	511	1632	660	1386	1447	1776	1531	1644	1710	1314	2611	3338	1351	753	505	1011
5616	4627	3871	4628	4093	3177	3533	2693	2379	3877	3340	3554	535	454	304	241	0	0	1916	2238	575	1513	1214	894	4477	1672	3018	3421	4199	3533	3842	4703	3069	554	690	510	1812	1243	2084
2862	2034	1727	695	580	464	529	438	368	779	664	569	96	0	0	0	0	0	237	249	0	140	143	120	610	132	377	400	602	557	518	659	452	346	652	422	311	146	353
3559	2942	2197	721	610	565	621	586	416	1206	1066	761	206	312	88	72	67	58	245	71	50	87	105	0	318	176	271	230	249	204	545	550	429	1027	949	554	85	89	107
580	584	448	2005	1671	1442	1348	1239	1036	2099	1803	1429	700	846	351	439	406	314	808	390	178	292	412	285	1153	564	867	732	771	733	1495	1610	1119	1718	1867	1179	302	430	380
219	241	222	3168	2422	2042	2370	1658	1365	1140	781	905	1392	1652	747	2189	2037	1513	1550	1117	449	948	1166	753	2469	1218	1644	1733	2173	1872	2288	2400	1723	615	733	489	794	1061	982
608	439	293	1536	1238	842	1235	848	599	396	331	325	1758	1797	1068	6242	6092	4107	2066	1924	592	1733	1945	1165	3343	1811	2153	2462	3707	3069	920	1076	717	835	1175	883	1200	1512	1542
1033	676	459	1653	1373	917	1413	1023	777	394	360	369	742	577	441	10181	9993	6862	1144	1374	395	1282	1488	861	2909	1544	1895	1325	2278	1853	977	1224	748	1343	1887	1484	700	1038	1403
104	78	77	169	173	96	85	144	0	55	0	0	93	0	0	1901	1965	1201	124	99	0	154	201	106	350	244	197	79	306	186	107	182	0	166	221	169	93	153	176
