C38-A_1	C38-A_2	C38-A_3	C38-B_1	C38-B_2	C38-B_3	C38-C_1	C38-C_2	C38-C_3	C38-D_1	C38-D_2	C38-D_3	C38-E_1	C38-E_2	C38-E_3	C38-F_1	C38-F_2	C38-F_3	C38-G_1	C38-G_2	C38-G_3	C38-H_1	C38-H_2	C38-H_3	C38-I_1	C38-I_3	C38-J-N1_1	C38-J-N1_2	C38-J-N1_3	C38-J-N2_1	C38-J-N2_2	C38-J-N2_3	C38-K_1	C38-K_2	C38-K_3	C38-L_1	C38-L_2	C38-L_3
345	407	210	316	370	0	117	119	63	203	231	107	383	457	245	0	0	0	59	64	0	0	0	0	372	166	302	0	239	82	102	56	132	67	93	89	80	0
574	586	296	897	868	537	195	195	123	323	367	175	332	380	260	0	0	0	73	74	0	57	55	0	961	446	898	1117	812	143	132	103	237	139	165	124	122	0
2516	2320	1582	2143	2156	1295	799	802	480	1542	1664	889	1876	1451	1213	95	87	62	321	358	119	206	166	184	2492	1030	1965	2501	1911	567	512	465	676	357	502	634	623	189
3086	2866	2206	3895	3651	2268	1119	1103	714	1978	2243	1295	444	322	303	212	255	150	530	499	203	387	309	303	2821	1469	3364	3983	2887	901	894	715	1230	931	819	803	925	396
6810	6451	4897	3719	3514	2384	2594	2703	1814	4588	5011	3101	1132	772	771	840	990	625	1256	1080	454	923	755	790	2407	1120	3140	3735	2576	2391	2343	1846	1828	1672	1434	1879	2390	945
4948	4195	3734	1643	1671	1292	2203	2023	1370	3100	2734	2076	910	687	631	2218	2467	1644	1096	1196	472	609	471	531	460	268	628	640	441	1448	1614	1044	2984	2860	2468	1372	1081	806
961	702	611	568	712	407	595	535	364	777	691	442	1195	846	759	3430	3708	2515	276	247	118	162	149	163	678	336	595	516	479	389	340	315	762	663	746	516	361	242
689	435	460	696	909	555	571	555	337	338	257	177	329	276	297	5158	5688	4115	193	165	75	112	177	148	732	585	829	701	687	290	426	292	617	436	730	251	161	81
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	692	770	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
