C38-A_1	C38-A_2	C38-A_3	C38-B_1	C38-B_2	C38-B_3	C38-C_1	C38-C_2	C38-C_3	C38-D_1	C38-D_2	C38-D_3	C38-E_1	C38-E_2	C38-E_3	C38-F_1	C38-F_2	C38-F_3	C38-G_1	C38-G_2	C38-G_3	C38-H_1	C38-H_2	C38-H_3	C38-I_1	C38-I_2	C38-I_3	C38-J-N1_1	C38-J-N1_2	C38-J-N1_3	C38-J-N2_1	C38-J-N2_2	C38-J-N2_3	C38-K_1	C38-K_2	C38-K_3	C38-L_1	C38-L_2	C38-L_3
82	122	263	0	0	92	157	205	136	0	96	106	54	186	93	0	0	0	2509	3009	1218	2232	3111	3262	5423	3124	4535	3806	3704	5281	5348	6320	5550	3737	2233	2146	2361	1703	2016
765	740	718	505	587	579	1750	2075	1985	655	531	702	486	802	432	51	0	0	9961	12348	5748	9463	10401	9995	15053	8480	10313	13256	11822	15363	19403	21109	21229	14552	9256	8892	10202	7269	8765
4770	3413	2574	2497	2561	2840	7728	7702	7522	2348	2723	3737	2440	4234	1946	0	53	151	1231	1305	451	1234	1059	1023	1999	1117	1392	1802	1320	2293	1838	2514	2249	2131	1089	1728	855	720	728
7796	6337	5426	6235	5229	6161	7136	6936	6854	5310	6258	7238	4609	6008	4944	225	253	223	309	160	55	104	101	88	223	171	277	182	137	367	371	363	366	437	82	672	123	132	50
6396	5401	5392	5763	5472	5113	1728	1953	1687	4653	5249	5242	3898	3479	3289	206	281	311	3167	2378	1988	1115	1182	951	407	312	354	593	512	473	4038	3917	4277	273	311	399	2234	3069	2877
7786	7867	6839	6270	5857	5481	9219	7996	7702	5279	4762	5854	5247	5365	6399	502	586	508	11862	11981	10050	7570	6713	6187	5445	3438	4273	5746	6173	4420	20552	19836	20748	3054	4319	4027	11338	12386	15354
12092	14305	11956	9647	8791	8353	10843	10225	10309	9412	8203	9503	8926	8874	10154	1397	1581	1112	1909	1831	1336	2994	2796	2834	9753	7921	8859	10651	10865	10384	2321	2559	2364	5473	8079	9848	1555	1631	1795
1446	1421	1753	5295	5079	4220	1320	1790	1335	3138	1786	2636	889	551	916	3650	3821	2761	1366	934	845	1275	1202	1281	3132	2405	2467	2730	2623	3073	732	1000	749	1499	1753	2929	523	705	604
943	813	916	3467	3435	3093	986	1537	1148	623	504	856	460	325	340	7654	8045	6208	2123	1434	1171	1644	1505	1567	2573	1843	1832	1416	1772	1495	1171	1409	1101	1474	1844	2497	785	881	666
1263	1122	1297	2772	2899	3161	1717	2182	1717	484	432	987	601	461	255	12041	12629	9671	3234	2261	1621	2337	2036	2257	3687	3031	2617	1862	2588	1725	2006	2344	1701	2415	3249	3295	1196	1754	943
1282	1084	1306	2853	2945	3203	1812	2387	2084	525	366	1011	615	562	421	13421	14016	10727	3356	2434	1543	2376	1980	2311	3964	3368	2933	1793	2884	1896	2166	2533	1932	2511	3694	3213	1359	2314	857
1047	731	877	2102	1947	2315	1103	1573	1265	397	182	644	449	426	249	9875	9916	7477	2091	1514	795	1611	1119	1526	2624	2648	1740	1140	2076	1390	1297	1745	1221	1594	2242	1891	899	2286	502
0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
