C59-A_1	C59-A_2	C59-A_3	C59-C_1	C59-C_2	C59-C_3	C59-D_1	C59-D_2	C59-D_3	C59-D2_1	C59-D2_2	C59-D2_3	C59-E_1	C59-E_2	C59-E_3	C59-F-L1_1	C59-F-L1_2	C59-F-L1_3	C59-F-L2_1	C59-F-L2_2	C59-G_1	C59-G_2	C59-G_3	C59-H_1	C59-H_2	C59-H_3	C59-I_1	C59-I_2	C59-I_3	C59-J_1	C59-J_2	C59-J_3	C59-M_1	C59-M_2	C59-M_3	C59-N_1	C59-N_2	C59-N_3
777	641	451	474	473	300	135	122	59	133	168	0	212	202	90	186	173	54	136	127	260	153	110	742	820	380	513	502	285	386	461	264	416	504	258	222	242	104
1628	1280	1063	1028	916	664	276	255	127	330	438	0	470	430	162	456	359	116	241	233	518	338	245	1485	1728	979	1056	1206	601	770	1014	571	904	1160	569	449	588	253
3515	2746	2163	2297	1975	1348	685	648	274	730	931	67	875	901	353	758	641	216	401	408	1064	715	497	3111	3772	2033	2209	2522	1300	1648	2147	1147	1876	2550	1177	981	1302	564
5347	4111	3218	3644	3233	2071	1376	1155	720	1485	1856	188	1436	1489	585	1294	1055	349	487	529	1574	1050	759	4806	5586	3095	3399	3643	1992	2613	3277	1719	2868	3878	1779	1587	2036	930
6008	4539	3645	4350	3806	2552	2895	2537	1494	2979	3716	426	1776	1791	762	1605	1331	441	482	502	1821	1236	846	5450	6100	3521	3979	4332	2308	3087	3694	2016	3391	4415	2044	1922	2403	1159
4975	3907	3101	3799	3245	2280	4450	4174	2350	4524	5794	683	1723	1695	712	1543	1311	435	382	385	1553	1063	728	4279	4997	2873	3333	3597	1970	2753	3252	1870	2988	3688	1818	1772	2221	1067
2880	2286	1825	2171	1907	1311	5058	4732	2727	5130	6467	768	1160	1145	460	1161	879	326	211	212	801	557	374	1951	2327	1376	1626	1850	1004	1628	1988	1149	1711	2027	1041	1162	1399	682
1090	830	675	851	760	459	3948	3559	2162	3967	4790	588	517	493	210	607	439	184	107	109	222	179	103	653	681	383	497	583	273	645	795	483	549	750	362	525	572	298
324	263	182	280	208	165	1689	1507	1007	1678	1974	265	197	163	86	218	187	61	0	0	72	0	0	155	168	101	125	145	95	252	258	141	150	192	105	175	158	101
