C95L1_1	C95L1_2	C95L1_3	C95L12_1	C95L12_2	C95L12_3	C95L2_1	C95L2_2	C95L2_3	C95L3_1	C95L3_2	C95L3_3	C95L4_1	C95L4_2	C95L4_3	C95L5_1	C95L5_2	C95L5_3	C95L7_1	C95L7_2	C95L7_3	C95L8_1	C95L8_2	C95L8_3	C95L9_1	C95L9_2	C95L9_3	C95N2_1	C95N2_2	C95N2_3	C95N3_1	C95N3_2	C95N3_3	C95P1a_1	C95P1a_2	C95P1a_3	C95P1c_1	C95P1c_2	C95P1c_3
3779	4291	5138	3783	2516	2083	4475	3343	3018	4159	3998	2835	10099	9346	8979	3856	2441	3127	15618	15063	14915	10841	11593	13856	6286	4808	5617	91	50	53	89	68	55	29792	0	0	7766	12573	9185
11298	15363	10832	17558	14642	12529	19991	15979	15744	16710	16082	13783	29578	29510	29389	13947	9780	11562	29894	29997	30413	29868	29886	29379	26421	20358	22367	1079	976	877	1007	744	1159	25459	21060	22535	27907	26301	27586
2593	3380	2383	14322	12084	9435	15450	12457	11416	10963	13161	10441	20176	17316	18112	10487	7150	6347	4878	5365	4448	4709	5124	5713	19320	15219	16330	6285	6971	6673	6299	6280	7594	4274	2779	3209	20459	27318	23935
5803	6133	5302	6931	7092	5556	7306	7955	6630	6569	6035	4418	7196	6714	7094	6904	4500	6578	3806	4094	3707	6316	7117	7976	8643	7470	8457	20575	21781	21736	21186	20507	25231	6794	4990	5891	9393	14345	11291
8999	8322	7553	8899	9326	7457	8797	10967	8810	8907	6934	5531	8620	7805	8180	7445	5598	7888	5065	4739	4773	9912	10964	11983	10678	8946	10878	29476	29520	29613	29077	29393	28607	10640	8519	9775	12829	17459	15136
4098	2837	3673	3559	3128	2218	3755	2787	2557	3457	2519	1837	4795	3577	2966	3492	2947	2707	2185	2033	1869	3836	4889	5048	4247	2800	4114	14813	15343	15055	16300	15189	19867	4794	3288	3934	5667	7853	6917
2716	1591	1504	2108	1674	1001	2235	1070	922	1713	1138	993	3045	1817	1523	2066	1683	2001	897	1285	1033	1978	2849	2623	1958	1565	1890	6757	6821	6704	7613	6762	9685	2735	1602	2144	3593	4446	4101
1063	707	759	556	404	209	514	281	179	506	217	249	953	452	492	864	483	1031	442	326	383	430	643	631	479	233	444	1397	1305	1234	1435	1247	1977	688	341	501	846	1170	818
