C95L1_2	C95L12_1	C95L12_2	C95L12_3	C95L2_1	C95L2_2	C95L2_3	C95L3_1	C95L3_2	C95L3_3	C95L4_1	C95L4_2	C95L4_3	C95L5_1	C95L5_2	C95L5_3	C95L7_1	C95L7_2	C95L7_3	C95L8_1	C95L8_2	C95L8_3	C95L9_1	C95L9_2	C95L9_3	C95N2_1	C95N2_2	C95N2_3	C95N3_1	C95N3_2	C95N3_3	C95P1a_1	C95P1a_2	C95P1a_3	C95P1c_1	C95P1c_2	C95P1c_3
1895	2941	2983	3295	7544	6770	7678	2374	2126	1913	9334	8215	7219	2172	1677	961	14174	13464	13449	1561	1337	1909	2709	2209	2473	77	100	110	156	191	132	13866	9767	10120	4853	4316	6084
7086	8200	8093	8666	4733	6657	5910	6084	6301	6644	13232	10639	10829	4689	3204	3265	3604	2767	2667	6157	5488	7502	9746	7048	8082	890	925	889	1134	1124	1001	27058	20319	21023	14243	11836	15865
3077	1793	1938	1754	2172	2146	1594	3596	3683	3989	3630	2257	2274	1634	1240	1782	16121	19737	14540	9967	9709	11623	7729	7512	6695	3515	3254	3972	4115	3947	3437	4533	3415	3434	6329	4648	6672
7743	6750	6240	5187	6435	5017	5287	5275	5101	4131	9101	7880	8090	4716	4274	3853	1596	2637	1662	9479	9690	9394	7859	7015	7863	10947	10731	12152	12113	12255	10939	11310	9576	9509	10908	8372	13526
4018	15144	13296	11985	13554	10806	10115	12650	10604	9981	18570	16539	16124	10544	10594	7656	2146	3866	3578	16529	17766	16903	15702	14364	14720	20685	21372	21883	22160	22641	21492	26251	23047	23524	23649	18098	28718
5326	7165	7568	6396	7884	6037	7029	6175	5188	5105	7089	6041	5911	8126	6470	8138	1870	2861	3895	7822	7378	7027	6755	6964	6247	28216	28508	27015	28910	28684	28803	16533	13756	14025	11712	9813	14383
4652	5425	6441	4871	5434	4527	5042	4400	4076	4915	4687	3656	3702	3408	3230	3394	1685	2422	1899	5752	5803	5388	5046	5650	5102	26837	27566	26364	26661	26622	27090	7277	6205	6054	9694	7417	11078
836	718	735	364	626	509	459	566	424	918	711	497	416	439	774	267	200	341	209	679	563	730	765	800	783	3058	3274	2736	2960	2689	2811	760	716	655	881	901	1406
