C95L1_1	C95L1_2	C95L1_3	C95L12_1	C95L12_2	C95L12_3	C95L2_1	C95L2_2	C95L2_3	C95L3_1	C95L3_2	C95L3_3	C95L4_1	C95L4_2	C95L4_3	C95L5_1	C95L5_2	C95L5_3	C95L7_1	C95L7_2	C95L7_3	C95L8_1	C95L8_2	C95L8_3	C95L9_1	C95L9_2	C95L9_3	C95N2_1	C95N2_2	C95N2_3	C95N3_1	C95N3_2	C95N3_3	C95P1a_1	C95P1a_2	C95P1a_3	C95P1c_1	C95P1c_2	C95P1c_3
2036	1227	1999	1211	872	1017	3631	1783	3330	2647	1162	2767	2571	1243	3023	3253	1612	3059	3876	642	17888	685	106	1105	2870	487	4214	88	0	108	0	0	102	11188	1852	13197	1329	643	1554
5651	4068	5423	3930	3140	3077	7114	3978	7272	8265	4103	7966	7728	3781	7678	7798	4078	6838	7839	1419	29513	2610	493	4042	6924	1373	10921	281	85	439	374	62	403	18187	3297	23135	4479	2229	5548
9780	7368	9961	6053	4367	4550	5466	3023	5837	13877	7140	13269	12303	6048	11619	13914	7870	12889	4721	977	16254	5443	1215	8303	8171	1585	12434	923	190	1386	1494	212	1183	12367	2337	15578	6403	3378	8282
11848	8823	12207	3382	2332	2957	6308	3195	6618	13816	6401	12602	11895	6214	11671	16292	9614	15313	3384	767	9830	5946	1488	9146	5268	1242	8241	2309	525	3468	3998	495	3220	9047	1853	11215	4285	2477	5770
10022	6828	10183	2076	1243	1756	3921	2029	4180	8719	3966	7808	7608	3877	7785	11371	6965	11381	524	203	2404	2611	741	4209	1577	428	2494	3868	1020	6251	8135	1072	5726	1828	461	2552	2303	1602	3718
8119	5242	8315	1522	897	1161	3452	1393	3019	5934	2852	5290	5167	2509	5710	8664	5021	8142	452	129	2353	1619	369	2545	1149	263	1889	6985	1774	10580	14771	1847	9890	1623	360	2168	1470	1028	2326
5827	3797	5967	1941	1179	1429	3237	1418	2657	4916	2191	4263	4074	2017	4831	6564	3788	6428	604	195	2659	1905	396	2845	1523	372	2626	10686	2575	15068	20944	2754	14152	2074	471	2778	1904	1248	2769
3136	2080	3206	1946	1233	1527	2489	1114	2040	2760	1342	2486	2464	1191	2889	3839	1890	3420	547	159	2226	1911	388	2727	1617	348	2948	10973	2735	14741	20940	2844	13815	2059	421	2557	1854	1228	2555
1138	718	1044	914	533	637	998	458	881	1016	448	975	1032	443	997	1483	704	1097	215	76	968	969	172	1204	796	170	1355	5864	1467	7544	10397	1436	6740	905	174	1117	842	546	1275
