	PT1	PT2	PT3	PT5	PT4	Sat1	Sat2	Per1	Per2	Per3	LN1	VI1	Normal1
PT1	0	0.170345774682385	0.12529784608996	0.113593536749615	0.226890717548082	0.220854131535494	0.246348100844822	0.22846040332599	0.22698207743335	0.23354484209215	0.22480213908563	0.24850672052408	1.0471975511966
PT2	0.170345774682385	0	0.132451097777931	0.171186734206634	0.155706726984315	0.197895132738724	0.210652653351186	0.198243750014924	0.199429424588922	0.224288246692619	0.213966093063269	0.195120181621534	1.0471975511966
PT3	0.12529784608996	0.132451097777931	0	0.11920420748945	0.192236977541278	0.201860082955788	0.203842724165241	0.225145531631603	0.216051997419617	0.189908982238356	0.219832505328137	0.189248813234908	1.0471975511966
PT5	0.113593536749615	0.171186734206634	0.11920420748945	0	0.235295448863205	0.230705349425705	0.25157101767219	0.2532181796433	0.247464584896862	0.219086935376692	0.250654507115513	0.236690760946272	1.0471975511966
PT4	0.226890717548082	0.155706726984315	0.192236977541278	0.235295448863205	0	0.212640471057644	0.188874219854828	0.253151977593417	0.217309540464956	0.207353615590209	0.23887020026011	0.188910419693627	1.0471975511966
Sat1	0.220854131535494	0.197895132738724	0.201860082955788	0.230705349425705	0.212640471057644	0	0.116752309326957	0.128665990059362	0.104286233295099	0.157353924614679	0.132352156789516	0.133577092532932	1.0471975511966
Sat2	0.246348100844822	0.210652653351186	0.203842724165241	0.25157101767219	0.188874219854828	0.116752309326957	0	0.171897627869499	0.114411469529805	0.131079768590959	0.183901021621542	0.120605541931892	1.0471975511966
Per1	0.22846040332599	0.198243750014924	0.225145531631603	0.2532181796433	0.253151977593417	0.128665990059362	0.171897627869499	0	0.103230309806054	0.199058972382116	0.152600280751198	0.193783057339905	1.0471975511966
Per2	0.22698207743335	0.199429424588922	0.216051997419617	0.247464584896862	0.217309540464956	0.104286233295099	0.114411469529805	0.103230309806054	0	0.149208739597531	0.184398479709117	0.150539440560424	1.0471975511966
Per3	0.23354484209215	0.224288246692619	0.189908982238356	0.219086935376692	0.207353615590209	0.157353924614679	0.131079768590959	0.199058972382116	0.149208739597531	0	0.22923556619269	0.0892846421242893	1.0471975511966
LN1	0.22480213908563	0.213966093063269	0.219832505328137	0.250654507115513	0.23887020026011	0.132352156789516	0.183901021621542	0.152600280751198	0.184398479709117	0.22923556619269	0	0.202556659381563	1.0471975511966
VI1	0.24850672052408	0.195120181621534	0.189248813234908	0.236690760946272	0.188910419693627	0.133577092532932	0.120605541931892	0.193783057339905	0.150539440560424	0.0892846421242893	0.202556659381563	0	1.0471975511966
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0
