C84L10_1	C84L10_2	C84L10_3	C84L11_1	C84L11_2	C84L11_3	C84L12_1	C84L12_2	C84L12_3	C84L13_3	C84L14_1	C84L14_2	C84L14_3	C84L2_1	C84L2_2	C84L2_3	C84L3_1	C84L3_2	C84L3_3	C84L4_1	C84L4_2	C84L4_3	C84L5_1	C84L5_2	C84L5_3	C84L6_1	C84L6_2	C84L6_3	C84L7_1	C84L7_2	C84L7_3	C84L8_1	C84L8_2	C84L8_3	C84L9_1	C84L9_2	C84L9_3	C84N1_1	C84N1_2	C84N1_3	C84N2_1	C84N2_2	C84P1a_1	C84P1a_2	C84P1a_3	C84P1b_1	C84P1b_2	C84P1b_3	C84P1c_1	C84P1d_1	C84P1d_2	C84P1d_3
467	807	1450	312	271	1388	298	491	1689	235	468	256	1433	990	449	2580	641	634	1673	683	553	978	614	779	1501	494	375	1032	314	612	594	1262	877	3200	536	543	1016	660	619	1471	721	498	1070	1197	2225	474	749	993	640	1360	547	747
1579	2710	5618	1218	1034	4370	1185	1923	5888	885	1666	1060	3592	2505	1198	3662	2728	2376	5692	2532	1755	3979	1973	3172	5779	1212	1282	2707	1225	2555	1868	656	817	2053	1847	1852	4557	2551	2217	6077	2729	1939	4155	4552	8835	1734	2529	3924	2454	4674	2228	3045
3902	6218	12673	2814	2913	9732	3077	4780	13452	1694	3295	2567	6694	3178	1718	5821	6185	5801	12998	5378	4469	9600	5087	7175	12584	3265	3436	7130	2960	5029	4146	1006	1092	2283	4736	5039	11567	6276	6017	15761	6753	5613	9889	10877	20775	4946	6518	9639	6280	11987	5671	7365
4955	6831	14295	3251	3508	11026	3732	5308	16431	1512	3611	2762	7472	3135	1689	6231	7283	6717	15694	5553	5550	12441	6237	8483	14184	4427	4575	8991	3763	4981	4716	915	1218	2221	5961	5772	14485	7992	7858	19860	8484	7374	11141	12615	23876	6835	8350	12870	7099	14753	6465	8604
2365	2313	5794	1035	1599	4666	1509	1822	6212	807	1185	943	2524	789	724	2306	2753	2596	6195	1873	2260	3924	2498	2782	5229	1921	3276	4050	1324	1474	2352	539	328	1046	3186	3182	6349	3499	3613	8785	3833	3228	3397	4224	7635	4219	4522	7449	2930	6244	2094	2695
3699	3170	8192	1533	2511	6795	2380	2852	8576	1242	1675	1179	3137	937	1110	3649	3476	3462	8793	2336	2870	4757	3552	3454	7440	2234	3527	4937	2061	1835	2869	827	442	1930	5210	4931	10629	5625	6042	14240	6040	5495	3859	4669	8724	5413	5944	10617	4422	9305	3074	3631
3933	3155	8425	1739	2505	6109	2477	2914	8018	1039	1596	898	3322	778	875	3357	3241	3379	8267	2104	3119	4157	3005	3198	8012	1904	2508	4547	2378	1726	2862	1155	542	1998	5168	4608	10408	5949	6169	15158	6274	5121	3560	4464	8123	2899	3418	6119	4294	9133	2929	3285
385	324	976	208	216	890	279	264	1006	156	167	95	408	135	81	435	441	386	1040	260	338	537	363	343	934	357	264	1245	166	157	437	0	0	183	504	451	1053	701	586	1737	885	519	462	629	1143	316	393	732	401	973	233	265
