C84L10_1	C84L10_2	C84L10_3	C84L11_1	C84L11_2	C84L11_3	C84L12_1	C84L12_2	C84L12_3	C84L13_2	C84L14_3	C84L2_1	C84L2_2	C84L2_3	C84L3_1	C84L3_2	C84L3_3	C84L4_1	C84L4_2	C84L4_3	C84L5_2	C84L6_1	C84L6_2	C84L6_3	C84L7_1	C84L7_2	C84L7_3	C84L8_3	C84L9_1	C84L9_2	C84L9_3	C84N1_1	C84N1_2	C84N1_3	C84N2_1	C84N2_2	C84P1a_1	C84P1a_2	C84P1a_3	C84P1b_1	C84P1b_2	C84P1b_3	C84P1c_1	C84P1d_1	C84P1d_2	C84P1d_3
164	202	404	1240	391	930	171	306	518	0	1321	1439	461	1668	296	204	462	163	135	280	144	1119	1549	2285	169	93	81	1113	256	195	537	183	135	403	232	137	429	527	1020	412	264	815	184	594	260	288
833	1379	1710	1553	1527	3313	1171	1847	3006	266	5849	4699	2084	5233	1181	1072	2316	812	779	1733	734	2437	4247	5065	875	788	399	4950	1102	1013	2565	942	694	2301	1086	756	1836	2062	4240	1604	1278	3091	1029	2601	1501	1469
2486	3728	5437	1375	2624	5675	2876	4273	8058	973	7004	6090	3738	5746	3848	3096	7684	2328	2467	5708	2082	3892	5818	8602	2449	1691	1093	7399	3006	2930	8134	3534	3233	8839	3918	3153	5461	5900	12992	4235	3918	8903	3323	8005	4347	4560
4264	5835	9893	2497	3331	6914	3370	5585	12931	1653	5520	4318	4084	8795	5933	5505	14362	4349	4289	10062	3586	4841	4275	10272	3863	2840	1556	6122	4805	4951	14132	7134	6522	17656	8109	6613	9538	10046	22867	7373	7378	16871	6270	14411	7224	7790
3957	4881	9450	2094	3139	5774	3164	5254	11742	1487	4242	757	1242	2758	5639	5673	13941	4585	4240	9030	3944	2149	2739	5613	3329	3596	1333	2246	4284	4507	13733	7770	7231	19933	9015	7356	9205	9485	21576	7369	7667	16664	6350	14912	6871	6593
1174	775	2547	274	405	1304	714	889	2545	462	911	120	277	620	1353	1319	3146	1054	902	2597	978	398	409	1358	549	556	263	304	1198	1142	3223	2545	2417	7036	3361	2524	2077	2366	4738	2060	2096	4994	1457	3443	1224	1204
531	262	1080	143	104	606	310	354	1190	327	551	0	113	378	683	399	1284	329	493	1064	456	258	145	191	163	214	81	83	436	344	988	1922	1851	5225	2567	1814	614	619	1619	637	680	1334	377	1294	411	357
441	189	920	103	57	309	256	272	723	276	289	0	61	298	488	317	896	179	339	662	338	261	117	139	143	160	88	0	361	217	784	1888	1662	4741	2372	1625	294	420	1055	263	301	538	209	769	316	243
264	124	520	53	52	137	144	155	412	167	115	0	0	0	299	182	595	79	231	364	174	193	70	78	74	94	0	0	271	155	470	1237	1051	2977	1511	997	147	211	0	111	155	239	99	428	209	198
