C84L10_1	C84L10_2	C84L10_3	C84L11_1	C84L11_2	C84L11_3	C84L12_1	C84L12_2	C84L12_3	C84L13_1	C84L13_2	C84L13_3	C84L14_1	C84L14_2	C84L14_3	C84L2_1	C84L2_2	C84L2_3	C84L3_1	C84L3_2	C84L3_3	C84L4_1	C84L4_2	C84L4_3	C84L5_1	C84L5_2	C84L5_3	C84L6_1	C84L6_2	C84L6_3	C84L7_1	C84L7_2	C84L7_3	C84L8_1	C84L8_2	C84L8_3	C84L9_1	C84L9_2	C84L9_3	C84N1_1	C84N1_2	C84N1_3	C84N2_1	C84N2_2	C84N2_3	C84P1a_1	C84P1a_2	C84P1a_3	C84P1b_1	C84P1b_2	C84P1b_3	C84P1c_1	C84P1c_3	C84P1d_1	C84P1d_2	C84P1d_3
397	293	518	453	271	563	1117	463	875	418	165	190	690	162	271	1200	331	431	617	499	993	339	346	784	351	297	478	722	606	835	443	618	924	310	264	1350	188	218	542	279	0	337	302	77	315	1957	1807	3904	538	486	1596	1355	4414	1696	1180	4373
1697	1160	2410	1708	1366	2996	4015	1701	3859	1421	827	595	2048	659	985	4212	1525	2619	2797	1538	3644	1379	1283	2828	1178	1139	2154	2076	2218	2924	1636	2231	3895	870	1168	3418	733	898	2344	770	586	1629	966	447	1377	8530	8669	16669	2080	2134	7580	6339	18618	5955	5210	15732
4622	3797	7687	5095	4040	8973	9345	4752	12286	1949	1551	2510	4743	2120	3403	9153	3924	6211	8202	5124	12215	4361	3335	10797	4013	4220	7541	4059	4106	5555	3009	4467	8453	1429	2286	6782	2431	2953	6797	2009	1564	5070	2376	1445	4087	13748	14115	25812	6745	7536	20398	9704	26545	7731	6989	19101
7310	5801	11701	6798	5429	12940	10327	5435	15190	891	914	1579	6410	3324	5050	10366	4405	7022	12095	7186	18053	6822	6162	15397	6197	6185	13422	2030	1862	4591	1583	2697	4363	1010	1218	3240	3249	4656	9308	6439	7078	17173	7454	5369	15724	5838	6315	12170	9660	10190	26324	3143	8855	2507	2283	6835
6382	4948	10071	2539	1852	4457	7046	2877	7830	775	586	1758	3872	2189	2729	5697	1913	2342	9218	4513	12080	5429	4115	11074	3578	4263	9989	2898	2389	7548	1995	3429	5362	1350	1210	3730	1485	2322	4837	11915	17017	26049	14243	11330	25760	4136	4000	9922	4266	4240	10877	2638	7341	1958	2309	7518
7800	5992	11988	2830	1638	3354	7285	3372	8851	917	768	2692	3747	2910	3144	6112	1882	1553	10764	4958	13906	6419	5460	13288	3741	4490	10703	4555	3871	11614	3052	4910	7978	2170	1840	4699	1658	2789	5448	15928	24053	25952	18735	15209	24830	5881	5682	14041	4515	4533	10266	3933	11547	3186	3796	12682
5091	3933	8251	3196	1667	3056	4452	2431	5841	713	148	1668	2405	1972	2774	6572	1654	1036	7532	3225	9371	5013	4554	9342	2613	2383	6281	3160	3132	8579	2752	3508	5757	1666	1280	2824	1451	2397	4378	10894	16404	25753	12567	10336	25510	5450	5119	13087	4397	4354	10147	3556	9406	2972	3861	12753
1253	1174	2537	2521	1359	2457	1450	734	1875	198	88	228	725	387	307	4645	943	745	2098	730	2804	2092	1767	3851	413	620	1067	654	789	1900	545	908	1664	519	406	1165	835	1257	2163	3815	5704	10174	4344	3562	9303	3803	3249	8117	3249	3261	7152	1878	4228	1757	2412	7999
