sample	tissue_type	treatment	resection_procedure	grade	grading	vertical	lateral	timing_mets
E2A1a	dodgerblue	purple	springgreen1	black	black	black	black	dodgerblue
E2A1b	dodgerblue	purple	springgreen1	black	black	black	black	dodgerblue
E2A2a	dodgerblue	purple	springgreen1	black	black	black	black	dodgerblue
E2A2b	dodgerblue	purple	springgreen1	black	black	black	black	dodgerblue
E2B1a	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E2B1b	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E2B2a	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E2B2b	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E2B2c	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E2B3a	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E2B3b	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E2B3c	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E2L1	darkorange1	navy	purple4	black	black	black	black	springgreen4
E2L2	darkorange1	navy	purple4	black	black	black	black	springgreen4
E2L3	darkorange1	navy	purple4	black	black	black	black	springgreen4
E2L4	darkorange1	purple	dodgerblue3	black	black	black	black	dodgerblue
E2N1	black	grey50	grey50	black	black	black	black	black
E2N3	black	grey50	grey50	black	black	black	black	black
E2P10	springgreen4	navy	purple4	red	red	red	red	black
E2P1	springgreen4	navy	purple4	purple	purple	red	red	black
E2P2	springgreen4	navy	purple4	purple	purple	red	red	black
E2P3	springgreen4	navy	purple4	purple	purple	red	red	black
E2P4	springgreen4	navy	purple4	purple	purple	red	purple	black
E2P5	springgreen4	navy	purple4	purple	purple	purple	purple	black
E2P6	springgreen4	navy	purple4	purple	purple	purple	purple	black
E2P7	springgreen4	navy	purple4	purple	purple	red	red	black
E2P8	springgreen4	navy	purple4	purple	purple	red	purple	black
E2P9	springgreen4	navy	purple4	purple	purple	red	purple	black
E2X1	darkorange1	navy	purple4	black	black	black	black	springgreen4
E2X2	darkorange1	navy	purple4	black	black	black	black	springgreen4
E2X3	springgreen4	navy	purple4	black	black	black	black	black
E2N2	black	grey50	grey50	blue	blue	blue	blue	blue
