sample	tissue_type	treatment	resection_procedure	grade	grading	vertical	lateral	timing_mets
E15P1a	springgreen4	navy	purple4	purple	purple	purple	purple	black
E15P3a	springgreen4	navy	purple4	black	black	black	black	black
E15P5a	springgreen4	navy	purple4	purple	purple	red	purple	black
E15P4a	springgreen4	navy	purple4	purple	purple	red	red	black
E15P6a	springgreen4	navy	purple4	purple	purple	purple	purple	black
E15P7a	springgreen4	navy	purple4	purple	purple	red	red	black
E15P8b	springgreen4	navy	purple4	purple	purple	red	purple	black
E15P9b	springgreen4	navy	purple4	purple	purple	red	purple	black
E15P10b	springgreen4	navy	purple4	purple	purple	red	purple	black
E15P11b	springgreen4	navy	purple4	black	black	black	black	black
E15P12b	springgreen4	navy	purple4	red	red	purple	purple	black
E15P14b	springgreen4	navy	purple4	purple	purple	red	purple	black
E15P13b	springgreen4	navy	purple4	purple	purple	red	purple	black
E15P15b	darkorange1	navy	purple4	black	black	black	black	black
E15L1	darkorange1	navy	purple4	black	black	black	black	springgreen4
E15L2	darkorange1	navy	purple4	black	black	black	black	springgreen4
E15L3	darkorange1	navy	purple4	black	black	black	black	springgreen4
E15L4	darkorange1	navy	purple4	black	black	black	black	springgreen4
E15L5	darkorange1	navy	purple4	black	black	black	black	springgreen4
E15L6	darkorange1	navy	purple4	black	black	black	black	springgreen4
E15L7	darkorange1	navy	purple4	black	black	black	black	springgreen4
E15L8	darkorange1	navy	purple4	black	black	black	black	springgreen4
E15L9	darkorange1	navy	purple4	black	black	black	black	springgreen4
E15B1	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E15B2	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E15B3	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E15B4	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E15B5a	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E15B5b	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E15B7	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E15B8	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E15B9	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E15B11a	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E15B11b	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E15B11c	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E15B12	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E15B6a	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E15B6b	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E15B6c	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E15B6d	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E15X2	darkorange1	navy	purple4	black	black	black	black	springgreen4
E15X4	darkorange1	navy	purple4	black	black	black	black	springgreen4
E15X6	darkorange1	navy	purple4	black	black	black	black	springgreen4
E15X7	darkorange1	navy	purple4	black	black	black	black	springgreen4
E15X8	darkorange1	navy	purple4	black	black	black	black	springgreen4
E15N1	black	grey50	grey50	black	black	black	black	black
E15N3	black	grey50	grey50	black	black	black	black	black
