sample	tissue_type	treatment	resection_procedure	grade	grading	vertical	lateral	timing_mets
E10P10b	springgreen4	navy	purple4	red	red	purple	purple	black
E10P11b	springgreen4	navy	purple4	red	red	red	purple	black
E10P13b	springgreen4	navy	purple4	red	red	purple	purple	black
E10P14b	springgreen4	navy	purple4	red	red	red	red	black
E10P1a	springgreen4	navy	purple4	red	red	red	red	black
E10P3a	springgreen4	navy	purple4	red	red	purple	purple	black
E10P4a	springgreen4	navy	purple4	red	red	purple	purple	black
E10P5a	springgreen4	navy	purple4	red	red	red	red	black
E10P6a	springgreen4	navy	purple4	red	red	red	red	black
E10P7a	springgreen4	navy	purple4	red	red	red	purple	black
E10P8b	springgreen4	navy	purple4	red	red	red	purple	black
E10P9b	springgreen4	navy	purple4	red	red	purple	purple	black
E10L1	darkorange1	navy	purple4	black	black	black	black	springgreen4
E10L2	darkorange1	navy	purple4	black	black	black	black	springgreen4
E10L3	darkorange1	navy	purple4	black	black	black	black	springgreen4
E10L4	darkorange1	navy	purple4	black	black	black	black	springgreen4
E10L5	darkorange1	navy	purple4	black	black	black	black	springgreen4
E10L6	darkorange1	navy	purple4	black	black	black	black	springgreen4
E10L7	darkorange1	navy	purple4	black	black	black	black	springgreen4
E10L8	darkorange1	navy	purple4	black	black	black	black	springgreen4
E10L9	darkorange1	navy	purple4	black	black	black	black	springgreen4
E10L10	darkorange1	navy	purple4	black	black	black	black	springgreen4
E10OL1	dodgerblue	navy	purple4	black	black	black	black	springgreen4
E10B2	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E10B3	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E10B4	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E10B5	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E10B6	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E10B7	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E10B8	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E10B9	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E10B10	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E10B11	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E10B12	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E10B13	gold2	magenta	springgreen1	blue	blue	blue	blue	dodgerblue
E10H1a	dodgerblue	purple	dodgerblue3	black	black	black	black	dodgerblue
E10H1b	dodgerblue	purple	dodgerblue3	black	black	black	black	dodgerblue
E10H1c	dodgerblue	purple	dodgerblue3	black	black	black	black	dodgerblue
E10X1	darkorange1	navy	purple4	black	black	black	black	springgreen4
E10X2	darkorange1	navy	purple4	black	black	black	black	springgreen4
E10X4	darkorange1	navy	purple4	black	black	black	black	springgreen4
E10X5	darkorange1	navy	purple4	black	black	black	black	springgreen4
E10B14	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E10X7	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E10X8	darkorange1	navy	purple4	black	black	black	black	springgreen4
E10X9	darkorange1	navy	purple4	black	black	black	black	springgreen4
E10N1	black	grey50	grey50	black	black	black	black	black
