sample	tissue_type	treatment	resection_procedure	grade	grading	vertical	lateral	timing_mets
E5P1	springgreen4	navy	purple4	red	red	purple	purple	black
E5P2	springgreen4	navy	purple4	red	red	red	red	black
E5P3	springgreen4	navy	purple4	red	red	purple	purple	black
E5P4	springgreen4	navy	purple4	red	red	purple	purple	black
E5P5	springgreen4	navy	purple4	red	red	purple	red	black
E5P6	springgreen4	navy	purple4	red	red	red	purple	black
E5P7	springgreen4	navy	purple4	red	red	red	purple	black
E5P8	springgreen4	navy	purple4	red	red	purple	purple	black
E5P9	springgreen4	navy	purple4	red	red	purple	purple	black
E5P10	springgreen4	navy	purple4	red	red	purple	red	black
E5L1a	darkorange1	navy	purple4	black	black	black	black	springgreen4
E5L1b	darkorange1	navy	purple4	black	black	black	black	springgreen4
E5X1	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E5X2	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E5X3	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E5X4	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E5X5	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E5X6	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E5X7	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E5X8	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E5X9	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E5OLa	dodgerblue	navy	purple4	black	black	black	black	springgreen4
E5OLb	dodgerblue	navy	purple4	black	black	black	black	springgreen4
E5OLc	dodgerblue	navy	purple4	black	black	black	black	springgreen4
E5B1	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E5B2	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E5B7	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E5B8	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E5B9	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E5OR	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E5OLd	dodgerblue	navy	purple4	black	black	black	black	springgreen4
E5H1	dodgerblue	purple	dodgerblue3	black	black	black	black	dodgerblue
E5H2a	dodgerblue	purple	springgreen1	black	black	black	black	dodgerblue
E5H2b	dodgerblue	purple	springgreen1	black	black	black	black	dodgerblue
E5H2c	dodgerblue	purple	springgreen1	black	black	black	black	dodgerblue
E5H3a	dodgerblue	purple	springgreen1	black	black	black	black	dodgerblue
E5H3b	dodgerblue	purple	springgreen1	black	black	black	black	dodgerblue
E5H3c	dodgerblue	purple	springgreen1	black	black	black	black	dodgerblue
E5H3d	dodgerblue	purple	springgreen1	black	black	black	black	dodgerblue
E5N1	black	grey50	grey50	black	black	black	black	black
E5N2	black	grey50	grey50	black	black	black	black	black
E5N3	black	grey50	grey50	black	black	black	black	black
