sample	tissue_type	treatment	resection_procedure	grade	grading	vertical	lateral	timing_mets
E12P1	springgreen4	navy	purple4	red	red	purple	red	black
E12P2	springgreen4	navy	purple4	red	red	red	purple	black
E12P4	springgreen4	navy	purple4	red	red	purple	purple	black
E12P5	springgreen4	navy	purple4	red	red	red	red	black
E12P6	springgreen4	navy	purple4	red	red	purple	purple	black
E12P7	springgreen4	navy	purple4	red	red	purple	purple	black
E12P8	springgreen4	navy	purple4	red	red	red	purple	black
E12P9	springgreen4	navy	purple4	red	red	red	purple	black
E12P10	springgreen4	navy	purple4	red	red	purple	red	black
E12L1	darkorange1	navy	purple4	black	black	black	black	springgreen4
E12L2	darkorange1	navy	purple4	black	black	black	black	springgreen4
E12L3	darkorange1	navy	purple4	black	black	black	black	springgreen4
E12L4	darkorange1	navy	purple4	black	black	black	black	springgreen4
E12L5	darkorange1	navy	purple4	black	black	black	black	springgreen4
E12L6	darkorange1	navy	purple4	black	black	black	black	springgreen4
E12B1	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E12B2	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E12B3a	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E12B4	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E12B3b	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E12B5	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E12B6	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E12B7	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E12B8	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E12B9	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E12B10a	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E12B10b	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E12B12	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E12B14	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E12B15	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E12B16	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E12B17	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E12B18	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E12B13	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E12B19	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E12B20	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E12B21	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E12B22	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E12B11	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E12B23	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E12B24	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E12X1	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E12N1	black	grey50	grey50	black	black	black	black	black
E12N2	black	grey50	grey50	black	black	black	black	black
E12N3	black	grey50	grey50	black	black	black	black	black
