sample	tissue_type	treatment	resection_procedure	grade	grading	vertical	lateral	timing_mets
E19P1	springgreen4	navy	purple4	red	red	red	red	black
E19P2	springgreen4	navy	purple4	red	red	red	purple	black
E19P3	springgreen4	navy	purple4	red	red	red	red	black
E19P4	springgreen4	navy	purple4	red	red	red	purple	black
E19P6	springgreen4	navy	purple4	red	red	red	purple	black
E19P5	springgreen4	navy	purple4	red	red	red	red	black
E19P7	springgreen4	navy	purple4	red	red	red	purple	black
E19P8	springgreen4	navy	purple4	red	red	red	red	black
E19P9	springgreen4	navy	purple4	red	red	red	red	black
E19P10	springgreen4	navy	purple4	red	red	red	red	black
E19P11	springgreen4	navy	purple4	red	red	red	purple	black
E19P12	springgreen4	navy	purple4	red	red	purple	purple	black
E19L1	darkorange1	navy	purple4	black	black	black	black	springgreen4
E19L2	darkorange1	navy	purple4	black	black	black	black	springgreen4
E19L3	darkorange1	navy	purple4	black	black	black	black	springgreen4
E19L6	gold2	purple	dodgerblue3	black	black	black	black	dodgerblue
E19L7	gold2	purple	dodgerblue3	black	black	black	black	dodgerblue
E19L8	darkorange1	purple	dodgerblue3	black	black	black	black	dodgerblue
E19L9	darkorange1	purple	dodgerblue3	black	black	black	black	dodgerblue
E19L10	darkorange1	purple	dodgerblue3	black	black	black	black	dodgerblue
E19B1a	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E19B1b	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E19B3a	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E19B3b	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E19B3c	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E19B4	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E19B5a	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E19B5b	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E19B6	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E19OL	dodgerblue	purple	dodgerblue3	black	black	black	black	dodgerblue
E19B2a	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E19B2b	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E19B2c	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E19B2d	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E19X1	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E19X2	gold2	purple	dodgerblue3	black	black	black	black	dodgerblue
E19N1	black	grey50	grey50	black	black	black	black	black
E19N2	black	grey50	grey50	black	black	black	black	black
E19N3	black	grey50	grey50	black	black	black	black	black
