sample	tissue_type	treatment	resection_procedure	grade	grading	vertical	lateral	timing_mets
E9B1	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E9B10	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E9B11	gold2	navy	lightseagreen	blue	blue	blue	blue	dodgerblue
E9B12a	gold2	navy	springgreen1	blue	blue	blue	blue	dodgerblue
E9B12b	gold2	navy	springgreen1	blue	blue	blue	blue	dodgerblue
E9B12c	gold2	navy	springgreen1	blue	blue	blue	blue	dodgerblue
E9B13a	gold2	navy	springgreen1	blue	blue	blue	blue	dodgerblue
E9B13b	gold2	navy	springgreen1	blue	blue	blue	blue	dodgerblue
E9B13c	gold2	navy	springgreen1	blue	blue	blue	blue	dodgerblue
E9B14a	gold2	navy	springgreen1	blue	blue	blue	blue	dodgerblue
E9B14b	gold2	navy	springgreen1	blue	blue	blue	blue	dodgerblue
E9B14c	gold2	navy	springgreen1	blue	blue	blue	blue	dodgerblue
E9B2	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E9B3	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E9B4	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E9B5a	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E9B5b	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E9B6	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E9B7	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E9B8	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E9B9	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E9H1a	dodgerblue	navy	darkorchid4	black	black	black	black	springgreen4
E9H1b	dodgerblue	navy	darkorchid4	black	black	black	black	springgreen4
E9H1c	dodgerblue	navy	darkorchid4	black	black	black	black	springgreen4
E9H2	dodgerblue	navy	olivedrab1	black	black	black	black	dodgerblue
E9L1	darkorange1	navy	purple4	black	black	black	black	springgreen4
E9L2	darkorange1	navy	purple4	black	black	black	black	springgreen4
E9L4	darkorange1	navy	purple4	black	black	black	black	springgreen4
E9L5	darkorange1	navy	purple4	black	black	black	black	springgreen4
E9L6	darkorange1	navy	purple4	black	black	black	black	dodgerblue
E9N2	black	navy	grey50	black	black	black	black	black
E9N3	black	navy	grey50	black	black	black	black	black
E9P1	springgreen4	navy	purple4	purple	purple	purple	red	black
E9P10	springgreen4	navy	purple4	purple	purple	purple	purple	black
E9P11	springgreen4	navy	purple4	purple	purple	purple	purple	black
E9P2	springgreen4	navy	purple4	purple	purple	purple	purple	black
E9P3	springgreen4	navy	purple4	purple	purple	purple	purple	black
E9P4	springgreen4	navy	purple4	purple	purple	purple	purple	black
E9P5	springgreen4	navy	purple4	purple	purple	purple	red	black
E9P6	springgreen4	navy	purple4	purple	purple	purple	red	black
E9P7	springgreen4	navy	purple4	purple	purple	red	purple	black
E9P8	springgreen4	navy	purple4	purple	purple	red	purple	black
E9P9	springgreen4	navy	purple4	red	red	purple	purple	black
E9X1	darkorange1	navy	purple4	black	black	black	black	springgreen4
E9X2	darkorange1	navy	purple4	black	black	black	black	springgreen4
E9X3	black	navy	dodgerblue3	black	black	black	black	springgreen4
E9X4	gold2	navy	dodgerblue3	blue	blue	blue	blue	dodgerblue
E9X5	gold2	navy	springgreen1	blue	blue	blue	blue	dodgerblue
