sample	tissue_type	treatment	resection_procedure	grade	grading	vertical	lateral	timing_mets
E4B1	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E4B10	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E4B11	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E4B12	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E4B13	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E4B14	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E4B15	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E4B16	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E4B17	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E4B18	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E4B19	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E4B2	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E4B20	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E4B21	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E4B22	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E4B3	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E4B5	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E4B6	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E4B7	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E4B8	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E4B9	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E4H1	dodgerblue	navy	purple4	black	black	black	black	springgreen4
E4L1	darkorange1	navy	purple4	black	black	black	black	springgreen4
E4L10	darkorange1	navy	purple4	black	black	black	black	springgreen4
E4L11	darkorange1	navy	purple4	black	black	black	black	springgreen4
E4L2	darkorange1	navy	purple4	black	black	black	black	springgreen4
E4L3	darkorange1	navy	purple4	black	black	black	black	springgreen4
E4L4	darkorange1	navy	purple4	black	black	black	black	springgreen4
E4L5	darkorange1	navy	purple4	black	black	black	black	springgreen4
E4L6	darkorange1	navy	purple4	black	black	black	black	springgreen4
E4L7	darkorange1	navy	purple4	black	black	black	black	springgreen4
E4L8	darkorange1	navy	purple4	black	black	black	black	springgreen4
E4L9	darkorange1	navy	purple4	black	black	black	black	springgreen4
E4N1	black	grey50	grey50	black	black	black	black	black
E4N3	black	grey50	grey50	black	black	black	black	black
E4O1	gold2	navy	purple4	black	black	black	black	springgreen4
E4O2	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E4P1	springgreen4	navy	purple4	red	red	purple	purple	black
E4P2	springgreen4	navy	purple4	red	red	red	purple	black
E4P3	springgreen4	navy	purple4	purple	purple	red	purple	black
E4P5	springgreen4	navy	purple4	red	red	purple	purple	black
E4P7	springgreen4	navy	purple4	red	red	purple	purple	black
E4P9	springgreen4	navy	purple4	red	red	red	purple	black
E4P10	springgreen4	navy	purple4	red	red	red	purple	black
E4P11	springgreen4	navy	purple4	red	red	purple	purple	black
E4P14	springgreen4	navy	purple4	red	red	red	purple	black
