sample	tissue_type	treatment	resection_procedure	grade	grading	vertical	lateral	timing_mets
E18P1	springgreen4	navy	purple4	purple	purple	red	red	black
E18P2	springgreen4	navy	purple4	purple	purple	purple	red	black
E18P3	springgreen4	navy	purple4	purple	purple	red	purple	black
E18P4	springgreen4	navy	purple4	purple	purple	purple	purple	black
E18P5	springgreen4	navy	purple4	purple	purple	red	purple	black
E18P6	springgreen4	navy	purple4	purple	purple	red	purple	black
E18P7	springgreen4	navy	purple4	purple	purple	red	purple	black
E18P8	springgreen4	navy	purple4	purple	purple	red	purple	black
E18P9	springgreen4	navy	purple4	purple	purple	red	purple	black
E18P10	springgreen4	navy	purple4	purple	purple	purple	purple	black
E18P11	springgreen4	navy	purple4	purple	purple	purple	red	black
E18P12	springgreen4	navy	purple4	black	black	black	black	black
E18LD1	darkorange1	navy	purple4	black	black	black	black	springgreen4
E18LD2a	darkorange1	navy	purple4	black	black	black	black	springgreen4
E18LD2b	darkorange1	navy	purple4	black	black	black	black	springgreen4
E18LD3	darkorange1	navy	purple4	black	black	black	black	springgreen4
E18L4a	dodgerblue	navy	purple4	black	black	black	black	springgreen4
E18L4b	dodgerblue	navy	purple4	black	black	black	black	springgreen4
E18L1	darkorange1	navy	purple4	black	black	black	black	springgreen4
E18B1	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E18B2	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E18B3	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E18B4	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E18B5	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E18B6	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E18B7	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E18B11	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E18B8	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E18B9	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E18B10	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E18X1	darkorange1	navy	purple4	black	black	black	black	springgreen4
E18X2	darkorange1	navy	purple4	black	black	black	black	springgreen4
E18X3	darkorange1	navy	purple4	black	black	black	black	springgreen4
E18B12	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E18X4	darkorange1	navy	purple4	black	black	black	black	springgreen4
E18X5	darkorange1	navy	purple4	black	black	black	black	springgreen4
E18X6	darkorange1	navy	purple4	black	black	black	black	springgreen4
E18X7	darkorange1	navy	purple4	black	black	black	black	springgreen4
E18X8	darkorange1	navy	purple4	black	black	black	black	springgreen4
E18N1	black	grey50	grey50	black	black	black	black	black
E18N2	black	grey50	grey50	black	black	black	black	black
E18N3	black	grey50	grey50	black	black	black	black	black
