E20B1_1	E20B1_2	E20B1_3	E20B2_1	E20B2_2	E20B2_3	E20B3_1	E20B3_2	E20B3_3	E20B4_1	E20B4_2	E20B4_3	E20B5_1	E20B5_2	E20B5_3	E20B6_1	E20B6_2	E20B6_3	E20B7_1	E20B7_2	E20B7_3	E20B8_1	E20B8_2	E20B8_3	E20N1_1	E20N1_2	E20N1_3	E20N2_1	E20N2_2	E20N2_3	E20N3_2	E20P10_1	E20P10_2	E20P10_3	E20P11_1	E20P11_2	E20P11_3	E20P12_1	E20P12_2	E20P12_3	E20P1_1	E20P1_2	E20P1_3	E20P2_2	E20P2_3	E20P3_1	E20P3_2	E20P3_3	E20P4_1	E20P5_1	E20P5_3	E20P6_1	E20P6_3	E20P7_1	E20P7_2	E20P7_3	E20P8_1	E20P8_2	E20P8_3	E20P9_1	E20P9_2	E20P9_3	E20X10_1	E20X10_3	E20X11_1	E20X11_2	E20X11_3	E20X13_1	E20X13_2	E20X13_3	E20X14_1	E20X14_2	E20X14_3	E20X15_1	E20X15_2	E20X15_3	E20X16_1	E20X16_2	E20X16_3	E20X17_1	E20X18_1	E20X18_2	E20X18_3	E20X1_1	E20X1_2	E20X1_3	E20X20_1	E20X20_2	E20X20_3	E20X21_1	E20X21_2	E20X21_3	E20X22_1	E20X22_2	E20X22_3	E20X23_1	E20X23_2	E20X23_3	E20X24_1	E20X24_2	E20X24_3	E20X2_1	E20X2_2	E20X2_3	E20X3_1	E20X3_2	E20X3_3	E20X4_1	E20X4_2	E20X4_3	E20X5_1	E20X5_2	E20X5_3	E20X6_1	E20X6_2	E20X6_3	E20X7_1	E20X7_2	E20X7_3	E20X8_1	E20X8_2	E20X8_3
7825	8740	9118	13161	29083	11232	7762	4804	7533	4844	3659	5300	8575	5244	8113	9055	8595	7408	10023	8786	8355	9879	10205	9336	5603	7162	6463	6601	7871	6565	10647	8829	9536	9323	8399	8120	8000	7329	6154	7435	6433	8582	8397	10161	9437	8791	9675	1776	11241	8923	6939	10917	10790	8874	9127	10431	5960	4239	5014	8652	8546	5923	4833	8492	4203	5486	5072	8418	7924	6807	8597	9223	10080	13983	6338	8305	7975	9627	10041	10126	4381	7060	6931	8641	4202	4967	7640	6605	9005	9442	7451	7658	10151	7799	9276	7026	5126	4294	8263	9645	8320	8996	8256	9622	10353	9354	10018	6428	6641	6828	5637	5548	6640	6439	6440	7046	6875	6745	7116	9340	9157	9164
26583	28789	30978	30821	29399	30814	23860	15103	22898	17589	12720	18039	18955	16781	24094	28318	26825	21256	31174	29655	29716	30926	31444	30708	17932	23281	20881	19924	21511	19262	30611	30619	30792	28222	27407	25920	26964	20762	18823	21039	16757	23353	24913	30729	29654	25687	29455	4830	30338	23307	19841	31541	31257	25293	27146	30355	15910	11735	13530	26617	24901	17248	15612	26225	12143	16352	15176	26431	25232	20761	27826	29668	31041	28707	20362	24970	27071	30846	31534	28884	13433	23097	20557	22248	12924	15514	21163	20398	27658	29172	22147	23361	31233	27340	30681	18744	15484	12353	26961	29649	25518	25496	26132	29003	30880	30229	31255	21783	17989	21383	19211	16456	18127	21563	18597	21440	23833	22372	23262	30480	29749	26424
1523	1831	1804	2672	27256	2494	1992	1621	2059	1628	1087	1257	2324	2039	2156	3065	3388	2469	2623	2330	2236	2093	2133	1955	1224	1311	1090	1230	1321	943	2411	2982	3047	2779	2444	2543	2324	1655	1686	1253	3048	3418	1949	4750	4051	2823	3083	850	4101	1714	1322	2745	2047	3084	2284	2266	1871	1070	1054	2915	2754	1878	2325	2686	1146	1279	1094	2631	1308	1003	2780	1608	1488	8734	1044	1074	2611	1821	1365	3721	1758	1950	1730	2643	2247	1377	2859	2061	2267	2742	2294	1702	2377	1613	1556	1609	1002	625	2040	1635	1148	4018	3163	3669	4028	2682	2816	2213	1710	1446	1375	1034	1085	1962	1276	971	1835	1378	1190	2771	1924	1534
1239	1402	1206	2076	5565	1911	1437	964	1063	1486	810	873	1981	1575	1466	2221	2684	1925	2192	1851	1832	1817	1565	1514	1531	1091	922	751	1183	711	2144	2423	2230	2296	1572	2033	1698	1407	1853	1090	2718	2613	1097	4152	3503	2548	2520	464	3699	961	693	2258	1563	2469	1495	1641	1346	576	828	2385	2508	1588	2000	2293	840	1221	903	2213	878	683	2157	1097	884	2408	858	694	2208	1419	622	2724	1536	1494	1643	1882	1977	1048	2640	1846	1606	1872	1950	1051	1831	1262	1073	1217	618	373	1209	1083	629	2781	2232	2403	3187	2174	2433	1865	1426	971	1114	833	980	1296	1018	580	1579	998	607	1844	1059	983
1958	2082	1902	3237	1205	2775	1551	827	1028	1837	1132	1338	2252	1747	1603	1667	2125	1707	2788	2521	2505	2292	2220	2052	2446	1862	1606	1219	1918	1089	3793	2860	2196	2445	2234	2088	1977	2371	2414	1484	2340	1783	1011	3891	3296	2495	2739	417	3574	639	758	3144	2491	2215	1542	1168	1333	699	852	2442	3121	1764	1872	2431	885	737	961	2512	1365	1047	2368	1315	1102	1267	1145	877	2503	1901	938	2176	1655	1573	2080	1604	1382	937	2705	1933	1671	1944	1821	1313	2446	1787	1562	1264	720	636	1537	1501	1158	2048	1752	1862	3255	2247	2492	1554	1471	912	808	750	863	1682	1244	683	1834	1391	909	1615	800	949
2487	2581	2449	4199	1037	3402	932	629	790	1854	1216	1586	2151	1543	1671	1023	1281	974	2803	2670	2474	2467	2494	2094	3059	2288	2045	1450	2297	1308	4984	2273	1912	1959	2031	1890	1803	2579	2468	1790	1716	1046	982	2314	2223	1934	1688	184	2492	294	678	3431	2938	1761	1250	1027	1180	713	905	2247	2692	1834	1561	1953	775	405	786	2320	1376	1066	1939	1298	1140	1064	1311	1108	2441	2113	1221	932	1336	1279	1954	1083	730	656	2178	1617	1324	1362	1384	1138	2484	2006	1948	1176	671	825	1565	1718	1409	1549	1192	1380	2381	1818	1923	1247	1233	819	709	702	831	1713	1256	693	1932	1486	1132	1184	541	852
2498	2515	2455	4180	884	3310	577	474	615	1778	1203	1631	1801	1096	1450	608	797	636	2507	2525	2250	2391	2339	1971	2829	2077	1830	1265	2039	1217	4832	1900	1520	1582	1780	1588	1535	2247	2139	1548	1243	596	718	1681	1614	1514	1311	145	1968	142	471	3348	2944	1441	1152	812	956	549	709	1916	2201	1629	1128	1702	722	332	678	2023	1264	1047	1624	1205	1108	928	1258	1063	2267	2033	1333	459	1126	1060	1627	750	434	503	1734	1367	1180	1069	993	864	2222	1890	1958	910	547	816	1292	1650	1453	1264	833	1007	2023	1540	1557	824	1002	586	468	655	621	1415	1039	599	1819	1353	1156	868	316	632
1706	1584	1578	2642	539	2064	337	298	325	1256	834	1103	1120	650	914	335	331	375	1640	1659	1471	1533	1479	1195	1582	1213	1047	772	1126	872	2996	1064	943	956	1082	1006	1037	1285	1249	861	670	286	445	951	919	1102	914	97	1187	56	323	2093	1870	831	821	472	533	316	406	1255	1275	1025	644	1175	448	202	715	1270	831	638	1026	827	776	554	734	711	1490	1341	889	238	636	665	1049	386	229	308	1007	823	783	575	640	515	1386	1206	1318	531	372	483	825	985	897	807	508	612	1194	973	1028	578	669	357	278	479	375	830	656	385	1146	833	780	522	162	377
