MmC2A1a_1	MmC2A1a_2	MmC2A1a_3	MmC2A1b_2	MmC2A1c_2	MmC2A1c_3	MmC2B1a_1	MmC2B1a_2	MmC2B1a_3	MmC2B1b_2	MmC2B1b_3	MmC2B1c_1	MmC2B1c_2	MmC2B1c_3	MmC2H1a_3	MmC2H1b_3	MmC2H1c_1	MmC2H1c_2	MmC2H1c_3	MmC2P1_1	MmC2P1_2	MmC2P1_3	MmC2P2_1	MmC2P2_2	MmC2P2_3	MmC2P3_1	MmC2P3_2	MmC2P3_3
2234	2010	4479	0	310	400	2374	2592	0	410	0	1365	1462	3343	0	0	1994	2429	5451	5595	7399	15676	782	575	1589	1585	2190	0
4826	3686	9053	0	628	786	3463	3237	9488	880	1179	1557	1833	4464	375	1339	7365	8601	19127	11646	16408	31531	1434	1517	2746	4088	4836	12213
2726	2222	5381	0	336	592	1255	1855	0	398	0	1050	882	1551	1640	0	5099	5724	0	5919	8996	16343	907	1036	1857	2567	2962	0
375	300	556	0	0	249	146	320	559	72	431	173	0	203	141	124	608	695	1411	698	1089	1995	127	139	164	322	406	1154
0	57	63	7360	0	174	62	0	95	0	162	0	0	88	103	100	0	0	0	0	0	89	0	0	386	0	0	0
0	139	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0
