E5B11_1	E5B11_2	E5B11_3	E5B4_1	E5B4_2	E5B4_3	E5B5_1	E5B5_2	E5B5_3	E5B7_1	E5B7_2	E5B7_3	E5B8_1	E5B8_2	E5B8_3	E5B9_1	E5B9_2	E5B9_3	E5H1_1	E5H1_2	E5H1_3	E5H2a_1	E5H2a_2	E5H2a_3	E5H2b_1	E5H2b_2	E5H2b_3	E5H2c_1	E5H2c_2	E5H2c_3	E5H3a_1	E5H3a_2	E5H3a_3	E5H3b_1	E5H3b_2	E5H3b_3	E5H3c_1	E5H3c_2	E5H3c_3	E5H3d_1	E5H3d_2	E5H3d_3	E5L1a_1	E5L1a_2	E5L1a_3	E5L1b_1	E5L1b_2	E5L1b_3	E5N1_1	E5N1_2	E5N1_3	E5N2_1	E5N2_2	E5N2_3	E5N3_1	E5N3_2	E5N3_3	E5OLa_1	E5OLa_2	E5OLa_3	E5OLb_1	E5OLb_2	E5OLb_3	E5OLc_1	E5OLc_2	E5OLc_3	E5OLd_1	E5OLd_2	E5OLd_3	E5OR_1	E5OR_2	E5OR_3	E5P10_1	E5P10_2	E5P10_3	E5P1_1	E5P1_2	E5P1_3	E5P2_1	E5P2_2	E5P2_3	E5P3_1	E5P3_2	E5P3_3	E5P4_1	E5P4_2	E5P4_3	E5P5_1	E5P5_2	E5P5_3	E5P6_1	E5P6_2	E5P6_3	E5P7_1	E5P7_2	E5P7_3	E5P8_1	E5P8_2	E5P8_3	E5P9_1	E5P9_2	E5P9_3	E5X1_1	E5X1_2	E5X1_3	E5X2_1	E5X2_2	E5X2_3	E5X3_1	E5X3_2	E5X3_3	E5X4_1	E5X4_2	E5X4_3	E5X5_1	E5X5_2	E5X5_3	E5X6_1	E5X6_2	E5X6_3	E5X7_1	E5X7_2	E5X7_3	E5X8_1	E5X8_2	E5X8_3	E5X9_1	E5X9_2	E5X9_3
498	324	281	140	141	0	106	193	110	390	256	170	666	605	527	173	87	106	1003	2305	1013	1715	3119	1183	1777	2371	1610	1265	2814	1398	1518	2432	1468	1428	1751	1224	1451	2086	1108	1460	2080	1047	5224	2686	3304	2817	1396	2243	0	0	0	0	0	0	0	129	0	1402	988	1141	538	455	362	853	657	512	284	525	350	1109	958	328	749	436	470	786	259	481	311	280	254	602	456	464	902	640	707	1494	821	1088	868	517	648	755	504	602	866	616	725	315	213	208	2398	1737	2401	651	301	520	611	552	530	398	192	279	459	481	172	265	227	194	61	123	73	735	556	301	288	224	187
1815	1302	1397	645	680	311	625	606	367	1431	931	735	2164	1952	1675	696	458	503	3615	7191	3523	5948	9728	4081	5966	8861	5470	4368	9057	5125	5079	8031	4652	5177	6042	4303	5389	6964	4039	4581	7562	3650	14318	7955	9863	11920	5760	9805	376	488	238	134	67	123	187	402	203	4613	3469	4007	1917	1596	1399	2711	2026	1746	1032	1945	1372	3584	3137	1402	2867	1433	1871	2946	1019	1680	1277	1187	1097	2512	1754	1834	2732	2063	2129	5011	2785	3453	3078	2116	2412	2624	1713	2109	2956	2066	2442	1293	735	842	9708	7362	8853	2300	1375	2106	2288	1961	1843	1548	860	1046	1752	1848	889	1188	969	811	371	456	210	2347	1985	1284	994	931	856
4656	2918	3242	1640	1624	859	1562	1427	816	3074	2493	1653	3618	3176	2482	1737	1139	1214	7778	15014	7239	12091	18662	8467	12883	18382	11782	9031	17507	10435	9831	16213	9499	10747	11705	8863	10798	14512	8421	9875	15434	7498	13797	7587	9016	23182	11268	19329	1611	2168	1116	376	576	296	865	1293	562	8576	6644	7395	3443	3020	2580	5368	4334	3682	2329	4148	3123	8098	7326	2912	5952	3077	3866	6294	2020	3404	2718	2666	2517	5540	3799	3749	5332	3797	3778	9555	5409	6708	6318	4348	4997	5877	4084	4376	6355	4736	4790	2301	1646	1530	16863	13204	16248	5642	3195	5025	5346	4798	4439	3943	2231	2569	3973	3910	2280	2564	2456	2012	806	944	577	5867	4547	3104	2763	2116	1902
7136	4649	4809	2902	2837	1257	2070	1797	1085	3634	3166	1896	4763	4034	3292	2763	1812	1912	7109	12697	6033	10143	15277	6935	13765	19325	12110	8730	16239	9773	8274	13661	8064	9801	11420	8094	10335	13576	8425	8750	13584	6942	9408	5430	6965	20425	9864	16740	5511	7358	4181	1162	1584	802	2779	3297	1676	7299	5423	6349	2697	2408	1960	4512	3568	3066	2448	4542	3828	10508	9501	3729	6570	3902	4531	8190	2605	4006	4028	4359	4051	6891	4319	4184	5986	4280	4433	7666	4939	5519	6713	4764	5509	6436	4294	4946	7663	5066	5594	2731	1910	1776	14625	11197	14074	8869	4979	8341	6763	6275	6077	6450	3306	4308	4381	4509	2662	3812	3674	2792	1177	1525	1000	7456	5902	4023	4548	3165	2997
8888	5808	6117	3603	3624	1564	2017	1716	1138	3575	3243	1912	4625	3694	2963	3624	2590	2781	8250	14775	6875	13682	19517	9131	19397	26679	16992	12002	21146	13160	10623	17685	10408	12788	15244	10748	15177	18888	11919	11972	18853	9416	8208	4938	6273	7884	3536	6371	10252	14219	7829	1934	2297	1345	4675	5367	2838	9428	7082	8054	3291	3217	2400	5925	4757	3884	3660	6975	5855	10256	9270	3460	9034	5534	6384	10483	3704	5257	6510	7280	6487	10171	6129	6191	7852	5656	6199	10198	6850	7550	10366	7309	8250	8521	5586	6863	10135	6860	7294	3947	2620	2605	6990	4839	6423	11173	6267	10161	7194	6616	6246	7979	4153	5455	4058	4421	2586	4300	4149	3098	1547	1815	1252	7130	5723	3981	5446	3870	3676
8289	5526	5906	3490	3521	1652	1747	1442	972	3003	2753	1728	3894	3086	2439	3622	2604	2894	7204	12608	5931	11838	16897	7732	16747	23245	15253	10811	18763	11323	8659	14707	8550	11622	13703	9463	13879	16674	10654	10458	16197	8300	4945	2964	4014	3900	1431	3011	11487	15514	8828	1922	2424	1330	4705	5400	2960	8492	6278	6927	2692	2616	2084	5091	4037	3286	3474	6446	5479	8658	8124	2950	8246	4943	5954	9080	3154	4347	6483	7204	6683	9572	5744	6260	6692	4796	5586	9392	6509	7419	10172	7246	8073	7757	4850	6294	8508	5926	6251	3542	2453	2621	2505	1458	2255	11284	6038	9843	6514	6115	5645	7859	4292	5356	3239	3871	2216	4078	3788	2819	1437	1676	1171	6179	4950	3599	5247	3607	3637
3933	2524	2861	1637	1675	859	805	595	433	1322	1285	803	1715	1424	1061	1862	1192	1465	1784	3482	1546	2600	4551	1570	4172	7141	3252	2826	5658	2784	2003	4070	1689	3185	3811	2326	3705	5084	2819	2676	4373	1836	2226	1361	1562	1760	585	1219	5897	8137	4514	862	1182	674	2189	2533	1386	2192	1555	1780	837	723	523	1265	967	807	1126	2318	1598	3661	3520	1285	3073	1781	2133	3113	987	1436	2873	2971	3008	3751	2062	2314	2222	1433	1855	3468	2091	2717	3549	2328	2910	2761	1562	2180	2874	1960	2382	1159	892	949	925	494	817	5346	2725	4390	2962	2711	2617	3754	1992	2538	1384	1824	991	1836	1783	1106	636	744	576	2790	2040	1506	2434	1555	1747
930	611	579	338	484	225	207	138	93	385	338	230	418	372	238	410	298	260	362	683	253	405	920	255	720	1427	487	539	1232	445	303	791	252	586	835	378	785	1102	475	500	882	259	506	325	341	367	110	326	1007	1629	859	111	274	123	437	582	263	492	275	299	180	137	95	299	186	120	316	581	185	971	863	239	762	403	472	704	228	291	613	652	643	917	451	646	543	268	407	866	453	702	897	560	733	640	319	498	789	413	496	307	209	203	306	83	238	1313	727	1118	833	611	726	910	477	553	372	467	182	547	437	283	161	192	146	721	620	259	484	389	384
