C45-A_1	C45-A_2	C45-A_3	C45-B_1	C45-B_2	C45-B_3	C45-BT_2	C45-BT_3	C45-D-T1_1	C45-D-T1_2	C45-E-LN_1	C45-E-LN_2	C45-E-LN_3	C45-F_1	C45-F_2	C45-F_3	C45-LB1_1	C45-LB1_2	C45-LB1_3	C45-SB_1	C45-SB_2	C45-SB_3
998	1312	976	501	1620	267	233	111	277	1186	125	185	85	192	595	111	204	919	142	176	775	148
2354	3272	2401	1357	4207	774	584	199	587	2736	230	497	167	406	1348	283	389	1834	305	344	1617	338
3093	4308	3148	1820	5881	1076	709	277	720	3473	242	572	207	502	1611	375	493	2292	364	423	2022	435
2399	3594	2576	1490	4862	902	559	242	581	2835	206	477	173	419	1284	343	381	1799	276	351	1660	328
1027	1555	1159	608	2148	360	222	138	197	1063	80	210	79	151	526	135	119	615	108	137	648	117
812	1245	860	440	1561	304	157	75	71	539	0	148	63	95	411	104	66	276	51	104	501	104
1193	1713	1234	677	2435	403	238	106	136	734	69	203	84	142	542	139	102	392	69	133	632	144
1516	2174	1666	957	3239	606	335	117	133	897	130	265	69	178	745	201	112	511	81	196	829	211
1475	2026	1529	980	3189	592	300	133	160	833	103	271	68	179	684	204	118	452	92	195	778	176
