E10B10_1	E10B11_2	E10B12_2	E10B13_2	E10B14_3	E10B2_3	E10B3_2	E10B4_3	E10B5_1	E10B6_1	E10B7_3	E10B8_1	E10B9_3	E10H1a_3	E10H1b_3	E10H1c_3	E10L10_3	E10L1_3	E10L2_3	E10L3_3	E10L5_3	E10L6_3	E10L8_1	E10N1_3	E10OL1_3	E10P10b_1	E10P11b_1	E10P13b_1	E10P14b_3	E10P1a_3	E10P3a_3	E10P4a_2	E10P5a_3	E10P6a_3	E10P7a_1	E10P8b_1	E10P9b_1	E10X1_3	E10X2_2	E10X4_3	E10X5_2	E10X7_3	E10X8_3	E10X9_3
241	636	510	223	683	561	534	556	418	345	276	488	403	401	583	719	63	413	507	603	367	298	124	303	697	761	747	638	193	439	880	309	325	661	490	594	556	671	794	265	372	366	175	483
952	3024	1798	854	2821	2164	1917	2402	1661	1143	1127	1814	2146	1551	2927	2364	333	1523	1738	2037	1242	951	502	1269	3829	3726	3063	2247	884	1518	4279	1152	1328	2063	1803	2496	2325	3396	2887	1298	1407	1318	811	2136
3406	8325	6223	3087	7218	6795	7038	6869	6114	4273	3531	6792	6548	4398	7811	7873	733	5374	6976	7031	4542	3442	2109	4863	9093	10965	9947	7496	3758	5014	9570	3991	4896	7486	5687	6651	6167	9431	8770	4184	4713	4150	1935	6539
6191	13213	10901	5421	10982	11437	12202	10895	10518	7579	5865	12017	11041	6932	12037	13677	1129	9135	13404	12074	8622	5941	4243	10357	13406	17765	16721	12885	7370	8738	12332	6692	8507	13205	9331	10308	9754	14900	14340	7012	8231	6747	2818	10964
6667	11905	11477	5490	9640	11528	12711	10119	10223	7510	5652	12431	10620	6026	10723	13996	1078	8795	15511	11774	9953	5844	5106	13899	10845	16567	16474	12999	8995	8489	8417	6840	8695	13461	9185	9150	9150	13644	13278	6730	7944	6247	2273	10374
4592	4873	6933	3573	4140	6093	7555	4601	4932	3996	2901	7037	5076	2533	4675	10308	598	4157	11697	6274	7492	3250	4192	12406	3440	7820	8645	7305	7222	4598	3793	5172	4798	7677	4917	3719	4210	6246	6190	3358	4126	3172	921	5246
1996	1179	2841	1402	1162	2006	2939	1334	1417	1326	828	2600	1448	558	1275	4837	166	1047	5604	2047	3607	1130	2184	6272	500	2386	2823	2662	3530	1454	1075	2365	1665	2715	1447	863	1230	1739	1672	1073	1383	941	182	1493
384	284	539	295	255	461	596	299	359	283	190	509	291	134	318	1144	73	275	1000	443	632	224	338	1184	167	593	578	586	554	297	266	434	273	542	387	242	273	411	472	299	367	236	58	391
