E10B10_1	E10B11_2	E10B12_2	E10B13_1	E10B14_3	E10B2_3	E10B3_3	E10B4_3	E10B5_1	E10B6_3	E10B7_3	E10B8_1	E10B9_1	E10H1a_3	E10H1b_3	E10H1c_3	E10L10_2	E10L1_3	E10L2_3	E10L3_3	E10L5_3	E10L6_3	E10L8_3	E10N1_2	E10OL1_3	E10P10b_1	E10P11b_1	E10P13b_3	E10P14b_3	E10P1a_3	E10P3a_3	E10P4a_2	E10P5a_3	E10P6a_3	E10P7a_3	E10P8b_3	E10P9b_3	E10X1_3	E10X2_3	E10X4_1	E10X5_1	E10X7_2	E10X8_3	E10X9_2
748	1238	968	406	656	945	1158	1104	881	811	513	720	977	268	635	820	121	728	731	674	462	393	329	428	977	1267	1061	1000	515	908	985	524	585	875	466	783	951	1252	894	596	727	412	159	227
1677	3175	2443	1197	1645	2484	3043	2717	2097	2304	1297	2215	2289	710	1570	2079	246	1874	2071	1886	1117	1135	909	1133	2345	2869	2946	2418	1455	2299	2709	1332	1651	1999	1263	1937	2392	2936	2443	1531	1612	1066	443	689
3991	8369	5509	2494	4223	6400	7477	6499	5801	5340	3988	5380	6114	1847	4345	3985	661	4658	4742	4846	2257	2579	2110	2351	6544	8262	7234	6009	3158	5994	7127	3048	4103	5354	2788	5849	6998	8026	6037	4162	4591	2656	1219	1785
8054	14130	11079	5000	7105	12817	14422	11784	10534	10428	7078	10289	11614	3225	7572	8466	975	9111	10805	9735	4379	4576	4374	5198	11295	14883	13510	12525	7027	11832	13598	6811	8541	11096	6214	10158	12558	14589	11949	7274	8801	4609	2061	3186
10933	17660	14647	6510	8768	16589	18941	14425	13221	13877	8654	13283	14961	3907	9319	11554	1139	11721	15507	12920	6070	5937	6104	7613	13005	18765	17276	16624	10445	15034	17153	9394	11260	14211	8882	12429	15682	17657	14831	8810	11349	5774	2470	3868
10786	15484	13804	6141	7461	15113	17904	12948	11857	12692	7471	12312	13423	3454	7890	11692	930	10679	16062	11772	5822	5311	6314	8966	10616	17013	15567	16048	11199	13963	15178	9329	10058	13505	9032	10698	13403	15588	13155	7801	10213	4983	2026	3426
8004	8779	9368	4050	4110	9200	12035	7573	7336	7933	4434	7887	8170	2007	4532	8583	535	6400	12711	7381	4004	3463	5087	8057	4843	9883	9623	10411	9179	8785	8337	7045	6355	8677	6383	5448	7129	8624	7467	4614	6147	2753	1057	1991
4143	3223	4234	1690	1467	3594	5641	2957	2896	3408	1697	3310	3066	738	1656	4420	223	2389	6876	2776	1855	1465	2889	5572	1424	3535	4042	4379	5557	3409	2593	3663	2233	3548	2605	1439	2256	3125	2711	1539	2010	1036	258	769
1568	1070	1732	703	514	1348	1961	1182	1000	1306	570	1112	1205	224	596	1747	80	918	2169	924	643	522	919	1712	381	1131	1555	1645	1941	1195	973	1298	754	1209	993	462	697	1005	1002	597	736	355	62	289
