E10B10_2	E10B12_2	E10B13_2	E10B14_3	E10B2_2	E10B3_3	E10B4_3	E10B5_3	E10B6_3	E10B7_3	E10B8_3	E10B9_3	E10H1a_2	E10H1b_3	E10H1c_2	E10L1_3	E10L2_2	E10L3_3	E10L5_2	E10L6_3	E10L7_1	E10L8_2	E10L9_1	E10N1_3	E10OL1_3	E10P10b_2	E10P11b_2	E10P13b_2	E10P14b_2	E10P1a_2	E10P3a_2	E10P4a_2	E10P5a_2	E10P6a_2	E10P7a_2	E10P8b_2	E10P9b_2	E10X1_3	E10X2_3	E10X4_3	E10X7_3	E10X8_2	E10X9_2
1357	3806	1720	5035	3387	11098	3993	3882	3410	3718	3901	2690	6027	4883	2778	3775	3954	2749	623	478	890	1190	136	140	5325	3438	3083	4671	865	3967	5542	1243	3320	3708	2288	4727	4331	3913	4277	4643	5220	2918	1495
5957	13860	7344	17231	12559	28652	13579	14535	13456	13903	14059	11906	19473	18114	12656	14300	15761	10380	3227	2541	3769	5176	960	265	17545	12527	12195	16166	3801	14805	18896	5063	13989	15719	9932	15879	14610	14012	14879	15847	19305	8490	5224
11808	23110	13803	30274	24697	28109	24553	26616	25393	24514	24308	23524	28623	29833	25053	25881	28795	18949	7048	5063	9534	10576	2694	1009	30587	24366	23727	25329	9277	28142	30630	10729	27851	29319	19976	28938	27931	25272	27730	28386	30557	9483	9990
3934	5730	3965	6501	5315	11694	5689	5628	5506	5371	5292	4981	7266	6884	7197	5430	9164	3891	1798	1327	7981	3865	3977	3381	6275	5351	5580	6585	5533	6827	7568	5463	7459	8243	8794	7071	5695	5379	5614	5747	7344	2045	2650
5646	4617	3501	2364	3481	8562	2593	2783	3042	2715	2995	2153	2245	2280	7140	2443	10239	1596	1872	1177	7676	4667	9280	10220	922	2801	3530	5285	11852	5447	3329	9619	6793	7451	4057	1999	2441	2461	2670	2237	2863	783	2119
9921	7083	5409	3023	5666	14096	3725	3996	4509	3769	4730	2954	2767	2780	12419	3413	17491	2579	3241	1922	9660	7755	14254	15943	757	4046	5592	8157	20041	8634	4639	14240	11656	12201	5174	2353	3913	3449	3791	3306	4388	1089	3221
10355	7815	5481	3203	6153	14879	4055	4256	5017	4113	4870	3151	2596	3120	13223	3600	18877	2812	3745	2016	9661	8100	14949	14156	856	4254	5758	8149	21238	8963	4880	13946	12672	13253	5276	2451	3825	3582	3957	3555	4655	1177	3320
5232	4062	2906	1563	3043	7318	1907	2105	2406	2082	2383	1194	1164	1557	6282	1713	8776	1209	1624	991	4782	4037	7386	5611	444	2135	2732	3551	11024	3959	2517	6024	6506	6495	2594	1150	1886	1945	1902	1733	2418	483	1554
1227	1042	832	598	752	1822	671	631	702	529	663	450	159	421	1569	467	2096	401	407	257	1261	1083	1672	1392	210	689	827	895	2216	1153	637	1369	1520	1551	697	299	626	697	648	520	674	122	448
