E10B10_3	E10B11_3	E10B12_3	E10B13_2	E10B14_3	E10B2_3	E10B3_3	E10B4_3	E10B5_3	E10B6_2	E10B7_3	E10B8_3	E10B9_3	E10H1a_3	E10H1b_3	E10H1c_1	E10L10_1	E10L1_3	E10L2_3	E10L3_2	E10L5_1	E10L6_2	E10N1_1	E10OL1_3	E10P10b_3	E10P11b_3	E10P13b_3	E10P14b_2	E10P1a_3	E10P3a_3	E10P4a_3	E10P5a_3	E10P6a_3	E10P7a_3	E10P8b_3	E10P9b_3	E10X1_3	E10X2_3	E10X4_1	E10X5_3	E10X7_3	E10X8_1	E10X9_2
3270	3613	2536	7315	3486	2981	3040	3253	3713	5592	2800	3997	3474	2692	3954	6088	4616	3888	4000	6043	4993	4816	4948	3647	3745	3267	3619	5991	4369	4659	3836	3718	3694	3258	4616	3747	3255	3457	6046	3304	3483	5751	5957
8836	9892	6894	20342	9370	8364	8449	8767	10025	16348	7837	10619	9317	6944	10076	17697	12870	9648	10665	18255	14669	14497	14196	9491	10598	8830	10354	16869	11857	12742	10004	9956	9577	9341	12124	10321	8804	9778	18285	8867	8865	15755	16723
13372	15669	10776	28995	14101	12598	13338	13082	15131	25396	12033	15521	14134	10388	14335	27890	19722	13702	15747	28369	24038	23227	23227	13850	16729	13577	15407	25136	18024	19675	14618	15070	14239	14078	17671	15329	13324	15081	27763	13583	13203	24037	25286
9998	11355	8300	20472	9146	8886	10703	9761	11012	16880	7626	10759	10454	6814	8738	21637	13277	8400	9894	21268	22921	18107	19035	8576	12433	9667	9547	17923	13642	14165	9821	9843	9245	9659	11562	10486	9238	11000	23405	9565	8558	16750	16624
3758	2840	2705	5927	2097	2377	3596	2659	2869	3985	2008	2933	2689	1436	2080	7270	3745	1807	3092	5730	7327	6034	9631	1555	3379	2829	2481	6919	4450	3439	3663	2729	2731	3674	2323	2419	2308	2525	5852	2687	1899	2964	3241
3227	1369	1855	4606	1134	1832	2479	1364	1777	2685	1372	1919	1543	738	1011	6238	2750	1096	3394	3415	5788	3967	10008	577	1957	1804	2130	7080	2780	1856	3647	2063	2203	3199	1228	1619	1353	1468	3804	1580	1392	1337	2261
3277	1230	1855	4746	1013	1826	2457	1333	1743	2627	1272	2049	1497	585	1011	6056	2768	1098	3752	3442	5785	3822	10215	433	1736	1812	2146	7619	2670	1752	3723	2066	2245	2610	1059	1530	1142	1370	3676	1647	1337	1049	2357
1989	718	1147	2953	514	1124	1401	808	1054	1615	817	1218	875	322	589	3653	1608	700	2418	2010	3298	2106	5349	248	1033	1065	1287	4602	1463	1044	2413	1261	1498	1347	619	885	668	829	2024	992	824	551	1340
