E10B10_3	E10B11_2	E10B12_3	E10B13_2	E10B14_1	E10B2_1	E10B3_2	E10B4_1	E10B5_1	E10B6_1	E10B7_1	E10B8_1	E10B9_1	E10H1a_3	E10H1b_3	E10H1c_2	E10L10_2	E10L1_1	E10L2_1	E10L3_1	E10L5_2	E10L6_2	E10L8_3	E10N1_3	E10OL1_2	E10P10b_1	E10P11b_1	E10P13b_3	E10P14b_3	E10P1a_1	E10P3a_1	E10P4a_2	E10P5a_3	E10P6a_3	E10P7a_1	E10P8b_2	E10P9b_3	E10X1_1	E10X2_2	E10X4_2	E10X5_1	E10X7_3	E10X9_3
147	417	359	265	296	258	476	482	413	206	80	507	402	122	0	437	271	108	621	451	192	270	97	221	296	389	606	207	129	260	469	291	121	87	399	297	274	404	309	1219	510	145	240
421	1582	1017	751	791	784	1557	1366	1176	517	127	1856	1308	232	139	1276	262	175	1757	1208	629	974	201	649	947	1148	1803	673	414	683	1383	891	431	152	1237	822	826	1280	942	3089	1532	371	1022
829	2480	1801	1354	1640	1480	2671	2466	2063	1029	206	3141	2281	439	159	2266	190	256	3516	2196	900	1572	401	1144	1733	2052	3362	1208	810	1307	2341	1661	736	248	2129	1578	1585	2440	1577	5104	2811	616	1776
1426	4131	3025	2112	2791	2422	4208	3999	3478	1743	284	5155	3836	679	312	3812	246	426	5826	3701	1638	2633	660	1870	2867	3424	5368	2016	1432	2284	3988	2639	1257	442	3508	2630	2514	4122	2746	8708	4750	1113	2965
1859	5398	3988	2668	3808	3274	5271	5019	4447	2410	333	6597	5123	906	428	4897	299	582	7504	4895	2188	3475	884	2468	3811	4704	6848	2710	1863	3038	5160	3354	1830	626	4478	3392	3186	5451	3687	11443	6158	1506	3886
1748	4971	3811	2443	3676	3186	4476	4462	4335	2402	338	6339	4876	904	474	4521	239	583	6970	4619	2114	3313	886	2189	3506	4480	6263	2609	1819	2915	4917	2852	1817	647	4049	3110	2887	5091	3469	10628	5535	1525	3517
1006	2642	2133	1337	2045	1860	2022	2261	2478	1510	179	3396	2722	560	302	2657	118	368	3817	2582	1277	1752	505	1124	1834	2618	3552	1525	1074	1628	2820	1319	1138	442	2185	1734	1499	2689	1955	6085	2883	944	1877
254	704	552	349	452	469	584	559	527	327	0	780	671	132	74	629	0	90	910	656	339	396	155	377	443	617	799	338	226	367	664	297	234	84	610	390	415	659	511	1574	641	267	505
0	238	133	78	77	119	279	141	131	66	0	233	159	0	0	111	0	0	200	179	142	113	0	133	97	188	180	0	0	120	176	0	70	0	241	90	116	104	170	779	173	0	135
