E10B10_2	E10B11_2	E10B12_2	E10B13_2	E10B14_2	E10B2_1	E10B3_2	E10B4_1	E10B5_1	E10B6_2	E10B7_1	E10B8_1	E10B9_2	E10H1a_2	E10H1b_1	E10H1c_1	E10L10_2	E10L1_1	E10L2_1	E10L3_1	E10L5_2	E10L6_2	E10N1_2	E10OL1_2	E10P10b_1	E10P11b_2	E10P13b_2	E10P14b_1	E10P1a_1	E10P3a_1	E10P4a_1	E10P5a_1	E10P6a_1	E10P7a_1	E10P8b_1	E10P9b_1	E10X1_2	E10X2_2	E10X4_2	E10X5_2	E10X7_2	E10X8_2	E10X9_2
709	1793	1102	1153	764	867	1180	806	1050	898	751	624	1119	917	564	485	306	1164	1589	974	878	366	1023	619	1104	896	924	1182	696	981	914	584	848	751	1308	1010	1331	1393	1450	2039	766	540	815
1472	3591	1833	2079	1447	1566	2398	1746	2476	1574	1413	1175	2206	1644	1103	948	659	2466	2825	1895	1792	511	1716	1140	2365	1908	1934	1917	1282	1938	1613	1051	1461	1351	2571	1919	2650	2767	2901	3835	1198	1027	1471
2412	6507	3339	3406	2482	2561	4129	3247	4487	2682	2547	2271	4354	2848	1876	1755	1133	4206	4746	3040	3201	903	2964	1925	4320	3483	3161	2969	2406	3570	2816	1905	2576	2087	4598	3054	4428	4583	5114	6086	1861	1556	2272
3599	10934	5723	5358	4176	4050	6717	5248	8018	4406	4420	3609	6237	4453	3153	2807	2122	6724	6519	4937	4906	1372	4214	3636	7219	5829	5252	4244	3821	6204	4860	2951	4047	3156	7777	5066	7360	7914	8427	9451	2957	2847	3486
3958	13653	6315	5757	5184	4343	7947	6253	9198	4956	5480	4020	6025	5190	3631	3252	2108	7144	6389	4870	5902	1943	4488	4217	8821	6477	5794	4611	5052	7840	5632	3410	4760	3616	8424	5861	7617	9115	9856	10120	3426	2504	4066
4119	17280	7475	7095	6335	5628	9639	7287	11113	6198	6586	4774	4676	5227	4189	3492	3483	7842	5065	6352	7593	2235	3374	5375	10985	7545	6793	4284	6110	9654	7158	3821	5956	4098	9830	6887	8923	11112	11244	10687	4376	3203	5799
3273	8816	5332	3507	3699	3690	5577	4209	5257	3244	3341	2776	2734	2492	1936	2344	796	3304	3086	3093	4716	2153	3278	2511	6073	3754	3152	2796	5319	5264	3732	2802	3721	2519	4309	4082	3758	5075	5876	6052	3132	1392	3231
2331	4694	3533	2505	1819	2646	3641	2295	2750	2143	1943	1766	1370	1776	1384	1895	814	2122	2733	1976	3193	1386	3756	1197	3599	2522	2033	3080	3594	2904	2530	1301	2276	1773	1979	2210	2175	2730	3214	3214	1813	821	1711
