E10B10_3	E10B11_1	E10B12_3	E10B13_1	E10B14_1	E10B2_3	E10B3_1	E10B4_3	E10B5_3	E10B6_3	E10B7_3	E10B8_3	E10B9_2	E10H1a_3	E10H1b_3	E10H1c_3	E10L10_2	E10L1_3	E10L2_1	E10L3_3	E10L5_1	E10L6_2	E10L7_1	E10L8_1	E10L9_2	E10N1_3	E10OL1_3	E10P10b_1	E10P11b_3	E10P13b_3	E10P14b_3	E10P1a_3	E10P3a_1	E10P4a_3	E10P5a_3	E10P6a_3	E10P7a_2	E10P8b_3	E10P9b_3	E10X1_1	E10X2_2	E10X4_1	E10X5_2	E10X7_1	E10X8_2	E10X9_3
115	193	125	252	225	145	272	299	340	89	97	230	69	159	81	70	334	101	221	80	190	138	546	153	308	69	216	360	189	168	156	500	168	289	291	343	142	258	193	96	83	244	378	103	149	102
345	1245	695	1113	1055	853	1319	1159	1541	280	383	1282	588	448	308	679	1849	354	961	508	1001	825	3700	532	1851	424	960	1995	932	827	803	1745	1085	1382	1231	1039	702	1403	731	536	575	1204	1516	551	629	586
1309	7408	4449	5334	6535	4684	6769	4839	7421	1372	1113	6678	3508	1558	783	3847	4192	1095	5844	2637	5011	4314	8336	1479	3515	2289	5217	9956	5121	4479	3066	7627	5352	6104	5667	2473	4771	6193	3283	3294	2852	6015	6474	2019	1140	2882
3475	19256	11849	12308	17268	12829	17786	11957	18610	3775	1819	17979	9296	2805	1332	10009	5233	1894	17352	7102	12669	12038	9908	2314	4169	6148	13923	25265	13508	12207	7945	19268	13877	14980	15340	4084	12773	14910	8605	8675	7505	15435	16652	4099	1357	8122
5634	29197	18887	18697	27706	20410	28344	18587	29517	6049	2203	29650	14990	3398	1804	16454	4135	2323	29818	11507	20303	19874	7241	2657	3023	10639	21768	29784	21355	19800	13527	29494	23860	24856	27007	5528	19177	23939	14090	13467	12229	23838	27762	5594	1037	14114
4677	21355	15477	13781	20018	16927	22319	13558	23369	4848	1406	23681	11491	2016	1143	13746	1861	1513	27560	9628	16451	18344	2700	1704	1160	9283	17609	29364	17599	15962	11159	23818	20783	22188	25046	4494	12820	17266	10718	9445	9446	18492	21177	3855	414	13160
1358	5025	4118	3369	4841	4141	5383	3371	6277	1364	300	6516	2867	332	215	3809	211	228	7704	2561	3799	5082	371	313	207	2574	4627	7554	4746	4527	3134	5901	5674	6317	7074	909	3142	4461	2801	2458	2350	4219	5123	718	99	3744
107	262	367	325	411	422	492	304	607	203	117	670	221	93	0	420	0	91	647	236	324	409	0	63	76	231	537	684	647	396	207	605	596	917	722	147	197	588	332	169	249	405	604	0	0	262
