C158B1_1	C158B1_2	C158B1_3	C158B2a_1	C158B2a_2	C158B2a_3	C158B2b_1	C158B2b_2	C158B2b_3	C158B2c_1	C158B2c_2	C158B2c_3	C158B3_1	C158B3_2	C158B3_3	C158L3_1	C158L3_2	C158L3_3	C158N2_1	C158N2_3	C158O1a_1	C158O1a_3	C158O1b_1	C158O1b_3	C158O2a_1	C158O2a_3	C158O2b_1	C158O2b_3	C158P1_1	C158P1_3	C158P2_1	C158P2_3	C158P3_1	C158P3_2	C158P3_3	C158P4_1	C158P4_2	C158P4_3	C158P5_1	C158P5_2	C158P5_3	C158P6_1	C158P6_2	C158P6_3	C158P7_1	C158P7_2	C158P7_3	C158TD1a_1	C158TD1a_2	C158TD1a_3	C158TD1b_1	C158TD1b_2	C158TD1b_3
909	666	615	782	838	535	1005	612	494	1023	1014	287	261	432	247	469	265	177	939	1021	762	712	311	389	730	628	635	540	167	135	433	392	947	1417	958	1609	883	1333	1159	724	846	720	984	555	738	529	629	673	780	985	341	553	411
1967	1643	1556	1538	1909	1310	2007	1299	1451	1969	2587	910	704	1220	781	987	607	459	2015	2542	1774	1647	702	1042	1850	1557	1620	1287	302	261	971	895	2084	3372	2320	3380	2109	2912	2421	1876	2064	1640	2433	1310	1860	1476	1632	4290	1992	2125	749	1165	972
3996	3821	3398	2940	3493	2651	4010	2730	2951	3875	5064	2141	1581	2631	1778	1841	1252	1168	4452	5119	3690	3728	1254	2185	3611	3326	3185	2585	560	520	1780	1782	4077	6801	4588	6417	4104	5852	4681	3372	3837	3289	4662	2854	3767	3350	3477	3939	4030	4327	1385	2082	1791
5808	5160	4942	4427	5325	3990	6240	4122	4536	6214	8183	3286	2461	3913	2729	3015	2043	1861	6866	7995	6009	5739	2259	3388	5848	5471	5245	4326	893	851	2933	2859	6261	10417	6805	9067	6054	8205	7600	5537	6290	5203	7617	4410	5749	5147	5377	6361	6264	6915	2180	3555	3029
7243	6210	5931	5290	6512	4824	7618	5269	5514	7801	10198	4225	3012	4879	3577	3775	2549	2230	8713	10110	7874	7705	2802	4287	7531	7097	6758	5848	1157	1022	3854	3613	7672	13034	8330	10154	6940	9274	9524	7037	8198	6953	9643	5652	6960	6433	6817	7894	7753	8835	2684	4467	3999
6853	5760	5779	4873	6151	4465	7123	5066	5314	7252	9767	4033	3040	4851	3637	3519	2380	2232	8360	9547	8347	10576	2880	4073	7217	7079	6897	5825	1178	980	3723	3460	7178	12027	7799	8760	6039	7983	9503	7005	8129	7055	9358	5367	6594	6059	6630	7287	7311	8569	2603	4469	3981
4115	3579	3510	2929	3756	2617	4287	3349	3330	4359	5954	2518	1880	3154	2439	2023	1422	1235	5004	5748	5562	5175	2057	2571	4898	4583	4642	3706	800	570	2398	2164	4459	7243	4707	4754	3297	4189	5722	4417	4842	4783	5891	3443	3840	3621	4004	4524	4393	5239	1664	2928	2506
1559	1318	1210	1194	1367	954	1648	1202	1361	1660	2271	914	726	1160	813	732	579	455	1884	2195	2147	1726	851	1050	2018	1704	1744	1582	366	219	824	836	1582	2682	1239	1678	1256	1658	1896	1635	1877	1581	2339	1302	1319	1329	1296	1816	1657	1965	688	1166	1096
707	577	584	424	504	354	551	424	477	508	671	343	292	432	346	247	145	141	629	671	775	705	264	338	645	578	630	488	119	90	246	219	501	785	699	624	451	650	505	540	537	540	652	469	489	462	565	620	517	700	191	375	335
