C158B1_1	C158B1_2	C158B1_3	C158B2a_1	C158B2a_2	C158B2a_3	C158B2b_1	C158B2b_2	C158B2b_3	C158B2c_1	C158B2c_2	C158B2c_3	C158B3_1	C158B3_2	C158B3_3	C158L1_2	C158L3_1	C158L3_2	C158N2_1	C158N2_2	C158N2_3	C158O1a_1	C158O1a_2	C158O1a_3	C158O1b_1	C158O1b_2	C158O1b_3	C158O2a_1	C158O2a_2	C158O2a_3	C158O2b_1	C158O2b_2	C158O2b_3	C158P1_1	C158P1_2	C158P1_3	C158P2_1	C158P2_2	C158P2_3	C158P3_1	C158P3_2	C158P3_3	C158P4_1	C158P4_2	C158P4_3	C158P5_1	C158P5_2	C158P5_3	C158P6_1	C158P6_2	C158P6_3	C158P7_1	C158P7_2	C158P7_3	C158TD1a_1	C158TD1a_2	C158TD1a_3	C158TD1b_1	C158TD1b_3
840	965	897	433	321	404	627	562	609	259	338	403	774	878	818	51	321	221	288	274	299	720	1041	555	277	401	341	438	778	460	554	778	652	194	252	252	190	159	306	981	739	1156	586	588	556	176	281	339	259	268	308	698	604	670	637	569	737	394	353
2460	2976	2578	1396	947	1263	1902	1961	1959	883	1103	1225	2114	2270	2125	417	1008	604	830	784	1073	1968	2760	1618	867	1079	930	1429	2282	1569	1576	2080	2029	845	747	680	534	518	736	2869	2570	3555	1791	1853	1943	535	843	1073	910	932	828	2113	2302	1904	1777	1772	2118	1199	965
6181	7338	6664	3413	2077	3170	4362	4553	4666	2123	2783	2718	4918	5918	4882	1144	2291	1478	2175	2140	2488	4867	6666	4161	1829	2050	2366	3276	4946	3673	3796	5143	4709	1843	1384	1623	1318	1407	1585	6868	5993	8176	4385	4210	4340	1346	2081	2532	1932	2531	2052	4884	5637	5137	4539	4342	4781	2533	2088
9301	10559	10041	4771	2539	4429	5826	6144	6434	2848	3723	3813	6578	8234	6502	1227	3222	1994	3940	3910	4276	6913	9154	5830	2133	2450	3160	4036	5942	4736	4939	6590	5645	1203	1531	1981	1679	1962	2076	9068	8072	10794	7542	6918	6942	1921	2499	3377	2683	3652	3163	7356	8371	7478	5920	6149	6155	2891	2267
10067	11124	10905	4972	2363	4525	6032	6629	6608	3095	4264	4151	6990	8762	6912	181	3510	2041	5445	5214	5609	7090	9316	6129	2164	2135	3615	4224	5867	4705	5354	6585	5744	903	1425	1896	1684	2039	2528	8785	8036	10860	9462	8632	8795	2036	2605	3463	3141	3916	3517	8638	9835	8709	6180	6772	6368	2758	2294
7416	8152	8083	3731	1375	3337	4220	4873	5127	2381	3341	3264	4922	5931	5029	0	2426	1441	5253	4834	5339	4863	6142	4011	1581	1417	2437	3217	3854	3377	3495	4321	3707	468	879	1092	1060	1389	1773	5429	5078	6657	7875	7601	7286	1432	1784	2534	2814	3100	2813	6686	7667	6853	4487	4776	4458	1827	1907
2880	2902	3237	1672	472	1780	1555	1832	1680	1007	1424	1210	1882	2043	1897	0	830	740	3224	2695	2954	1231	1892	995	787	501	952	708	1128	951	1461	1091	1129	210	345	440	334	460	507	1432	1367	2144	3525	3666	3364	390	609	776	951	1259	1047	2621	3067	2545	1333	1563	1345	869	495
752	867	849	526	137	344	448	492	486	329	355	383	528	560	514	0	304	397	914	668	775	345	573	283	290	182	307	199	324	291	399	352	351	59	100	113	54	130	159	420	426	605	968	952	891	118	139	155	286	330	296	803	860	716	451	418	416	287	159
