C158B1_1	C158B1_2	C158B1_3	C158B2a_1	C158B2a_2	C158B2a_3	C158B2b_1	C158B2b_2	C158B2c_1	C158B2c_2	C158B2c_3	C158B3_1	C158B3_2	C158B3_3	C158L3_1	C158L3_2	C158L3_3	C158N2_1	C158N2_2	C158N2_3	C158O1a_1	C158O1a_2	C158O1a_3	C158O1b_1	C158O1b_2	C158O1b_3	C158O2a_1	C158O2a_2	C158O2a_3	C158O2b_1	C158O2b_3	C158P1_1	C158P1_2	C158P1_3	C158P2_1	C158P2_2	C158P2_3	C158P3_1	C158P3_2	C158P3_3	C158P4_1	C158P4_2	C158P4_3	C158P5_1	C158P5_2	C158P5_3	C158P6_1	C158P6_2	C158P6_3	C158P7_1	C158P7_2	C158P7_3	C158TD1a_1	C158TD1a_2	C158TD1a_3	C158TD1b_1	C158TD1b_2	C158TD1b_3
151	264	270	71	136	113	147	144	176	142	191	75	71	124	56	50	68	189	193	211	243	201	319	87	66	91	143	98	155	144	172	0	0	39	69	60	82	163	186	237	142	183	226	123	145	170	124	123	194	192	175	293	112	123	194	61	50	41
921	1493	1812	407	769	758	974	924	997	950	1306	428	502	753	277	346	405	1317	1180	1337	1363	1195	1673	533	426	616	839	715	1154	943	1004	117	117	191	381	301	431	1152	1023	1554	913	981	1331	693	831	996	633	710	1009	1052	1321	1854	842	878	1130	295	332	348
2061	3393	3909	949	1665	1656	2103	2081	2320	2127	2993	888	1182	1633	607	709	771	2786	2521	2966	2949	2566	3615	1225	1025	1343	1879	1682	2610	2077	2279	245	233	436	843	617	938	2621	2349	3511	1919	2163	2901	1538	1866	2218	1403	1586	2237	2433	2920	4058	1835	1911	2537	689	690	665
518	747	993	239	397	388	535	520	585	513	752	251	257	399	141	152	178	664	625	761	609	508	666	300	257	297	499	414	646	496	558	55	60	84	225	154	210	703	610	953	474	549	699	374	441	570	334	417	557	566	684	957	447	435	577	171	156	176
550	757	1110	272	422	472	604	539	610	624	853	295	295	468	127	135	148	725	683	897	360	277	404	351	278	341	567	437	715	567	626	64	71	66	231	145	221	844	715	1172	516	669	851	415	505	627	413	469	659	607	753	1060	488	516	637	193	162	205
818	1167	1698	403	639	673	920	789	860	901	1256	454	470	735	168	195	213	1061	1053	1353	490	434	573	492	431	515	853	680	1063	882	940	119	119	97	346	226	311	1285	1052	1716	772	985	1295	612	751	950	616	683	998	995	1181	1606	715	791	964	291	240	307
750	1073	1617	354	580	655	893	763	809	829	1106	418	441	671	173	174	209	990	946	1304	463	378	520	464	404	440	797	624	978	864	908	105	121	80	322	205	298	1200	1020	1605	731	944	1187	578	728	939	610	616	973	922	1086	1539	687	794	921	297	236	269
217	294	454	119	176	182	247	198	243	209	318	132	120	181	60	56	57	269	269	346	136	115	166	131	98	117	215	167	274	229	234	0	0	0	94	63	81	300	274	439	227	276	342	155	187	260	146	168	270	251	315	393	183	196	256	94	65	61
