C158B1_1	C158B1_2	C158B1_3	C158B2a_1	C158B2a_2	C158B2a_3	C158B2b_1	C158B2b_2	C158B2c_1	C158B2c_2	C158B2c_3	C158B3_1	C158B3_2	C158B3_3	C158L2_1	C158L2_2	C158L2_3	C158L3_1	C158L3_2	C158L3_3	C158N2_1	C158N2_2	C158N2_3	C158O1a_1	C158O1a_2	C158O1a_3	C158O1b_1	C158O1b_2	C158O1b_3	C158O2a_2	C158O2a_3	C158O2b_1	C158O2b_3	C158P1_1	C158P1_2	C158P1_3	C158P2_1	C158P2_2	C158P2_3	C158P3_1	C158P3_2	C158P4_1	C158P4_2	C158P4_3	C158P5_1	C158P5_2	C158P5_3	C158P6_1	C158P6_2	C158P6_3	C158P7_1	C158P7_2	C158P7_3	C158TD1a_1	C158TD1a_2	C158TD1a_3	C158TD1b_1	C158TD1b_2	C158TD1b_3
3020	3042	2357	1386	1369	803	1718	1415	1423	1480	1426	2025	1841	763	275	299	287	762	739	676	1376	1470	1195	2857	2260	1781	496	630	556	1255	1342	1725	1455	976	614	245	527	558	575	1791	2486	2221	2294	2359	630	1159	625	998	1656	1217	2474	3175	3534	1737	2333	2341	970	889	656
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9144	8552	6549	3840	3589	1836	5317	4336	4000	4297	3913	6122	5396	2359	919	903	815	2225	1880	1829	4154	4366	3714	8537	6632	5251	1573	1731	1611	3608	3829	5171	4340	2233	1541	700	1347	1440	1443	5404	7422	6378	6972	6905	1822	3384	1675	2982	4574	3565	6491	8316	9357	5270	6928	6790	2594	2232	1668
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12432	10909	8786	5037	4786	2369	7293	5951	5352	5683	4538	8489	7408	3384	1379	1156	1081	3218	2333	2427	5900	5984	5247	12047	9035	7304	2285	2161	2078	4738	5529	7308	5969	2547	1820	919	1814	1897	1819	7711	10122	9092	9782	9500	2558	4442	2181	4142	6198	4873	7179	9544	10772	7427	9336	9075	3404	2959	2331
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2027	1709	1363	820	843	346	1185	1024	906	980	728	1427	1324	568	256	206	244	539	382	385	968	1034	893	2098	1609	1235	380	405	399	834	844	1126	925	427	396	205	265	373	345	1301	1703	1598	1574	1543	414	811	350	701	1036	747	1153	1466	1596	1261	1594	1386	552	496	404
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
