C158B1_1	C158B1_2	C158B1_3	C158B2a_1	C158B2a_2	C158B2a_3	C158B2b_1	C158B2b_2	C158B2b_3	C158B2c_1	C158B2c_2	C158B2c_3	C158B3_1	C158B3_2	C158B3_3	C158L1_1	C158L1_3	C158L3_1	C158L3_2	C158L3_3	C158N2_1	C158N2_2	C158N2_3	C158O1a_1	C158O1a_2	C158O1a_3	C158O1b_1	C158O1b_2	C158O1b_3	C158O2a_1	C158O2a_2	C158O2a_3	C158O2b_1	C158O2b_2	C158O2b_3	C158P1_1	C158P1_2	C158P1_3	C158P2_1	C158P2_2	C158P2_3	C158P3_1	C158P3_2	C158P3_3	C158P4_1	C158P4_2	C158P4_3	C158P5_1	C158P5_2	C158P5_3	C158P6_1	C158P6_2	C158P6_3	C158P7_1	C158P7_2	C158P7_3	C158TD1a_1	C158TD1a_2	C158TD1a_3	C158TD1b_1	C158TD1b_2	C158TD1b_3
342	168	109	67	105	101	152	174	100	142	190	125	96	70	90	139	0	393	87	0	499	443	136	173	271	182	61	102	94	256	245	111	193	187	234	0	0	76	241	255	58	287	175	204	0	156	61	168	202	136	119	232	104	1154	1038	1341	128	97	75	0	71	103
790	600	418	576	338	355	646	526	416	408	585	494	184	222	272	219	57	1141	375	326	1236	1083	723	588	751	647	298	338	297	1031	761	633	658	633	782	59	130	206	799	738	311	903	630	853	256	632	456	691	726	721	428	862	517	2173	2354	2725	539	486	420	128	343	420
2028	1858	1409	2272	1091	1233	1918	1522	1539	1425	1723	1655	867	775	768	445	168	2158	1075	1122	3619	3014	2305	1842	2134	1712	910	1054	688	3008	2542	2229	1817	1651	1711	236	453	646	2079	1918	1053	2615	2184	2446	852	1956	1701	1883	2216	2025	1284	2388	1825	3468	2885	3981	1740	1800	1485	398	1113	1223
5267	4215	3665	5577	2680	3420	4457	3900	3840	3651	3932	3550	2529	2334	2196	736	475	4183	2895	3422	7942	7504	6428	4771	4823	3687	2292	2897	2495	6726	5887	4990	4566	4574	4098	1054	1348	1549	4665	4197	2619	6840	5614	6277	2102	5040	4444	4766	5121	5074	3169	6334	4365	4127	4013	5293	4266	4107	3946	1001	3154	3262
10532	9011	7536	10313	5772	6969	8637	7209	7381	6507	7595	6559	4918	4976	4154	881	890	7791	6011	6209	15270	15394	12476	9144	9730	6792	4223	5658	4390	11314	11020	8946	8063	8973	7270	1578	2795	2855	8748	8325	4785	14442	12168	12247	4550	9972	8839	8619	9990	8995	5766	11862	7046	5356	5381	5586	7693	7816	6954	2007	6208	5422
15815	13899	11523	14614	8944	9996	12719	10860	10933	9731	11667	10073	7140	7561	6401	1259	1195	11292	8977	8858	22987	22761	18794	13644	15220	10531	6340	8471	6495	16259	16748	13155	11997	13461	10739	2306	4233	4088	12610	11753	6943	21935	18653	18286	7090	14894	12937	12757	15096	13032	8797	17266	10104	7479	7353	6653	11233	11799	9859	3095	8796	7582
17223	15371	12896	15649	9954	10929	14345	12216	12467	11209	13542	12098	8546	8762	7556	1320	1493	12449	9374	9446	26252	25664	21628	16013	17575	12624	7344	9735	7912	19382	18864	15904	14483	14958	12783	2680	4733	4634	14348	12125	8058	23557	20519	20817	7911	16350	14509	14588	17151	15362	10434	19740	11675	8910	8247	7982	13479	13823	11767	3694	9564	9132
11954	10800	9014	10563	6872	7208	10162	9062	8701	8313	10299	9018	6065	6229	5673	984	1467	8740	6081	6357	18763	17848	15320	11689	12490	9349	5410	7301	6184	14452	13339	12016	10891	10838	9714	1905	3574	3230	10648	7903	6021	16205	14720	15021	5469	11205	10225	10714	12122	11232	7687	14716	8731	6482	5482	5572	10196	9994	8798	2785	6826	7291
2357	2036	1935	2409	1386	1640	2253	1956	1786	1780	2152	2105	1495	1393	1505	354	423	1947	1147	1385	4377	3930	3727	2895	2829	2146	1339	1745	1397	3370	3036	2840	2720	2469	2495	465	791	703	2415	1806	1356	3465	2950	3416	1219	2335	2259	2649	2443	2610	1942	3533	2111	1448	1377	1471	2397	2193	1974	645	1838	1810
