C158B1_1	C158B1_2	C158B1_3	C158B2a_1	C158B2a_2	C158B2a_3	C158B2b_1	C158B2b_2	C158B2b_3	C158B2c_1	C158B2c_2	C158B2c_3	C158B3_1	C158B3_2	C158B3_3	C158L2_1	C158L3_1	C158L3_2	C158L3_3	C158N2_1	C158N2_2	C158N2_3	C158O1a_2	C158O1a_3	C158O1b_1	C158O1b_2	C158O1b_3	C158O2a_1	C158O2a_2	C158O2a_3	C158O2b_1	C158O2b_2	C158O2b_3	C158P1_1	C158P1_3	C158P2_1	C158P2_2	C158P2_3	C158P3_1	C158P3_2	C158P3_3	C158P4_1	C158P4_2	C158P4_3	C158P5_1	C158P5_2	C158P5_3	C158P6_1	C158P6_2	C158P6_3	C158P7_1	C158P7_2	C158P7_3	C158TD1a_1	C158TD1a_2	C158TD1a_3	C158TD1b_1	C158TD1b_2	C158TD1b_3
5832	4821	5947	1706	490	737	1349	2521	2766	1927	1781	1975	4052	3187	3781	1661	435	366	1464	4834	2272	2258	3703	4840	3152	1222	1207	3299	1362	2453	2305	1742	2195	542	782	1259	601	623	5329	3360	4919	501	5067	3810	598	3161	756	1090	3498	2818	3744	5742	2993	4081	3414	2303	285	871	381
10765	8515	11151	2709	812	1042	4676	4598	4727	3444	3421	3237	7537	6310	7082	545	660	592	1264	8354	3928	4202	7533	8466	5333	2014	2218	6065	2818	4488	4214	3240	4175	682	1065	2557	1189	1320	9692	5905	8860	995	8882	7545	1167	5176	1346	1884	6833	5269	7524	10365	5780	7118	6525	4642	574	1477	764
18122	14237	17499	3987	1539	1374	7436	7383	7834	5545	5444	5341	12048	10160	11062	2411	699	1017	1737	14031	6939	6498	12826	13597	8256	3090	3557	10658	4744	7172	7288	5563	7117	869	500	3136	1837	1441	16282	10635	13455	1723	14354	11560	2010	7258	2351	3132	11121	9079	11595	16790	10104	11584	10742	7625	957	2328	1255
20349	16227	20351	4120	1752	1438	7405	8494	8353	6315	6467	5758	14258	12120	13096	108	601	1260	2164	15025	8492	7166	15050	15009	9394	2843	3907	11861	5469	7984	8049	6689	8427	883	401	3664	2112	1525	19100	11233	15720	2105	16256	13097	2294	7951	2668	3753	12516	10010	13280	19779	11487	13154	12200	8619	1091	2344	1549
20554	17012	19546	3840	1975	1354	4787	8699	8590	5470	6288	5895	13578	12332	11973	220	646	1189	2122	14873	9085	7214	15113	14385	8987	2864	4088	12515	5823	7825	8811	7155	8207	884	239	2332	1808	1415	18719	11955	13744	1994	15019	10770	2537	7843	2588	3798	11721	10579	13537	19100	12137	12639	11436	8559	1067	1908	1540
4949	3893	4820	1011	516	351	0	1994	1712	1296	1394	1280	3497	2827	2472	88	160	280	757	3161	2403	1616	3735	3165	1813	566	1128	2397	1414	1721	2040	1923	1562	228	67	724	686	395	5016	2403	3315	441	2924	2459	663	1642	553	882	2286	1844	3068	3870	2223	2709	2503	1480	236	372	472
2930	2192	2538	555	253	296	128	1047	1011	662	764	729	1918	1564	1230	163	155	183	397	2134	1252	1146	2020	1713	995	378	715	1496	768	808	1066	1072	887	173	0	366	622	260	3080	1545	1959	210	1758	1168	305	986	319	415	1313	1127	1624	2332	1348	1380	1434	875	119	244	309
987	798	985	292	82	96	0	447	329	232	251	260	761	693	395	211	138	134	168	781	507	401	795	674	403	94	304	502	344	251	360	419	286	0	0	187	467	229	1237	589	680	64	608	483	122	325	154	167	358	319	699	885	390	417	502	218	55	96	233
