C158B1_1	C158B1_2	C158B1_3	C158B2a_1	C158B2a_2	C158B2a_3	C158B2b_1	C158B2b_2	C158B2c_1	C158B2c_2	C158B2c_3	C158B3_1	C158B3_2	C158B3_3	C158L3_1	C158L3_2	C158L3_3	C158N2_1	C158N2_2	C158N2_3	C158O1a_1	C158O1a_2	C158O1a_3	C158O1b_1	C158O1b_2	C158O1b_3	C158O2a_1	C158O2a_2	C158O2a_3	C158O2b_1	C158O2b_3	C158P1_1	C158P1_2	C158P1_3	C158P2_1	C158P2_2	C158P2_3	C158P3_1	C158P3_2	C158P3_3	C158P4_1	C158P4_2	C158P4_3	C158P5_1	C158P5_2	C158P5_3	C158P6_1	C158P6_2	C158P6_3	C158P7_1	C158P7_2	C158P7_3	C158TD1a_1	C158TD1a_2	C158TD1a_3	C158TD1b_1	C158TD1b_2	C158TD1b_3
666	489	920	341	296	501	409	388	580	450	812	325	275	394	442	407	338	512	599	558	651	590	758	241	232	275	478	467	686	502	584	99	94	112	778	310	396	953	1045	1342	317	775	822	444	591	818	432	363	532	428	514	886	565	518	683	350	222	335
1796	1528	2383	955	856	1618	1186	1083	1575	1481	2276	827	832	1191	1076	992	879	1318	1529	1453	1481	1484	1946	602	621	766	1187	1199	1971	1286	1626	255	279	421	1867	831	1079	2776	3079	3743	981	1668	2330	990	1200	1894	1005	981	1390	1193	1478	2424	1521	1444	1817	867	625	878
3207	2594	4137	1560	1480	2665	2148	1952	2855	2623	3987	1483	1527	2079	2057	1785	1791	2121	2497	2324	3068	3026	3904	1203	1232	1437	2295	2426	3675	2456	3171	449	514	678	3418	1665	2152	4827	5200	6597	1597	2793	3987	2053	2578	4055	2115	1926	2887	2401	2841	4686	2835	2751	3475	1638	1225	1708
3497	2766	4634	1718	1592	2960	2431	2217	3215	2895	4513	1650	1673	2316	2293	2149	2142	2078	2485	2277	3928	3736	4904	1401	1453	1676	2717	2850	4242	2990	3754	499	554	760	3932	2077	2668	5224	5590	7483	1649	2922	4080	2666	3198	5111	2626	2391	3581	2816	3400	5460	3333	3318	4062	1919	1417	2060
2587	2074	3440	1258	1251	2139	1898	1705	2517	2285	3412	1289	1327	1794	1962	1822	1869	1195	1385	1316	3483	3200	4308	1235	1199	1390	2316	2291	3400	2593	3111	332	384	502	3178	1946	2226	3803	3776	5216	976	1737	2372	2336	2874	4601	2189	2006	3033	2434	2769	4492	2711	2751	3325	1568	1246	1716
1462	1100	1910	626	664	1123	1093	991	1460	1313	1879	776	820	1091	1240	1205	1200	201	200	181	2560	2261	3010	881	759	813	1504	1481	2160	1799	2007	117	157	128	2248	1424	1497	2060	1885	2786	262	404	584	1661	2099	3569	1469	1480	2083	1618	1705	3072	1816	1764	2153	1012	806	1144
798	612	1072	389	337	541	652	522	841	720	1016	445	426	631	776	692	693	77	81	70	1609	1355	1798	531	397	435	903	852	1251	1084	1161	62	63	62	1339	924	938	1066	1028	1522	146	208	293	1123	1391	2338	959	1035	1321	993	988	1890	1033	1070	1299	577	526	691
425	340	546	210	206	305	355	311	418	352	468	274	246	325	446	463	408	32	34	44	904	764	969	300	251	255	536	498	646	658	626	31	50	56	743	545	495	605	588	885	65	121	283	673	780	1376	528	570	761	534	588	919	658	554	697	291	259	368
