E9B10_1	E9B10_2	E9B10_3	E9B11_1	E9B11_2	E9B11_3	E9B12a_1	E9B12a_2	E9B12a_3	E9B12b_1	E9B12b_2	E9B12b_3	E9B12c_1	E9B12c_2	E9B12c_3	E9B13a_1	E9B13a_2	E9B13a_3	E9B13b_1	E9B13b_2	E9B13b_3	E9B13c_1	E9B13c_2	E9B13c_3	E9B14a_1	E9B14a_2	E9B14a_3	E9B14b_1	E9B14b_2	E9B14b_3	E9B14c_1	E9B14c_2	E9B14c_3	E9B1_1	E9B1_2	E9B2_1	E9B2_2	E9B2_3	E9B3_1	E9B3_2	E9B3_3	E9B4_1	E9B4_2	E9B4_3	E9B5a_1	E9B5a_2	E9B5a_3	E9B5b_1	E9B5b_2	E9B5b_3	E9B6_1	E9B6_2	E9B6_3	E9B7_1	E9B7_2	E9B7_3	E9B8_1	E9B8_2	E9B8_3	E9B9_1	E9B9_2	E9B9_3	E9H1a_1	E9H1a_2	E9H1a_3	E9H1b_1	E9H1b_3	E9H1c_3	E9L1_1	E9L1_2	E9L1_3	E9L2_1	E9L2_2	E9L2_3	E9L4_1	E9L4_2	E9L4_3	E9L5_1	E9L5_2	E9L5_3	E9L6_1	E9L6_2	E9L6_3	E9N3_1	E9N3_2	E9N3_3	E9P10_1	E9P10_2	E9P10_3	E9P11_1	E9P11_2	E9P11_3	E9P1_1	E9P1_2	E9P1_3	E9P2_1	E9P2_2	E9P2_3	E9P4_1	E9P4_2	E9P4_3	E9P5_1	E9P5_2	E9P5_3	E9P6_1	E9P6_2	E9P6_3	E9P7_1	E9P7_2	E9P7_3	E9P8_1	E9P8_2	E9P8_3	E9P9_1	E9P9_2	E9P9_3	E9X1_1	E9X1_2	E9X1_3	E9X2_1	E9X2_2	E9X2_3	E9X3_1	E9X3_2	E9X3_3	E9X4_1	E9X4_2	E9X4_3	E9X5_1	E9X5_2	E9H2_1	E9H2_2	E9H2_3	E9N2_1	E9N2_2	E9N2_3	E9P3_1	E9P3_2	E9P3_3
3093	2795	2009	506	444	776	1059	1314	1014	1406	1660	1207	1172	1427	1530	1423	1184	1267	995	1782	1393	1675	1743	1600	960	637	387	629	477	503	1256	884	616	2003	1186	1714	1267	2374	829	762	1695	2835	1503	3021	1306	1680	1668	2181	1685	1162	3494	1932	2125	2416	1855	1977	3679	4327	3218	4298	2313	3496	5931	6125	5734	443	2347	7186	2404	1384	1427	3143	2493	3571	1615	748	1170	3014	308	924	2358	1203	2490	648	1314	792	1653	2866	2420	1649	1182	1191	2740	3631	2845	1806	4108	3308	1505	1533	1382	1671	3073	1930	2325	2497	2071	1868	3727	429	2043	1723	1182	2436	1471	2563	2504	5315	3282	2225	3920	2195	796	941	1229	2812	2922	1468	1218	1743	0	0	0	0	1538	1493	2687	0	2608
12897	11135	8173	2315	2516	3430	4971	6635	4751	6289	7089	4775	5736	6983	6577	5758	4900	5048	4803	7441	5579	6993	6557	6692	3927	2445	1959	3653	2185	2430	6252	4086	3016	7453	4165	5704	5025	7877	3648	3711	6211	9967	5791	9811	5042	6675	5990	8098	6549	4648	11967	7603	6988	8013	7113	6873	12923	15334	11804	14166	8198	11729	19197	19555	17659	1262	7465	22875	8481	5146	5217	11382	9484	11789	6516	3669	4426	11055	1565	3401	9038	4221	8908	2346	4790	3068	6679	10815	8638	7102	6225	4911	9624	13913	9587	6911	14677	10670	5258	7296	5086	5760	11441	6118	8320	10859	7418	6797	13965	1310	7515	5637	4006	9371	6064	9121	10162	19107	11371	10745	15138	8442	4152	4973	5019	10643	9993	5199	5760	6510	13200	14213	13324	8818	7974	7173	11873	11382	11374
20395	17725	12657	3974	4389	5798	8094	11226	7927	9610	9865	7085	9338	11263	10354	10595	8701	9121	8423	13157	9578	12586	12063	11972	6346	3939	3439	6076	3760	3941	9793	6570	4833	12471	7201	9275	8235	12101	5908	5987	9373	14429	8462	13848	7381	9654	8329	12593	9995	7126	17636	10937	10379	13061	11998	11217	18135	22626	16833	18311	11290	15450	26114	26938	23360	1936	10909	29608	11711	7455	7633	15094	12838	14921	9873	5776	6824	15996	2396	5113	12754	6006	11949	4498	8566	5544	10903	16745	13587	12674	11595	8545	13378	19562	12996	10202	20764	14721	9024	13068	8819	8560	16850	8729	13664	18449	11565	10380	21429	2000	10921	8147	6147	13710	8973	13310	14285	26568	16133	17926	22823	13220	8108	9020	9193	15674	14178	7601	9087	10138	22573	23866	23218	17151	15815	14374	17695	15857	16444
15321	12056	8547	3209	3517	4770	6213	8654	6191	5431	5283	4128	5952	7961	7101	9582	8471	8297	7706	11540	8887	11712	10760	11235	4720	3029	2619	4527	2796	3065	6160	4384	3323	11719	6270	7425	6416	8562	4390	4472	6123	8028	4626	7537	4222	5020	4599	8639	6845	4725	11330	7111	6348	10492	9082	8325	9980	13332	9568	8161	5175	6859	11140	11679	9580	931	5594	13860	6073	4013	3893	5412	5092	5778	6404	3602	4446	8704	1334	3246	6752	3434	5729	4406	8084	5419	8117	11608	9500	11950	10699	7860	7600	10586	6909	5646	11027	7790	7604	11068	7489	6612	12472	6402	10611	14986	8798	7237	14514	1350	7152	4914	3703	7306	4650	7336	7657	14613	8673	12863	14726	8841	8149	9076	8598	8916	8278	4330	6340	7453	18219	18855	18703	18379	15837	14923	9865	8451	8321
5543	4344	3160	1278	1382	1813	2742	3800	2531	3430	3609	2636	3290	4196	3477	3215	2788	2846	2380	4099	3116	3834	3655	3709	2289	1653	1309	2044	1516	1615	3516	2492	1755	4081	2115	2613	2274	2999	1732	1742	2446	3399	1841	3129	1980	2160	2071	3280	2539	1819	4525	3005	2905	3767	3412	3020	4385	5704	3961	4208	2618	3558	3989	4371	3390	199	1736	4763	2774	1750	1742	2944	2932	3155	2727	1449	1876	4041	528	1296	3138	1580	2681	1379	2732	1873	2906	4173	3539	4227	3571	2856	3253	4605	3085	2496	4504	3497	2659	3856	2712	2721	5107	2578	3699	5321	3170	3015	5805	481	3008	1936	1491	3220	2136	3124	3343	6494	3600	4851	5590	3343	2763	3361	2989	3255	3293	1461	2473	2761	8060	8335	8610	5688	5172	4674	5149	4140	4515
2805	2228	1784	734	687	742	1720	2712	1489	3648	4217	2876	2973	3766	2679	982	920	748	652	1581	784	934	1136	938	1832	1355	921	1524	1427	1257	3408	2222	1454	1409	593	1015	1049	1090	938	1003	1331	2537	1369	2321	1461	1804	1601	1982	1488	1112	2892	1989	2124	1737	1655	1231	3404	4285	2763	4007	2590	3229	2615	3382	2285	109	944	2884	2371	1289	1379	3314	3182	3497	1886	861	1264	3315	401	909	2744	1269	2210	362	836	491	1338	2148	1932	1687	1332	987	2455	3760	2357	2159	3416	2778	1180	1518	926	1692	2763	1555	1746	2514	1369	2037	3580	332	2077	1315	1004	2746	1710	2338	2638	5113	2606	3059	3395	1878	953	1263	835	1987	2068	704	1500	1353	6157	6564	7220	1788	1301	1329	4733	3938	4366
2296	1928	1498	472	546	420	1370	2224	1232	3023	3722	2398	2335	3041	2091	732	654	456	516	991	532	643	690	632	1322	1032	608	1196	1133	930	2780	1797	1083	1071	484	838	881	802	733	717	1042	2441	1199	2026	1266	1637	1290	1704	1315	960	2509	1595	1652	1436	1364	1012	2775	3334	2404	3228	2450	2435	2479	3108	2107	150	817	2481	2216	1156	1273	3175	2711	3067	1688	809	1013	2694	340	733	2437	995	2024	274	608	414	1218	1794	1419	1335	1104	693	2029	3036	1928	1710	2887	2091	934	1262	713	1263	2155	1080	1427	2198	1112	1816	3018	341	1815	1089	863	2507	1550	2051	2466	4946	2010	2715	3348	1550	720	957	486	1812	1722	571	1329	1272	5224	5698	6249	1610	1036	1105	4259	3294	3937
820	804	510	129	274	119	504	889	404	1083	1431	877	743	1094	686	272	275	206	214	342	192	243	406	198	476	478	222	431	571	322	1081	685	393	473	219	371	347	308	243	215	415	886	410	707	499	623	493	680	466	339	1201	535	625	582	530	392	1026	1012	803	1215	877	670	961	1375	715	69	305	824	897	437	572	1219	882	1073	811	392	456	1044	127	318	885	414	785	138	310	205	487	741	450	574	524	358	730	1108	736	545	849	643	425	667	291	412	693	415	732	890	443	669	1055	198	737	421	380	876	579	758	881	1530	746	1141	1458	512	273	278	269	724	779	236	441	542	2301	2516	2755	1050	721	671	1411	1314	1432
