C89L1_1	C89L1_2	C89L1_3	C89L2_1	C89L2_2	C89L2_3	C89L3_1	C89L3_2	C89L3_3	C89L4_1	C89L4_2	C89L4_3	C89L5_1	C89L5_2	C89L5_3	C89L6_1	C89L6_2	C89L6_3	C89M1a_2	C89M1b_1	C89M1b_2	C89M1b_3	C89M1c_1	C89M1c_2	C89M1c_3	C89M1d_1	C89M1d_2	C89M1d_3	C89M1e_1	C89M1e_2	C89M1e_3	C89M1f_1	C89M1f_2	C89M1f_3	C89M1g_1	C89M1g_2	C89M1g_3	C89M2_1	C89M2_2	C89M2_3	C89M3_1	C89M3_2	C89M3_3	C89M4_1	C89M4_2	C89M4_3	C89N1_1	C89N1_2	C89N1_3	C89N2_1	C89N2_2	C89N2_3	C89P1a_1	C89P1a_2	C89P1a_3	C89P1b_1	C89P1b_2	C89P1b_3	C89P1c_1	C89P1c_2	C89P1c_3	C89P1e_1	C89P1e_2	C89P1e_3	C89P1f_1	C89P1f_2	C89P1f_3	C89P1g_1	C89P1g_2	C89P1g_3	C89P1h_1	C89P1h_2	C89P1h_3	C89P1i_1	C89P1i_2	C89P1i_3
392	360	550	402	313	288	316	360	366	504	401	487	376	516	527	213	174	211	86	645	610	688	811	514	794	291	290	303	655	644	563	771	775	564	824	680	665	254	282	220	226	202	244	253	233	231	814	716	1044	613	559	683	498	571	644	690	517	517	909	757	671	429	399	467	532	549	601	587	522	923	355	373	529	140	243	193
674	607	792	748	542	529	558	599	592	898	628	804	773	894	899	359	274	293	138	1179	1119	1303	1447	1010	1544	523	537	458	1256	1142	1050	1377	1187	1081	1385	1092	1178	404	395	471	324	266	422	423	383	389	1394	1273	1921	1001	1008	1234	984	921	1058	1153	986	847	1857	1445	1456	818	664	740	1085	1053	1098	1165	1048	1783	674	698	886	240	317	248
1491	1127	1487	1503	1147	1007	1166	1063	996	1856	1179	1585	1684	1669	1855	709	662	660	195	2100	2189	2251	2685	1828	2914	954	1039	977	2396	2117	1957	2445	2142	2057	2493	2068	2259	773	695	896	739	694	911	801	944	830	2316	2450	3504	1784	2002	2006	1665	1717	2006	2016	1878	1506	3594	2981	2673	1500	1318	1557	2191	2109	2213	1934	2034	3312	1407	1296	1613	404	586	513
2584	2296	2494	2452	2100	1702	2002	2227	1994	3062	2449	2990	3064	3455	3431	986	1175	1155	440	3732	4120	4179	5060	3989	4986	1677	1873	1636	4198	4410	3508	4420	4371	3733	4518	4361	4206	1325	1358	1596	1129	1190	1569	1403	1562	1462	5237	5245	6219	3779	3722	3635	3645	3531	3717	4116	3601	2996	7462	6084	4881	2663	2559	2639	3637	3600	3636	4119	3891	5751	2704	2413	2882	818	1187	974
5744	4960	5352	5015	4224	3454	3945	4712	4134	6351	5298	6160	6456	7550	7233	1676	2241	2087	766	8574	9709	9421	12196	9575	11903	3547	4070	3200	9933	10171	8203	10492	10014	8710	10743	10104	9949	2592	2778	3054	1980	2140	2771	2510	2838	2595	12813	12263	14442	8886	8464	8391	8418	7706	8240	9382	8241	6589	13714	11060	9263	5566	5343	5434	8394	8113	8126	9565	8799	13145	5685	4889	5771	1497	2171	1488
7565	6628	6951	6387	5451	4225	5218	6057	5814	8403	7383	8428	8830	10055	9912	2101	2695	2562	847	11861	12863	13395	16385	12969	16287	4850	5307	4176	13215	13640	11241	14410	13729	11575	14350	13931	13743	3260	3682	3851	2559	2829	3620	3412	3788	3383	17034	16662	18872	11928	11138	11138	11521	10754	10944	12737	11139	9283	10894	8716	6959	7255	7130	7032	11100	10519	10453	12601	11956	17792	7023	6122	7436	2153	2982	2016
2379	2317	2442	2294	1861	1382	1693	2107	2021	2929	2717	2896	2954	3556	3368	635	881	772	306	4476	4915	4792	5754	4368	5607	1640	1846	1321	5042	5239	4013	5543	5158	4312	5352	5103	4797	1112	1297	1273	798	941	1106	1138	1186	985	6218	5914	6586	4525	4092	4020	4148	3913	3885	4778	3977	3126	2948	2333	1543	2567	2293	2383	3611	3512	3382	4577	3997	5999	2407	2024	2309	751	971	581
241	173	182	189	158	103	155	71	148	259	198	171	267	215	244	85	54	63	0	489	434	532	611	387	598	174	116	130	494	490	363	518	451	359	445	433	492	157	98	69	84	80	82	149	93	106	0	534	729	381	375	397	344	320	358	319	305	265	279	151	92	245	235	248	488	350	382	437	402	711	203	166	213	0	0	0
