C89L1_1	C89L1_2	C89L1_3	C89L2_1	C89L2_2	C89L2_3	C89L3_1	C89L3_2	C89L3_3	C89L4_1	C89L4_2	C89L4_3	C89L5_1	C89L5_2	C89L5_3	C89L6_1	C89L6_2	C89L6_3	C89M1a_1	C89M1a_2	C89M1a_3	C89M1b_1	C89M1b_2	C89M1b_3	C89M1c_1	C89M1c_2	C89M1c_3	C89M1d_1	C89M1d_2	C89M1d_3	C89M1e_1	C89M1e_2	C89M1e_3	C89M1f_1	C89M1f_2	C89M1f_3	C89M1g_1	C89M1g_2	C89M1g_3	C89M2_1	C89M2_2	C89M2_3	C89M3_1	C89M3_2	C89M3_3	C89M4_1	C89M4_2	C89M4_3	C89N1_1	C89N1_2	C89N1_3	C89N2_1	C89N2_2	C89N2_3	C89P1a_1	C89P1a_2	C89P1a_3	C89P1b_1	C89P1b_2	C89P1b_3	C89P1c_1	C89P1c_2	C89P1c_3	C89P1e_1	C89P1e_2	C89P1e_3	C89P1f_1	C89P1f_2	C89P1f_3	C89P1g_1	C89P1g_2	C89P1g_3	C89P1h_1	C89P1h_2	C89P1h_3	C89P1i_1	C89P1i_2	C89P1i_3
571	290	572	407	415	351	302	386	368	278	443	481	501	409	596	261	343	207	407	566	547	679	598	748	770	629	849	675	488	637	735	564	748	824	668	580	635	553	508	296	289	270	367	294	99	360	332	298	702	561	890	544	439	777	511	612	664	519	513	471	460	346	462	695	583	722	763	522	601	665	765	716	494	443	632	198	134	135
2241	1360	2040	1705	1703	1346	1240	1348	1400	1357	1850	1759	2155	1774	2136	1113	1110	1103	1392	1939	2218	2987	2607	3178	3568	2663	3154	2594	2026	2582	3008	2357	2738	2819	2350	2387	2275	2346	2478	1081	1091	944	1321	1255	617	1398	1179	918	2769	2314	3151	2470	1858	2520	2074	2341	2182	2064	2243	1547	1487	1521	1497	2480	2601	2654	2674	2369	2446	2604	2918	3099	1961	2000	2623	737	628	813
5644	4292	5755	4663	4773	3605	3154	3434	3528	3955	4899	4788	5119	5037	6109	2728	2934	3967	4144	4818	5723	7560	6935	8503	9506	7801	9334	7083	5222	6788	8174	6484	7472	7341	7075	6338	5531	6379	6802	2856	3253	2510	2842	3620	2128	3620	3436	2989	7884	6775	9012	6420	5259	6785	5643	5884	5994	4800	5990	4395	4100	4085	3494	7690	7248	7631	7232	6772	6279	7613	7852	8013	6066	5727	6690	1873	1409	2200
10424	8617	10119	8220	8638	6541	5035	5742	6645	6742	7658	7806	8693	8411	10137	3603	4913	3658	6893	7250	8574	13615	13705	16296	19853	14762	18180	11799	9547	11946	13658	10941	12816	11735	11811	11250	8638	10642	10843	4064	5247	4527	4004	5220	3589	5767	5248	4584	14891	12618	15495	11306	9100	10778	9649	9518	9058	7455	9827	7429	6741	7032	5260	12145	12187	11419	12618	11348	11244	14733	15071	15492	11977	10783	12482	2851	2178	3262
9771	8408	8804	7090	7497	6057	4678	4773	6091	5159	5495	5685	7454	6341	7325	2994	6004	2412	5040	5796	7082	12338	13149	16042	21536	15165	17835	10298	7993	9923	11787	9076	10174	8739	9029	8953	5954	7843	7750	2302	4329	2446	3040	3777	2667	4325	4068	3367	14528	12147	13329	9989	7518	9164	7750	6793	5900	5357	7101	5549	5132	5728	3798	9315	10092	7851	11667	10040	9478	14406	14637	14915	12047	9913	11237	2271	2167	2652
8404	7639	7251	5900	7071	5527	7538	5414	7437	5373	4844	5539	9410	6143	6470	1220	4563	1947	3112	3998	8820	12537	12289	15266	20140	14682	17640	9508	7167	9276	11684	8453	10217	8902	8656	9473	6361	7538	7972	2882	3134	2456	4217	3032	2373	4324	2771	2548	12937	10351	12166	8746	6340	9095	7688	6631	5866	6126	7194	6187	6910	4709	4663	8487	9183	8933	11647	8999	9450	13574	14544	13642	12398	8732	10370	1929	4719	1602
3727	4012	3690	2485	2926	3607	2249	4368	3971	3325	2183	3213	4119	2954	4012	494	511	656	1668	1688	3173	6838	5968	7188	9744	6559	8697	4613	4091	5317	5648	4357	5047	4398	4067	4460	3703	4128	4592	806	1797	1662	1338	1898	1171	1538	1247	1258	6308	4827	5182	3942	3436	4246	4086	3693	3177	3442	3223	2704	2689	2550	2295	3884	4342	4175	5113	4359	4851	6720	6809	7103	4759	4397	4815	1241	4809	837
1073	1031	663	923	750	827	579	790	854	948	623	839	1195	870	1107	167	160	218	632	550	961	1769	1942	2242	3060	1745	2488	1326	1096	1493	1689	1200	1494	1116	1240	1066	1008	1216	957	248	233	303	586	698	233	492	354	336	1520	1356	1438	1111	882	890	907	552	837	970	756	689	736	625	585	1150	1408	1079	1645	1271	1285	1625	1899	2017	1417	1078	1697	454	273	273
269	211	293	239	185	188	155	244	254	271	183	217	340	244	273	0	0	69	154	157	297	520	449	508	698	411	694	405	335	331	416	302	412	293	326	268	297	324	264	72	102	59	153	185	0	0	113	64	407	333	424	268	260	267	194	238	239	292	224	146	202	161	180	329	387	243	371	315	367	422	463	513	318	243	429	165	102	57
