C89L1_1	C89L1_2	C89L1_3	C89L2_1	C89L2_2	C89L2_3	C89L3_1	C89L3_2	C89L3_3	C89L4_1	C89L4_2	C89L4_3	C89L5_1	C89L5_2	C89L5_3	C89L6_1	C89L6_2	C89L6_3	C89M1a_1	C89M1a_2	C89M1a_3	C89M1b_1	C89M1b_2	C89M1b_3	C89M1c_1	C89M1c_2	C89M1c_3	C89M1d_1	C89M1d_2	C89M1d_3	C89M1e_1	C89M1e_2	C89M1e_3	C89M1f_1	C89M1f_2	C89M1f_3	C89M1g_1	C89M1g_2	C89M1g_3	C89M2_1	C89M2_2	C89M2_3	C89M3_1	C89M3_2	C89M3_3	C89M4_1	C89M4_2	C89M4_3	C89N1_1	C89N1_2	C89N1_3	C89N2_1	C89N2_2	C89N2_3	C89P1a_1	C89P1a_2	C89P1a_3	C89P1b_1	C89P1b_2	C89P1b_3	C89P1c_1	C89P1c_2	C89P1c_3	C89P1e_1	C89P1e_2	C89P1e_3	C89P1f_1	C89P1f_2	C89P1f_3	C89P1g_1	C89P1g_2	C89P1g_3	C89P1h_1	C89P1h_2	C89P1h_3	C89P1i_1	C89P1i_2	C89P1i_3
318	251	303	238	234	172	354	296	299	411	351	298	523	415	295	145	130	103	106	110	0	369	367	295	411	243	343	162	184	284	470	390	288	452	310	142	561	303	240	114	132	175	244	118	0	470	322	226	257	224	209	241	180	183	552	370	479	451	340	386	679	480	329	590	131	437	497	344	473	669	452	812	402	285	572	235	193	270
696	561	614	449	515	251	808	607	490	829	732	538	926	924	629	286	248	72	138	93	87	811	950	449	783	562	623	296	326	468	1019	767	509	933	585	271	1102	576	409	226	191	267	408	284	0	885	675	361	571	455	449	456	362	270	998	834	866	950	709	781	1459	916	622	1248	226	889	991	781	972	1507	917	1605	803	567	1065	456	347	446
1580	1336	1608	1106	1236	910	1754	1416	1340	2010	1680	1526	2137	2120	1686	666	581	602	488	361	383	1964	2261	1456	2160	1804	1892	1045	1138	1432	2494	2047	1454	2441	1736	1039	2786	1728	1516	618	471	891	1069	722	365	1832	1599	931	1413	1102	1154	1011	985	829	2550	1781	2159	2158	1726	2045	3347	2206	1725	2900	857	2047	2157	1897	2076	3288	2313	3543	2213	1623	2604	1077	940	1179
3051	2491	3008	2220	2368	1627	3186	2625	2407	3859	3340	2808	4161	4003	3181	1470	1367	1042	1023	755	592	3720	3884	2514	3774	2941	3278	1884	1809	2231	4385	3665	2591	4212	2928	1859	4791	3053	2492	1636	1054	1642	2162	1557	621	3429	2972	1888	3027	2570	2764	2591	2224	1913	4816	3581	4217	4429	3406	4070	6252	4284	3320	5087	1531	3850	4031	3566	4312	5831	4026	6413	4039	2802	4610	1828	1603	2139
3593	2948	3606	2768	2750	1809	3685	3167	2869	4629	4122	3558	5291	4947	4071	1669	1626	1083	856	669	443	4494	4519	2993	4486	3560	3923	2000	2070	2359	5192	4332	3105	4907	3470	2108	5750	3561	2967	1987	1274	1908	2539	1914	490	4039	3493	2166	4349	3827	3937	3669	3183	2507	6143	4737	5329	5465	4365	5076	7699	5308	4163	5997	1657	4591	5245	4490	5386	7024	4860	7526	4780	3374	5682	1981	1666	2325
3060	2473	3031	2435	2373	1615	3162	2761	2400	3890	3739	3279	4493	4268	3518	1527	1557	883	455	410	265	3261	3341	2209	3285	2549	2636	1520	1526	1678	3887	3129	2390	3836	2610	1553	4351	2695	2240	1882	1179	1861	2392	1713	385	3504	3076	1871	4284	3797	3548	3603	3001	2313	5484	4297	4799	4702	3837	4452	6811	4757	3796	4738	1350	3756	4163	3594	4401	5832	3986	6342	3908	2851	4762	1691	1304	1677
1456	1012	1444	1162	1285	846	1650	1478	1315	2013	1820	1671	1863	1879	1403	776	761	542	197	110	128	1260	1189	823	1327	1001	996	645	627	756	1530	1265	966	1463	972	649	1723	963	837	1137	751	1171	1329	959	182	2025	1473	919	2752	2793	2171	2348	1907	1356	2597	2221	2443	2255	1893	2038	2881	2134	1571	1979	513	1524	1833	1567	1869	2915	1832	2984	1500	986	1770	961	665	768
605	494	622	472	2260	325	641	581	518	787	687	658	835	742	594	454	422	299	119	87	80	715	763	448	779	585	631	405	400	465	907	801	650	918	566	377	1001	654	546	530	348	502	586	369	123	939	696	472	945	831	817	801	602	482	1151	707	1061	881	707	812	1188	830	662	1217	326	982	640	522	626	1536	947	1444	698	478	827	432	354	265
266	214	278	215	218	172	299	223	220	391	375	351	489	366	360	380	285	231	104	75	66	598	647	399	582	472	467	324	253	344	690	580	389	685	478	322	848	502	411	343	170	291	269	228	61	675	524	308	348	316	342	285	258	150	493	316	463	421	288	396	581	448	371	887	266	755	207	151	204	952	633	888	440	286	494	184	116	129
