C89L1_1	C89L1_2	C89L1_3	C89L2_1	C89L2_2	C89L2_3	C89L3_1	C89L3_2	C89L3_3	C89L4_1	C89L4_2	C89L4_3	C89L5_1	C89L5_2	C89L5_3	C89L6_2	C89L6_3	C89M1b_1	C89M1b_2	C89M1b_3	C89M1c_1	C89M1c_2	C89M1c_3	C89M1d_1	C89M1d_2	C89M1d_3	C89M1e_1	C89M1e_2	C89M1e_3	C89M1f_1	C89M1f_2	C89M1f_3	C89M1g_1	C89M1g_2	C89M1g_3	C89M2_1	C89M2_2	C89M2_3	C89M3_1	C89M3_2	C89M3_3	C89M4_1	C89M4_2	C89M4_3	C89N1_1	C89N1_2	C89N1_3	C89N2_1	C89N2_2	C89N2_3	C89P1a_1	C89P1a_2	C89P1a_3	C89P1b_1	C89P1b_2	C89P1b_3	C89P1c_1	C89P1c_2	C89P1c_3	C89P1e_1	C89P1e_2	C89P1e_3	C89P1f_1	C89P1f_2	C89P1f_3	C89P1g_1	C89P1g_2	C89P1g_3	C89P1h_1	C89P1h_2	C89P1h_3	C89P1i_1	C89P1i_2
604	563	360	169	427	129	234	245	269	475	510	395	264	322	210	0	53	847	753	717	903	722	581	493	202	125	315	411	301	492	386	239	525	305	342	141	118	52	174	127	75	284	171	89	515	423	533	212	359	242	693	629	513	498	641	327	332	369	146	656	650	343	1041	525	755	904	790	1510	429	330	498	0	0
2036	1626	1198	537	1116	352	786	794	633	1343	1359	1019	800	894	595	89	126	1995	2408	2135	2600	2155	1812	1242	732	380	1068	1176	989	1609	1092	780	1786	999	1041	403	356	180	432	356	228	742	537	295	1341	1534	1365	584	1129	740	1994	1523	1497	1474	1704	1070	886	1259	556	1867	1948	1093	2824	1580	1639	2466	2257	3927	1440	1077	1340	162	117
5764	4805	3326	1714	3543	1370	2474	2341	1852	3294	3993	2903	2489	2587	1973	301	404	5484	7688	5813	7656	7047	4988	3494	2209	1180	3034	3817	2672	4189	3916	2442	5058	3267	3148	1384	974	615	1006	1146	703	1480	1713	1039	4057	4377	3857	1867	3282	2068	5586	3992	3582	3780	4785	2723	2771	3695	1610	5752	6110	3304	7688	5025	4371	7944	7064	11524	4441	3766	3742	349	363
8504	7319	5174	2565	5597	2335	3769	3994	3034	5040	5604	3933	3894	4626	3262	585	564	8709	12178	9191	12818	11163	8793	5137	3668	2024	5196	6296	4495	6486	6362	3665	8191	5625	4885	2252	1900	994	1515	1560	1041	2443	2761	1674	7870	8664	7237	3740	5744	3678	7389	5573	4751	5037	6120	3579	4162	5314	2541	8271	8853	4937	11618	7930	6860	12482	10874	17542	6705	5648	5625	544	661
8444	7782	6048	2925	6647	2745	4135	4918	3469	5065	6010	4064	4642	5813	4010	733	695	10198	13292	10105	15534	12254	10525	5676	4243	2629	6228	7555	5317	7554	7463	3987	9553	6840	5793	2630	2541	1232	1700	1711	1120	2799	3375	1910	10329	11174	9396	5116	6858	4460	7431	5894	4644	5113	5905	3461	4891	5555	2964	8713	9109	5660	12428	9360	7701	14166	12373	18982	7567	6138	6592	605	789
6079	5519	4863	2459	5916	2126	3404	4275	2970	4067	4689	3523	3697	4979	3466	644	565	8311	10881	8267	13502	9973	8991	4463	3475	2093	5328	6553	4465	5866	6260	3152	8248	6118	4726	2134	2560	969	1429	1600	914	2495	2772	1317	9272	9918	8789	4786	5920	4014	6071	4875	3738	4266	4845	2913	3813	3922	2168	6182	6381	4071	9665	7091	6044	10870	8759	13907	5366	4805	5268	526	655
3505	2959	2776	1578	3422	1223	2228	2897	1931	2876	2922	2234	2451	3616	2351	435	422	5983	7605	5867	9646	6807	6870	3099	2425	1341	3818	4740	3285	3990	4469	2145	5814	4440	3347	1221	1343	604	928	780	548	1653	1822	689	5880	6425	5800	3110	3731	2301	3555	3189	2221	3038	2929	1976	2413	2363	1425	3822	3693	2751	6304	4270	3592	6530	4872	8732	3268	3010	3283	370	425
1573	1167	1098	647	1415	576	871	1072	773	1395	1104	1027	1051	1529	1048	156	169	2798	3126	2467	4482	2752	2947	1438	874	556	1745	1995	1432	1752	1814	914	2377	1824	1384	624	513	257	391	285	222	539	698	196	2523	2808	2981	1508	1647	1059	1736	1333	1096	1416	1227	1051	1185	820	524	1883	1475	1170	2818	1744	1989	2929	2118	4097	1194	1208	1579	208	88
497	281	316	218	409	201	277	266	101	330	274	272	311	422	304	0	0	977	962	759	1556	803	860	570	274	180	621	585	413	497	475	250	662	491	511	129	119	90	118	89	61	267	179	51	694	889	1069	451	435	322	531	357	354	298	317	305	223	249	123	498	440	307	868	543	679	969	719	1239	441	368	571	0	0
