C89L1_1	C89L1_2	C89L1_3	C89L2_1	C89L2_2	C89L2_3	C89L3_1	C89L3_2	C89L3_3	C89L4_1	C89L4_2	C89L4_3	C89L5_1	C89L5_2	C89L5_3	C89L6_1	C89L6_2	C89L6_3	C89M1a_1	C89M1b_1	C89M1b_2	C89M1b_3	C89M1c_1	C89M1c_2	C89M1c_3	C89M1d_1	C89M1d_2	C89M1d_3	C89M1e_1	C89M1e_2	C89M1e_3	C89M1f_1	C89M1f_2	C89M1f_3	C89M1g_1	C89M1g_2	C89M1g_3	C89M2_1	C89M2_2	C89M2_3	C89M3_1	C89M3_2	C89M3_3	C89M4_1	C89M4_2	C89M4_3	C89N1_1	C89N1_2	C89N1_3	C89N2_1	C89N2_2	C89N2_3	C89P1a_1	C89P1a_2	C89P1a_3	C89P1b_1	C89P1b_2	C89P1b_3	C89P1c_1	C89P1c_2	C89P1c_3	C89P1e_1	C89P1e_2	C89P1e_3	C89P1f_1	C89P1f_2	C89P1f_3	C89P1g_1	C89P1g_2	C89P1g_3	C89P1h_1	C89P1h_2	C89P1h_3	C89P1i_1	C89P1i_2	C89P1i_3
721	698	584	183	314	493	144	225	441	480	523	343	986	480	251	432	54	190	262	888	536	1138	1555	614	971	75	188	442	877	590	919	757	0	646	1451	476	725	385	181	124	379	119	177	896	257	144	258	634	495	452	238	552	467	521	1184	627	562	690	369	337	451	734	726	555	741	352	1017	1446	1124	2579	631	254	720	102	184	85
2400	2675	2006	666	1190	1923	752	829	1377	2171	1954	1199	3769	1918	1074	1721	293	697	863	2842	2041	4158	5163	2184	4217	355	838	1392	3141	2158	3430	2713	2164	2944	5668	1904	3069	1467	687	559	1382	556	520	2793	914	898	1018	1975	2166	1625	822	2134	1912	2094	4998	2351	2008	3253	1564	1363	2171	2718	3067	2627	2445	1487	4588	5058	3588	7419	2364	1185	2849	427	724	468
6654	8208	5660	2459	3675	5404	2602	2254	3720	5799	5922	3256	10708	6541	3761	4862	1183	2286	1618	9082	6540	13130	16162	7077	11932	1287	2652	4349	9844	6961	10925	8664	7191	9316	16869	6033	10459	3645	1791	1806	4098	1852	1702	6102	2930	2479	3102	4349	5086	4270	2153	5379	5672	6549	13598	6931	6192	8984	5165	4981	7823	6554	8316	7034	7004	4821	12771	13229	9677	20477	7665	3700	8646	1023	2018	1240
11332	14368	10077	4223	6623	9216	4644	4607	7262	9407	9860	5551	18728	11694	7001	8375	2417	3986	2195	15441	11425	23032	26015	12438	20104	2330	4621	7494	16975	11909	19126	15067	12628	16568	26492	10338	18740	6809	3308	3304	6772	3297	2808	9422	5100	3984	7241	9826	11483	9064	4902	11330	9331	11109	22175	11587	10234	14972	9395	9023	14312	9486	12517	10765	12045	8708	22938	20604	15056	24882	13404	6447	14782	2181	3460	2292
13478	17059	12225	5085	7973	10919	5943	6118	9512	10546	11124	6395	22646	14600	8749	10156	2878	4850	2436	17964	13134	26820	26015	14370	23434	2728	5426	8536	20166	13955	22573	17584	14835	19926	26492	11995	22165	8931	4327	4054	8039	4301	3493	10818	6043	4652	10688	14523	16825	12820	7107	16546	10686	12565	25402	13346	11661	17165	11779	11072	18106	9110	12379	10900	14822	10450	28134	21505	16146	24882	16042	7735	18103	3034	4296	2966
11126	13684	9829	4013	6908	8749	5041	5478	8636	7726	8791	4984	18681	11835	7542	8097	2363	4068	1712	13534	9656	19693	25688	10613	17779	2183	4041	6431	15622	10464	17234	13205	10924	15053	25497	9057	16746	7330	3919	3634	7001	3868	3107	8865	5003	3740	11165	15016	17595	13188	7410	17123	8180	9565	19743	10185	8807	12934	10035	9162	15573	5098	7033	5947	12667	8602	24757	14742	11507	21634	12806	6193	14597	2731	3692	2484
4039	5245	3845	1704	3231	3941	2451	3054	4194	3512	4052	2477	7293	4814	3070	3270	922	1554	360	3939	2718	5349	7462	3089	5731	788	1298	2035	4849	3127	5579	3925	3027	4864	7477	2722	4923	3608	2010	1651	3444	1718	1306	4268	2414	1412	6750	9177	10474	8153	4568	10664	3806	4355	9443	4558	3724	5727	4245	3781	6556	1087	1441	1294	5546	3426	11234	5509	4214	7743	4478	2280	5610	1365	1813	1159
279	240	330	216	272	489	273	280	470	276	335	258	817	405	306	308	66	199	0	618	297	835	1003	382	890	123	91	348	613	344	697	498	266	468	1031	265	575	576	176	117	517	235	243	795	228	192	1132	1548	1857	1369	768	2249	307	301	989	382	306	359	391	311	594	162	237	123	752	497	1666	791	443	977	431	250	533	262	171	69
