E3N1_1	E3N1_2	E3N1_3	E3N4_1	E3N4_2	E3N4_3	E3P15c_1	E3P15c_2	E3P15c_3	E3P16c_1	E3P16c_2	E3P16c_3	E3P17c_1	E3P17c_2	E3P17c_3	E3P18c_1	E3P18c_2	E3P18c_3	E3P19c_1	E3P19c_2	E3P19c_3	E3P20c_1	E3P20c_2	E3P20c_3
137	184	102	66	179	149	369	270	255	250	128	209	471	305	539	241	276	212	174	283	385	338	94	55
630	1016	595	323	756	665	1347	1155	1081	1045	786	969	1695	1399	2008	1166	1133	940	1221	1538	1844	958	531	349
1810	3458	1689	1165	2638	2267	3865	3206	3391	2626	2624	3301	3728	3354	4683	3133	3460	2314	4263	4621	5593	2212	1375	989
4491	7665	4583	3029	6170	5592	6892	5590	5783	5142	4824	5986	5252	4696	5642	5417	6596	4483	7884	8398	10831	3135	2658	1718
6876	11169	7282	5009	9176	8652	8565	6575	6967	6815	5966	7243	5369	4975	5019	7146	8450	6134	9761	10299	13353	3551	3069	2163
6514	10117	7216	5129	8570	8377	5367	4251	4447	5890	4586	5868	4896	4174	4300	5319	6030	4624	6682	6471	9284	2326	2337	1354
3660	5694	4263	2881	4413	4925	2997	2672	2325	3552	2256	2853	3468	2426	2709	2978	3668	2472	3636	3523	5414	1372	1515	666
1011	1357	1098	768	889	1183	801	669	673	916	582	852	1852	1185	1382	861	829	884	1079	1010	1703	416	415	185
