E3N1_1	E3N1_2	E3N1_3	E3N4_1	E3N4_2	E3N4_3	E3P15c_1	E3P15c_2	E3P15c_3	E3P16c_1	E3P16c_2	E3P16c_3	E3P17c_1	E3P17c_2	E3P17c_3	E3P18c_1	E3P18c_2	E3P18c_3	E3P19c_1	E3P19c_2	E3P19c_3	E3P20c_1	E3P20c_2	E3P20c_3
109	87	0	126	115	74	260	236	171	272	161	181	209	214	435	334	300	486	194	194	181	205	183	91
756	523	230	768	753	584	950	933	686	1095	832	792	917	858	1052	1429	1279	1518	1105	884	876	678	595	534
2358	1869	733	3075	2777	1817	2683	2755	2402	3528	2805	2642	3076	3067	3522	3630	3668	4400	3382	2852	2533	1613	1764	1526
6281	5271	2200	8222	7315	5195	7316	7356	6018	8343	7223	6714	7659	8006	0	9451	9296	10721	9552	8228	6864	3670	4433	2907
8870	8555	3345	12717	11395	7707	10833	10850	8724	12200	10704	9736	12310	11870	4726	14210	13141	16087	15503	12888	10771	5453	6173	3670
6646	6849	2898	10527	8972	5717	8184	7912	6136	9538	8241	6985	10908	9576	2930	10955	10636	13405	12806	10797	7989	4703	5106	2782
3942	3500	1587	5881	5105	3404	3179	2606	2102	4767	3525	3263	4893	4114	614	4914	4457	6266	5215	4441	3650	1675	1933	849
2882	2255	1164	3906	3289	2503	1157	794	661	2529	1776	1741	2624	2113	0	2007	1821	2932	1910	1547	1545	594	499	358
1586	1477	755	2290	2079	1462	374	226	270	1373	858	833	1254	1006	0	955	670	1149	737	563	696	196	161	165
