E3N1_1	E3N1_2	E3N1_3	E3N4_1	E3N4_2	E3P15c_1	E3P15c_2	E3P15c_3	E3P16c_1	E3P16c_2	E3P16c_3	E3P17c_1	E3P17c_2	E3P17c_3	E3P18c_1	E3P18c_2	E3P18c_3	E3P19c_1	E3P19c_2	E3P19c_3	E3P20c_1	E3P20c_2
163	204	68	154	142	123	124	95	265	241	166	196	140	89	226	248	252	599	461	591	111	73
370	393	124	238	258	234	266	178	528	466	342	352	311	180	563	543	520	1282	997	1166	153	119
650	803	238	400	385	422	499	344	1046	996	706	664	671	384	1217	1126	955	2613	2121	2272	246	263
1074	1281	422	616	584	726	797	533	1647	1540	1108	1010	1048	631	1862	1785	1474	4055	3436	3642	342	447
1323	1547	552	755	719	846	957	610	1999	1881	1284	1150	1202	724	2040	2054	1635	4689	3989	4249	393	527
1232	1444	466	701	625	812	845	505	1770	1599	1097	1015	1045	639	1753	1733	1461	4136	3582	3763	334	444
818	912	322	465	409	505	519	264	1112	954	633	645	575	328	941	972	843	2470	2133	2250	167	253
405	355	142	225	155	177	155	132	468	375	211	256	214	133	357	330	295	881	740	870	57	83
