C102L2_1	C102L2_2	C102L2_3	C102L3_1	C102L3_2	C102L3_3	C102L4_1	C102L4_2	C102L4_3	C102L5_1	C102L5_2	C102L5_3	C102M1_1	C102M1_2	C102M1_3	C102M2_1	C102M2_2	C102M2_3	C102M4_1	C102M4_2	C102M4_3	C102M5_1	C102M5_2	C102M5_3	C102M6_1	C102M6_2	C102M6_3	C102M7_1	C102M7_2	C102M7_3	C102N3_1	C102N3_2	C102N3_3	C102N4_1	C102N4_2	C102N4_3	C102P1j_1	C102P1j_2	C102P1j_3	C102P1b_1	C102P1b_2	C102P1b_3	C102P1c_1	C102P1c_2	C102P1c_3	C102P1d_1	C102P1d_2	C102P1d_3	C102P1e_1	C102P1e_2	C102P1e_3	C102P1f_1	C102P1f_2	C102P1f_3	C102P1g_1	C102P1g_2	C102P1g_3
2034	1913	1735	7396	7641	4162	505	0	71	0	0	55	2809	3270	2022	3042	1827	1992	710	426	421	7098	7517	4768	5713	5925	5158	0	4507	3800	238	0	0	0	0	0	9884	7300	5645	8735	8334	7036	2852	1986	2586	468	4540	3513	4046	3643	3524	780	1039	732	1022	1134	1513
7187	6673	5649	21548	17246	12901	2694	2065	445	201	714	388	6092	6157	5789	10528	8223	7806	3582	2837	2917	4750	3170	3098	10133	9339	8036	0	7640	5467	330	0	0	0	0	0	4279	3212	2618	17544	19231	14627	9023	8624	8696	1662	14553	12693	10852	10896	8695	7361	9167	6925	10954	10196	10712
16020	14015	10065	1452	1572	679	5937	5962	2659	4924	5198	2224	11749	11585	11173	20159	18441	15825	10534	10181	9363	3141	3136	1842	12435	11456	10699	4346	10972	8120	614	698	567	674	606	569	8979	6261	4535	17939	20607	14554	19419	18989	20525	3668	29846	28881	29888	29692	22970	21235	26209	20117	29632	27924	28822
1969	2346	1602	875	1344	290	7414	9544	6865	16772	11640	9616	2007	2756	3113	4128	3500	2603	15824	17066	14534	7748	9196	5224	3533	3290	2374	373	1539	1643	5567	4587	4946	5723	5474	4535	6800	5070	3611	2410	2960	2020	10136	11762	10120	889	6936	6409	8403	7794	6176	7805	7693	6314	10152	10257	9572
2062	2232	2054	2375	3399	1337	11628	13482	9173	23652	14598	19238	3751	3065	5111	5121	5083	3220	4711	5120	3967	3899	4306	3476	3519	2041	1715	402	2237	1154	14962	12988	12887	15110	15220	12826	2687	2520	1942	3125	3532	2486	4196	4739	3900	341	3312	3331	4599	4007	2906	5944	5428	4923	4434	4193	3559
1973	1808	1508	2836	2556	1234	1706	1940	1170	2846	1188	2785	2019	2500	2650	4410	4090	3046	2445	2210	1591	2576	2544	2112	1590	1509	1278	161	1522	893	17305	14975	15250	18462	18265	15095	2892	2623	1737	3533	4295	2714	3976	3812	3613	468	3493	3691	4699	3782	3290	6048	6270	5344	3502	3560	3260
442	240	275	442	424	137	816	1215	409	1151	417	799	386	788	547	939	741	561	531	408	466	585	399	277	325	325	245	95	312	163	4043	3563	3551	4447	4577	3782	417	415	285	711	706	496	849	782	761	99	806	672	1052	848	602	1342	1347	1095	764	763	655
401	143	83	264	427	81	468	424	124	726	263	217	289	296	206	762	514	294	302	346	217	337	201	67	196	312	126	62	255	158	2521	2017	2177	2900	2841	2195	155	419	215	448	568	352	692	534	413	69	630	475	697	931	475	990	959	817	568	495	427
499	191	121	427	454	124	389	132	80	444	212	95	444	321	302	957	766	491	363	490	328	514	317	116	252	404	166	76	316	223	3200	2809	2876	3696	3345	2778	187	487	230	668	768	572	859	746	743	113	953	678	967	1260	613	1189	1253	1153	681	608	609
431	210	135	458	448	146	264	59	0	288	95	90	503	284	300	878	711	525	312	506	333	537	366	131	252	399	197	52	331	205	2943	2727	2825	3337	2974	2501	176	497	201	665	831	578	812	687	775	112	950	738	952	1218	630	1124	1061	1154	674	533	642
