C65-A_1	C65-A_2	C65-A_3	C65-B_1	C65-B_2	C65-B_3	C65-C-LA_1	C65-C-LA_2	C65-C-LB_1	C65-C-LB_2	C65-C-LB_3	C65-D_1	C65-D_2	C65-D_3	C65-E_1	C65-E_2	C65-E_3	C65-F_1	C65-F_2	C65-F_3	C65-G_1	C65-G_2	C65-G_3	C65-H_1	C65-H_2
0	0	0	0	0	0	141	0	0	123	0	0	726	0	214	143	0	108	0	0	0	0	0	0	0
344	696	325	473	455	216	406	623	448	312	167	386	2432	104	599	443	186	453	410	162	593	573	239	195	190
622	1086	513	834	924	464	564	852	657	455	242	605	3745	179	858	716	291	710	683	259	1017	958	396	358	269
625	924	489	713	885	420	364	619	453	318	176	482	3100	149	692	678	219	615	555	241	925	821	321	330	197
292	346	151	343	386	202	130	191	183	112	52	203	1249	52	217	185	72	230	213	80	332	320	123	97	72
340	265	125	342	436	242	114	171	181	94	0	211	1021	0	151	122	51	196	176	67	299	271	116	80	61
405	297	158	428	555	312	126	193	213	111	50	250	1120	58	173	132	57	230	212	84	343	316	130	86	71
322	239	116	382	458	284	110	168	168	86	0	219	840	52	149	114	53	198	180	72	289	248	129	57	64
147	112	54	172	227	129	0	80	88	0	0	110	410	0	79	58	0	106	91	0	140	130	57	0	55
